'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
04:04.0,00:00.0,100,3,23,41,32,686043,144248,5906,3456,5034,5458,3419,808,,17564.30354,26393.45624,23828.33333,9532.197393
04:04.0,00:00.0,100,2,20,47,33,2226699,207444,106925,60924,71874,42372,23739,11877,,,,,
04:05.0,00:00.0,100,2,17,44,30,165383,69550,51119,14622,13699,6701,2562,1571,,,,,
04:06.0,00:00.0,100,2,14,40,27,198207,59534,4224,5583,5749,2941,2274,2640,,,,,
04:07.0,00:00.0,100,2,26,56,41,474717,43020,23197,4750,4237,8282,5018,2373,,,,,
04:08.0,00:00.0,100,2,44,53,48,57780,12951,18677,4570,25436,27564,8894,3954,,,,,
04:09.0,00:00.0,100,2,60,40,50,466614,67606,9511,5252,3096,16999,8921,4559,,,,,
04:10.0,00:00.0,100,2,67,40,53,1458780,220545,20568,19618,14419,25090,27247,14758,,,,,
04:11.0,00:00.0,100,2,70,35,52,100912,83849,26342,4089,16511,18649,12710,7272,,,,,
04:12.0,00:00.0,100,2,56,35,45,26586,42829,16589,9654,12896,13290,17424,13044,,,,,
04:13.0,00:00.0,100,2,50,37,43,329036,47991,6672,4769,4910,5701,9780,2130,,,,,
04:14.0,00:00.0,100,2,56,47,51,75884,17951,12889,3215,3253,7664,7176,1217,,,,,
04:15.0,00:00.0,100,2,63,54,58,44892,32999,20576,21479,10469,28253,29287,6287,,,,,
04:16.0,00:00.0,100,2,64,54,59,112465,67762,8582,33728,25212,23576,59489,7975,,,,,
04:17.0,00:00.0,100,2,83,56,69,39036,22784,9335,5839,8173,27702,19462,14429,,,,,
04:18.0,00:00.0,100,2,80,47,63,230779,194402,10179,32863,24131,33406,27880,27559,,,,,
04:19.0,00:00.0,100,2,74,34,54,972914,114882,7173,15375,27036,25277,31236,7886,,,,,
04:20.0,00:00.0,100,2,67,35,51,2001692,64149,23238,10494,10635,10516,19894,3152,,,,,
04:21.0,00:00.0,100,2,54,34,44,437997,90168,18063,8195,12606,20500,43936,15629,,,,,
04:22.0,00:00.0,100,2,53,27,40,580365,244756,18401,7864,8911,29042,16729,8486,,,,,
04:23.0,00:00.0,100,2,47,35,41,696492,270547,49433,41910,19480,32219,39526,22041,,,,,
04:24.0,00:00.0,100,2,54,38,46,422509,53922,51234,18555,28536,37029,156606,16511,,,,,
04:25.0,00:00.0,100,2,43,30,36,1444882,294788,13364,14586,12945,15576,11614,19225,,,,,
04:26.0,00:00.0,100,2,50,35,42,720210,72412,7351,5336,6017,15755,15222,10692,,,,,
04:27.0,00:00.0,100,2,53,34,43,194497,15003,4169,564,1853,2374,7396,2311,,,,,
04:28.0,00:00.0,100,2,50,24,37,705568,67648,8898,11514,6842,16891,13283,4889,,,,,
04:29.0,00:00.0,100,2,70,38,54,35359,20789,36592,2964,31719,33448,22194,11504,,,,,
04:30.0,00:00.0,100,2,69,56,62,949991,52894,118551,10567,21149,29359,21827,12615,,,,,
04:31.0,00:00.0,100,2,88,60,74,12086,13410,8571,21491,23127,38941,15437,6763,,,,,
04:32.0,00:00.0,100,2,100,64,82,11803,6438,11796,10145,21244,36575,42750,5873,,,,,
04:33.0,00:00.0,100,2,96,50,73,94528,89835,9065,2080,22090,23486,25902,13961,,,,,
04:34.0,00:00.0,100,2,93,34,63,1177610,467358,39091,81321,71201,62447,57002,16133,,,,,
04:35.0,00:00.0,100,2,83,30,56,11106,59145,3066,26580,10920,27470,18289,11529,,,,,
04:36.0,00:00.0,100,2,74,23,48,167052,47517,4784,4406,6173,22248,19953,3289,,,,,
04:37.0,00:00.0,100,2,77,24,50,41752,63310,2342,6308,20482,24639,38259,12145,,,,,
04:38.0,00:00.0,100,2,94,26,60,156850,14407,5388,3675,5809,19431,9976,3529,,,,,
04:39.0,00:00.0,100,2,91,24,57,246912,199640,24225,55248,21111,64828,45159,31119,,,,,
04:40.0,00:00.0,100,2,100,27,63,78323,24176,7021,10325,14673,54196,8813,8229,,,,,
04:41.0,00:00.0,100,2,93,40,66,682499,380707,110971,55785,31159,69578,31986,47158,,,,,
04:42.0,00:00.0,100,2,81,34,57,296805,37126,4257,968,4230,9720,20349,2805,,,,,
04:43.0,00:00.0,100,2,69,24,46,1200729,351050,29846,10457,34378,25606,94803,53927,,,,,
04:44.0,00:00.0,100,2,54,34,44,452721,115613,52132,47912,28698,55640,27784,40795,,,,,
