'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
47:28.0,00:00.0,100,2,66,69,67,136390,52922,8752,5251,6533,9109,5810,2198,,13609.46281,17816.54215,13151.47769,5992.933884
47:29.0,00:00.0,100,2,61,74,67,40605,132661,44054,30862,19571,12684,9412,8350,,,,,
47:30.0,00:00.0,100,2,60,54,57,27127,50780,10391,1737,14648,29166,25754,4695,,,,,
47:31.0,00:00.0,100,2,57,54,55,65260,11350,6702,2321,3688,4032,3136,1456,,,,,
47:32.0,00:00.0,100,2,54,48,51,279025,308217,24280,6705,7868,30496,25104,11444,,,,,
47:33.0,00:00.0,100,2,61,47,54,58590,80682,20301,27778,12307,19466,27742,7475,,,,,
47:34.0,00:00.0,100,2,57,54,55,18723,72910,6439,22156,8610,29015,9291,6292,,,,,
47:35.0,00:00.0,100,2,57,57,57,912209,73405,36869,41523,14228,31402,10605,3108,,,,,
47:36.0,00:00.0,100,2,66,75,70,207114,37155,10744,24231,25577,18206,6224,4034,,,,,
47:37.0,00:00.0,100,2,69,75,72,656311,59368,1442,31652,12895,19829,9723,5941,,,,,
47:38.0,00:00.0,100,2,56,70,63,115154,15199,2692,1361,2429,1101,1557,2051,,,,,
47:39.0,00:00.0,100,2,61,56,58,369780,98155,5464,22006,18441,47974,8960,7776,,,,,
47:40.0,00:00.0,100,2,53,54,53,145545,188376,84903,7402,9224,29419,19693,5397,,,,,
47:41.0,00:00.0,100,2,43,56,49,994180,158732,30677,43280,17305,13490,10505,6600,,,,,
47:42.0,00:00.0,100,2,44,61,52,58182,116284,40747,10356,18043,12275,10262,3282,,,,,
47:43.0,00:00.0,100,2,43,60,51,582182,106985,15651,5288,36733,36468,24237,21312,,,,,
47:44.0,00:00.0,100,2,54,50,52,34224,43314,4946,8589,11943,26581,18004,3984,,,,,
47:45.0,00:00.0,100,2,63,47,55,1184415,81295,18326,17119,14242,22014,19127,5045,,,,,
47:46.0,00:00.0,100,2,61,54,57,20960,28371,25069,1564,7489,2862,5406,2608,,,,,
47:47.0,00:00.0,100,2,51,54,52,106801,55246,531,8749,9268,5111,8296,1251,,,,,
47:48.0,00:00.0,100,2,47,60,53,287186,27936,4164,10868,12265,12544,2148,2091,,,,,
47:49.0,00:00.0,100,2,34,50,42,372723,254038,18727,12671,8681,8397,8387,3796,,,,,
47:50.0,00:00.0,100,2,48,38,43,5560,31738,6831,6192,8324,14871,4558,3856,,,,,
47:51.0,00:00.0,100,2,43,43,43,591143,396076,84226,14319,26768,19683,24622,3435,,,,,
47:52.0,00:00.0,100,2,38,51,44,79551,50070,44360,12505,23353,18880,5183,3819,,,,,
47:53.0,00:00.0,100,2,50,51,50,65495,26230,1513,2727,7925,3805,2024,2586,,,,,
47:54.0,00:00.0,100,2,41,54,47,181212,106235,19067,25627,12666,16950,31239,4786,,,,,
47:55.0,00:00.0,100,2,44,48,46,93588,79889,5258,6873,2771,5681,2688,2160,,,,,
47:56.0,00:00.0,100,2,57,30,43,22998,6697,567,1646,3108,7778,4441,1093,,,,,
47:57.0,00:00.0,100,2,61,40,50,293182,121041,34911,4697,8372,27555,14902,5993,,,,,
47:58.0,00:00.0,100,2,67,47,57,609738,33682,12513,20884,7425,21484,15179,12829,,,,,
47:59.0,00:00.0,100,2,83,47,65,58572,22956,2047,2392,914,9722,3493,1549,,,,,
48:00.0,00:00.0,100,2,64,60,62,127942,21263,3063,8844,1137,3701,2817,1328,,,,,
48:01.0,00:00.0,100,2,56,60,58,572550,215735,50403,17716,41692,15641,11717,7149,,,,,
48:02.0,00:00.0,100,2,43,51,47,43755,39502,7690,4563,10289,2666,4092,1595,,,,,
