'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
47:29.0,00:00.0,100,2,50,51,50,43799,60602,9449,49321,26063,14364,14240,4821,,17836.4005,18746.00829,11597.90464,6000.718905
47:30.0,00:00.0,100,2,60,60,60,32583,19478,26124,18860,10885,18723,4289,3862,,,,,
47:31.0,00:00.0,100,2,48,61,54,119932,103475,34222,14601,6810,6024,2340,1066,,,,,
47:32.0,00:00.0,100,2,54,63,58,45946,38808,15476,6078,5200,27356,13100,8133,,,,,
47:33.0,00:00.0,100,2,54,57,55,296107,176035,47930,27505,24383,39548,12756,5744,,,,,
47:34.0,00:00.0,100,2,43,56,49,1210385,74837,34164,42045,11557,12525,6998,9857,,,,,
47:35.0,00:00.0,100,2,50,48,49,72246,182908,24386,15777,48965,16534,5880,1870,,,,,
47:36.0,00:00.0,100,2,40,53,46,119731,58338,29031,27470,34831,16866,8399,2723,,,,,
47:37.0,00:00.0,100,2,50,61,55,125894,23486,46112,13044,25492,32468,35984,6915,,,,,
47:38.0,00:00.0,100,2,67,56,61,46589,12354,12578,6813,7289,20445,8010,6461,,,,,
47:39.0,00:00.0,100,2,81,67,74,33733,26240,19800,4659,3873,18606,10391,5754,,,,,
47:40.0,00:00.0,100,2,77,70,73,295180,103022,109697,32051,78593,17025,30831,4722,,,,,
47:41.0,00:00.0,100,2,77,67,72,120701,26011,23496,23443,29064,27044,40419,6018,,,,,
47:42.0,00:00.0,100,2,75,69,72,27574,16464,32135,7486,16578,29613,25431,8995,,,,,
47:43.0,00:00.0,100,2,77,75,76,12915,19283,44598,15180,5441,33032,13103,5855,,,,,
47:44.0,00:00.0,100,2,84,74,79,50447,75938,47366,28826,21183,29101,6773,6034,,,,,
47:45.0,00:00.0,100,2,83,66,74,140526,96057,17744,15073,14844,43496,9492,4329,,,,,
47:46.0,00:00.0,100,2,74,60,67,83201,30084,7776,3426,2173,7332,1812,1843,,,,,
47:47.0,00:00.0,100,2,51,41,46,137226,354401,26179,26055,13102,20454,18951,5752,,,,,
47:48.0,00:00.0,100,2,50,27,38,140345,217572,22665,18096,13860,38870,14930,8055,,,,,
47:49.0,00:00.0,100,2,37,34,35,397989,43246,11169,10664,1898,5106,3792,4468,,,,,
47:50.0,00:00.0,100,2,40,41,40,104221,46333,34801,15968,11257,23101,14628,8758,,,,,
47:51.0,00:00.0,100,2,63,43,53,87903,23767,5743,5123,13265,22919,13595,14482,,,,,
47:52.0,00:00.0,100,2,61,51,56,1394614,166714,43605,24263,22727,28416,13021,9856,,,,,
47:53.0,00:00.0,100,2,63,43,53,797883,167360,23795,8156,13306,19765,16737,9248,,,,,
