'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
08:37.0,00:00.0,100,2,57,66,61,19202,36434,10181,22859,19244,12247,14395,3200,,17190.78965,17993.22871,9705.824708,5342.479132
08:38.0,00:00.0,100,2,61,69,65,179847,23894,27193,14750,35516,22027,10517,2460,,,,,
08:39.0,00:00.0,100,2,57,78,67,32211,16855,41998,13664,11130,13254,23314,5874,,,,,
08:40.0,00:00.0,100,2,63,75,69,69549,45930,29033,9842,11579,24722,22111,5479,,,,,
08:41.0,00:00.0,100,2,63,81,72,39132,20342,35278,19428,23283,12667,11464,6531,,,,,
08:42.0,00:00.0,100,2,61,78,69,242108,48116,11774,15085,16141,17135,8170,3389,,,,,
08:43.0,00:00.0,100,2,56,70,63,82839,111253,67160,45649,19464,22750,9573,4333,,,,,
08:44.0,00:00.0,100,2,53,74,63,12632,19968,12333,30075,46630,14058,9050,4118,,,,,
08:45.0,00:00.0,100,2,61,67,64,358040,10573,12120,13377,15885,14869,8020,6937,,,,,
08:46.0,00:00.0,100,2,63,80,71,331338,26366,56259,38839,12450,30226,8920,7608,,,,,
08:47.0,00:00.0,100,2,57,70,63,32139,61494,4496,12645,6137,5193,1585,1081,,,,,
08:48.0,00:00.0,100,2,66,74,70,458714,18413,41257,8571,16483,31329,10350,14660,,,,,
08:49.0,00:00.0,100,2,40,66,53,228501,114679,10094,21336,10608,3713,5938,2253,,,,,
08:50.0,00:00.0,100,2,29,47,38,56301,24954,2245,1989,2186,2141,1028,271,,,,,
08:51.0,00:00.0,100,2,50,53,51,19564,11127,981,17583,10680,18547,17642,5944,,,,,
08:52.0,00:00.0,100,2,38,47,42,178336,10320,2681,1414,1385,1847,905,949,,,,,
08:53.0,00:00.0,100,2,43,53,48,368810,87883,32868,22702,6874,6548,3462,1837,,,,,
08:54.0,00:00.0,100,2,50,61,55,182742,13347,2803,4596,2027,3297,2631,4331,,,,,
08:55.0,00:00.0,100,2,44,56,50,32614,37924,15435,10756,18411,24254,23903,8610,,,,,
08:56.0,00:00.0,100,2,41,57,49,397964,23380,4621,6752,4783,3381,4006,3562,,,,,
08:57.0,00:00.0,100,2,64,50,57,7220,21211,6138,5448,14052,20855,10359,1874,,,,,
08:58.0,00:00.0,100,1,64,54,59,109784,17159,13206,5676,3944,5622,3957,1130,,,,,
08:59.0,00:00.0,100,2,53,57,55,95578,78317,27071,31538,31731,13721,7124,4183,,,,,
09:00.0,00:00.0,100,2,51,67,59,248788,127582,108836,81259,19537,23498,27074,5525,,,,,
09:01.0,00:00.0,100,2,35,67,51,1496962,66667,23046,2448,51076,9822,8080,2573,,,,,
09:02.0,00:00.0,100,2,29,57,43,54453,111723,13811,25444,31239,12815,4881,1893,,,,,
09:03.0,00:00.0,100,2,34,69,51,453960,19183,58731,32931,20963,17857,7863,8019,,,,,
09:04.0,00:00.0,100,2,27,53,40,518928,30317,2528,3174,712,1392,505,2194,,,,,
09:05.0,00:00.0,100,2,27,61,44,253684,141557,68562,14012,18404,26254,15153,3304,,,,,
09:06.0,00:00.0,100,2,29,61,45,120874,117200,18982,15844,7580,14512,6917,4952,,,,,
09:07.0,00:00.0,100,2,37,56,46,41569,19334,15459,28521,6158,21790,11497,7321,,,,,
09:08.0,00:00.0,100,2,54,64,59,432189,54812,3810,30781,10657,20529,13347,4000,,,,,
09:09.0,00:00.0,100,2,61,61,61,32243,36264,9960,13081,17252,14735,9684,4400,,,,,
09:10.0,00:00.0,100,2,63,66,64,180864,24059,6911,10850,6970,4900,2201,720,,,,,
09:11.0,00:00.0,100,2,37,53,45,298384,370346,38381,27198,9061,8269,8171,6571,,,,,
09:12.0,00:00.0,100,2,30,53,41,101916,66965,19322,22048,11032,13361,12751,2530,,,,,
09:13.0,00:00.0,100,2,29,54,41,14350,33469,6023,19918,25368,13255,4969,1553,,,,,
09:14.0,00:00.0,100,2,38,51,44,21873,27849,10984,8021,7411,14104,14020,4747,,,,,
09:15.0,00:00.0,100,1,60,57,58,308601,122862,12620,55348,41843,39997,6484,11471,,,,,
09:16.0,00:00.0,100,1,64,63,63,24997,11182,26012,4984,13168,9622,7846,2519,,,,,
09:17.0,00:00.0,100,1,56,74,65,12753,69516,79549,23401,23348,15011,15937,3278,,,,,
09:18.0,00:00.0,100,2,44,67,55,316852,81849,17634,6314,3794,7485,2608,3980,,,,,
09:19.0,00:00.0,100,2,44,70,57,53489,49535,25654,18896,16783,20064,18366,7205,,,,,
09:20.0,00:00.0,100,2,35,54,44,705186,178145,12885,14157,30836,15508,19143,6706,,,,,
09:21.0,00:00.0,100,2,35,35,35,220624,173498,5506,17834,7972,16410,37293,7539,,,,,
09:22.0,00:00.0,100,2,40,38,39,483296,89140,33352,13069,16099,19106,23892,14157,,,,,
09:23.0,00:00.0,100,2,38,38,38,5740,31514,23592,9818,20660,11624,7815,11141,,,,,
09:24.0,00:00.0,100,2,50,56,53,10304,23208,28209,20322,10372,17428,11852,14998,,,,,
09:25.0,00:00.0,100,2,40,60,50,329183,390824,50772,18145,35897,16053,11180,4313,,,,,
09:26.0,00:00.0,100,2,47,60,53,70034,38012,15523,11334,34817,16075,4955,4529,,,,,
09:27.0,00:00.0,100,2,40,60,50,128332,25741,18155,2938,8499,3898,1312,2581,,,,,
09:28.0,00:00.0,100,2,40,57,48,32656,10592,12010,16360,13314,10230,12545,4435,,,,,
09:29.0,00:00.0,100,1,51,63,57,2000989,103974,21996,20952,7550,17482,9136,3618,,,,,
09:30.0,00:00.0,100,1,50,75,62,13832,17844,30918,6077,4471,11063,6789,2738,,,,,
09:31.0,00:00.0,100,1,54,67,60,151467,23603,2792,5114,1960,5626,1673,1064,,,,,
09:32.0,00:00.0,100,1,50,69,59,26270,14352,11542,32349,15755,9024,9007,3175,,,,,
09:33.0,00:00.0,100,1,50,83,66,4823,16400,20746,28619,8192,8857,6984,2361,,,,,
09:34.0,00:00.0,100,1,54,77,65,448506,40753,28328,13334,18900,26431,5454,7822,,,,,
09:35.0,00:00.0,100,1,51,83,67,199187,19935,8132,11480,9155,4517,2416,1886,,,,,
09:36.0,00:00.0,100,1,64,70,67,5627,9242,382,7913,12121,12672,20749,2832,,,,,
09:37.0,00:00.0,100,1,57,74,65,11246,19553,34310,47333,17003,5985,6563,3873,,,,,
09:38.0,00:00.0,100,1,64,67,65,19115,12489,18350,5936,39177,24176,5241,3794,,,,,
09:39.0,00:00.0,100,1,63,61,62,243578,204636,31221,34031,36369,24787,18499,14594,,,,,
09:40.0,00:00.0,100,2,44,69,56,263643,23641,11798,14037,6271,4874,2801,2532,,,,,
09:41.0,00:00.0,100,2,53,67,60,552468,16041,2550,63500,20261,13381,14283,5283,,,,,
09:42.0,00:00.0,100,2,50,63,56,12087,36223,5411,8972,18467,22386,10868,5956,,,,,
09:43.0,00:00.0,100,2,61,70,65,10875,22119,15631,19103,18749,16666,4507,2113,,,,,
09:44.0,00:00.0,100,2,69,69,69,3582,19327,6268,12500,6351,8622,15835,3915,,,,,
09:45.0,00:00.0,100,2,78,60,69,18308,29537,7607,20369,3653,23127,7609,1561,,,,,
09:46.0,00:00.0,100,2,57,60,58,173089,177287,9896,28391,28051,10895,6796,2399,,,,,
09:47.0,00:00.0,100,2,47,50,48,10735,80497,9351,11943,8971,10029,10869,2978,,,,,
09:48.0,00:00.0,100,2,41,43,42,43592,116689,24685,9453,19685,20016,7137,7356,,,,,
09:49.0,00:00.0,100,2,38,54,46,12712,5671,37187,19537,6883,17558,6654,4790,,,,,
09:50.0,00:00.0,100,2,54,77,65,8242,5833,5321,28661,927,10577,2130,4046,,,,,
09:51.0,00:00.0,100,2,57,80,68,97451,13456,3115,3906,4438,2903,3000,1189,,,,,
09:52.0,00:00.0,100,2,70,88,79,4379,7341,8489,12753,10562,14190,5320,2052,,,,,
09:53.0,00:00.0,100,2,64,91,77,8923,9226,24170,30045,3978,9116,7402,4168,,,,,
09:54.0,00:00.0,100,2,63,80,71,697445,91591,26125,38396,12194,40524,14921,4381,,,,,
09:55.0,00:00.0,100,2,64,75,69,26006,94793,18962,5197,5231,22048,8670,6363,,,,,
09:56.0,00:00.0,100,2,53,66,59,97491,51846,17461,3765,15969,8301,1153,958,,,,,
09:57.0,00:00.0,100,2,54,57,55,53841,17294,13771,23343,13058,10521,5448,3467,,,,,
09:58.0,00:00.0,100,2,53,53,53,9480,38005,5652,9215,13790,9312,5307,5778,,,,,
09:59.0,00:00.0,100,2,61,63,62,2640,21938,14078,21075,8834,23490,5054,7084,,,,,
10:00.0,00:00.0,100,2,60,67,63,28284,97223,34897,20579,11743,17606,5061,3821,,,,,
10:01.0,00:00.0,100,2,67,60,63,42787,10542,8146,6444,15500,10691,5331,3902,,,,,
10:02.0,00:00.0,100,2,69,61,65,347976,130613,35272,26995,60681,46945,16069,1930,,,,,
10:03.0,00:00.0,100,2,54,54,54,1003537,173568,49394,18520,21487,19593,11600,2700,,,,,
10:04.0,00:00.0,100,2,60,60,60,3230,23636,13925,21910,11125,11435,5277,7648,,,,,
10:05.0,00:00.0,100,2,53,51,52,9615,41524,270,8250,4686,12191,5814,1988,,,,,
10:06.0,00:00.0,100,2,50,54,52,13106,48766,23086,13317,13092,13788,12226,6975,,,,,
10:07.0,00:00.0,100,2,64,61,62,11251,18190,16163,14110,14136,16927,2896,1130,,,,,
10:08.0,00:00.0,100,2,66,57,61,25509,34974,17735,13155,7509,16119,5081,1030,,,,,
10:09.0,00:00.0,100,2,63,74,68,20690,24370,21779,14478,7055,9475,8355,1423,,,,,
10:10.0,00:00.0,100,2,66,80,73,11240,14427,10357,20700,6493,12060,15963,2644,,,,,
10:11.0,00:00.0,100,2,63,87,75,9814,7448,12008,26154,11390,11886,6200,3942,,,,,
10:12.0,00:00.0,100,1,51,90,70,210384,67549,66052,13443,24964,10192,6156,2419,,,,,
10:13.0,00:00.0,100,1,51,87,69,2885,20836,14505,13604,11715,8119,10854,4140,,,,,
10:14.0,00:00.0,100,1,48,77,62,208834,100267,21348,31706,41751,22734,8159,3550,,,,,
10:15.0,00:00.0,100,1,29,60,44,195711,129721,14733,12961,29336,6143,4349,2978,,,,,
10:16.0,00:00.0,100,1,34,47,40,414911,239719,26019,24006,17434,27072,9434,6626,,,,,
10:17.0,00:00.0,100,1,37,34,35,71421,65636,10433,4232,11587,18493,10615,3771,,,,,
10:18.0,00:00.0,100,1,34,38,36,59640,120832,79052,15327,26254,21042,9402,4928,,,,,
10:19.0,00:00.0,100,1,43,48,45,29214,72281,14332,36568,11259,14653,5560,3299,,,,,
10:20.0,00:00.0,100,1,51,64,57,107842,21674,9704,32234,4918,15666,10499,975,,,,,
10:21.0,00:00.0,100,1,43,70,56,635106,52612,7708,18656,9582,7957,13534,5368,,,,,
10:22.0,00:00.0,100,1,48,64,56,576430,76588,16674,10322,18286,14500,10614,4313,,,,,
10:23.0,00:00.0,100,1,51,67,59,11098,27266,36417,10574,15897,14059,10329,12099,,,,,
10:24.0,00:00.0,100,1,47,67,57,11944,25858,51401,18280,29494,12701,9093,7283,,,,,
10:25.0,00:00.0,100,2,35,74,54,618133,228285,107769,82898,29531,12886,6870,2214,,,,,
10:26.0,00:00.0,100,2,21,78,49,469248,181384,64417,18522,15195,9770,1635,1619,,,,,
10:27.0,00:00.0,100,2,11,69,40,1486695,210189,37447,40459,34475,16781,13230,3497,,,,,
10:28.0,00:00.0,100,2,1,64,32,1990863,325753,230488,35417,119573,28764,11815,4205,,,,,
10:29.0,00:00.0,87,2,1,64,32,2129938,348679,61548,31930,17557,12166,3811,2080,,,,,
10:30.0,00:00.0,100,2,16,64,40,68392,4532,1751,2518,1421,1320,810,503,,,,,
10:31.0,00:00.0,100,2,21,61,41,504239,23042,4239,4743,3934,1722,725,726,,,,,
10:32.0,00:00.0,100,2,24,70,47,280369,11176,9748,8061,8950,2347,1506,490,,,,,
10:33.0,00:00.0,100,2,41,69,55,16231,23394,30502,9382,25198,17438,7201,3260,,,,,
10:34.0,00:00.0,100,2,54,61,57,82150,17179,967,13160,26426,15968,3486,1142,,,,,
10:35.0,00:00.0,100,2,63,56,59,677995,101399,3306,17725,14187,14545,11516,4443,,,,,
10:36.0,00:00.0,87,2,63,56,59,125247,11578,2224,1176,1003,522,130,137,,,,,
10:37.0,00:00.0,87,2,63,56,59,1193776,6930,2951,2522,297,674,127,130,,,,,
10:38.0,00:00.0,87,2,63,56,59,121498,67743,22239,15777,7777,5586,4251,7405,,,,,
10:39.0,00:00.0,100,2,64,53,58,99530,47657,14707,18673,3454,7918,1365,1050,,,,,
10:40.0,00:00.0,100,2,57,43,50,115139,42542,7974,3655,6952,7003,883,465,,,,,
10:41.0,00:00.0,100,2,51,60,55,7675,1590,6590,5068,3748,3373,1676,404,,,,,
10:42.0,00:00.0,87,2,51,60,55,79659,1144,510,296,624,546,81,85,,,,,
10:43.0,00:00.0,87,2,51,60,55,374258,19937,15550,2756,643,1168,1757,922,,,,,
10:44.0,00:00.0,87,2,51,60,55,53431,41035,39400,11674,4144,5381,7853,7409,,,,,
