'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
46:30.0,00:00.0,100,2,29,38,33,175839,173963,3472,14188,4796,2674,6917,872,,11896.96561,8708.5,4462.026455,2281.939153
46:31.0,00:00.0,100,2,16,37,26,27685,51138,13291,14131,4356,2611,2076,542,,,,,
46:32.0,00:00.0,100,2,16,30,23,119977,7431,815,2155,1193,487,461,252,,,,,
46:33.0,00:00.0,100,2,14,38,26,219972,95293,32557,14993,4280,5914,7583,1236,,,,,
46:34.0,00:00.0,100,2,30,53,41,13262,41799,26988,6536,18395,7507,2491,719,,,,,
46:35.0,00:00.0,100,2,48,53,50,12931,11493,16092,8430,31161,7585,6046,3612,,,,,
46:36.0,00:00.0,100,2,53,61,57,19263,23889,23495,5173,9926,4834,2587,933,,,,,
46:37.0,00:00.0,100,2,63,63,63,48147,4268,2631,2908,2703,1245,2071,512,,,,,
46:38.0,00:00.0,100,2,70,69,69,21518,22391,24807,24324,8661,15864,3974,2682,,,,,
46:39.0,00:00.0,100,2,63,69,66,31224,39122,6780,11787,3565,5452,2846,1146,,,,,
46:40.0,00:00.0,100,2,56,57,56,256396,39760,4523,5521,4115,1984,1463,983,,,,,
46:41.0,00:00.0,100,2,57,56,56,27995,61515,23870,19001,12341,14954,7017,4923,,,,,
46:42.0,00:00.0,100,2,48,43,45,68064,162188,31022,18450,14310,14595,12098,6232,,,,,
46:43.0,00:00.0,100,2,57,50,53,5459,24990,23132,21366,10755,20368,4614,2116,,,,,
46:44.0,00:00.0,100,2,66,61,63,28656,21050,26138,8563,19699,6234,3845,2889,,,,,
46:45.0,00:00.0,100,2,54,56,55,332718,47291,4586,9106,3174,2382,606,368,,,,,
46:46.0,00:00.0,100,2,64,63,63,25703,24343,8459,19530,13985,10269,4059,5964,,,,,
46:47.0,00:00.0,100,2,63,53,58,44397,63391,3681,18621,7376,16688,3899,4145,,,,,
46:48.0,00:00.0,100,2,63,56,59,21554,23161,27286,19514,11222,8129,8862,4831,,,,,
46:49.0,00:00.0,100,2,61,61,61,1063733,190482,84085,18725,28428,10127,4381,3376,,,,,
46:50.0,00:00.0,100,2,54,57,55,30290,41556,18368,12105,14458,7417,5332,1478,,,,,
46:51.0,00:00.0,100,2,50,64,57,87697,48549,17037,19165,6843,10867,4156,1634,,,,,
46:52.0,00:00.0,100,2,41,41,41,15243,52446,2401,3241,2230,2374,432,544,,,,,
46:53.0,00:00.0,100,2,50,41,45,42536,61766,16357,14706,10041,8661,7994,2200,,,,,
46:54.0,00:00.0,100,2,53,43,48,15061,42096,24793,16304,16503,12274,3686,2760,,,,,
46:55.0,00:00.0,100,2,63,40,51,47970,13887,5244,11909,24275,13275,13201,1380,,,,,
46:56.0,00:00.0,100,2,63,61,62,79503,12936,14595,2945,5820,1238,1109,402,,,,,
46:57.0,00:00.0,100,2,63,60,61,100240,19251,6978,1757,3387,2984,330,268,,,,,
46:58.0,00:00.0,100,2,64,61,62,191581,46491,34387,17040,7032,14399,7548,5834,,,,,
46:59.0,00:00.0,100,2,43,48,45,286410,46082,2155,4281,10479,1890,6551,3512,,,,,
