'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
27:07.0,00:00.0,100,2,51,41,46,697698,317581,78978,44059,18039,33564,43572,8097,,22485.81509,18550.98868,11134.35094,5101.873585
27:08.0,00:00.0,74,5,51,41,46,1659962,23962,30689,29727,13274,7565,4100,1271,,,,,
27:09.0,00:00.0,100,5,60,47,53,2200903,16310,10257,15664,15040,7940,3478,1587,,,,,
27:10.0,00:00.0,100,2,48,43,45,2401838,1226988,48267,308562,33805,51926,55767,36944,,,,,
27:11.0,00:00.0,100,2,35,37,36,1760339,205755,14253,10196,22469,7530,8128,6442,,,,,
27:12.0,00:00.0,100,2,30,26,28,446333,109850,7100,13151,6355,7982,8146,11109,,,,,
27:13.0,00:00.0,100,2,17,10,13,705844,206293,17438,19537,18148,11151,10378,9123,,,,,
27:14.0,00:00.0,100,2,23,26,24,2287955,286580,285146,127288,47461,40390,100165,25104,,,,,
27:15.0,00:00.0,100,2,20,43,31,990174,153123,52717,9822,7697,5491,9959,7999,,,,,
27:16.0,00:00.0,100,2,11,44,27,461803,300101,23817,32278,8103,8853,9750,4148,,,,,
27:17.0,00:00.0,100,2,17,51,34,1403231,886006,185308,99283,29316,102536,72327,10594,,,,,
27:18.0,00:00.0,100,2,10,34,22,1848775,670629,129453,19299,30449,18485,21468,10744,,,,,
27:19.0,00:00.0,100,2,17,23,20,2199607,705307,48196,69955,18786,43767,28448,13353,,,,,
27:20.0,00:00.0,100,2,14,24,19,2792511,1062117,228827,47841,199711,27889,31842,31346,,,,,
27:21.0,00:00.0,100,2,10,34,22,1898015,362651,169938,86921,87709,31133,41742,13481,,,,,
27:22.0,00:00.0,100,2,35,34,34,1015274,26740,3462,4931,3277,10672,6252,5414,,,,,
27:23.0,00:00.0,100,2,51,37,44,1320953,221663,17857,44373,28925,67758,26561,21930,,,,,
27:24.0,00:00.0,100,2,60,30,45,333767,636250,47236,52130,83047,34505,37726,7263,,,,,
27:25.0,00:00.0,100,2,53,40,46,927962,33024,15609,32392,4829,2262,5453,1878,,,,,
27:26.0,00:00.0,100,2,27,40,33,618246,231365,37905,16252,13615,6261,9314,9278,,,,,
27:27.0,00:00.0,100,2,24,56,40,159321,32615,28808,32793,23134,16919,30835,6640,,,,,
27:28.0,00:00.0,100,2,30,88,59,21177,31816,39385,50285,9217,12078,12041,5012,,,,,
27:29.0,00:00.0,100,2,51,69,60,90614,12435,2432,3016,2837,3673,5046,712,,,,,
27:30.0,00:00.0,100,2,70,78,74,483842,105946,27100,45661,23174,25256,3601,7831,,,,,
27:31.0,00:00.0,100,2,69,83,76,198550,14446,22474,35849,19981,12627,5680,11364,,,,,
27:32.0,00:00.0,100,2,69,64,66,346657,117569,24937,26624,12812,15966,17008,5153,,,,,
27:33.0,00:00.0,100,2,67,81,74,834672,32518,17447,76800,23053,23064,30956,8359,,,,,
27:34.0,00:00.0,100,2,57,75,66,1253872,563878,131648,44468,53805,41019,22538,15846,,,,,
27:35.0,00:00.0,100,2,61,64,62,414311,103361,75633,38498,55694,51904,48899,10929,,,,,
27:36.0,00:00.0,100,2,66,77,71,26723,8310,28998,28329,35707,11929,13039,3332,,,,,
27:37.0,00:00.0,100,2,70,69,69,30160,25329,41430,17867,41766,26222,5778,2231,,,,,
27:38.0,00:00.0,100,2,78,78,78,15154,45631,31116,19440,37947,9323,3545,1594,,,,,
27:39.0,00:00.0,100,2,64,75,69,204040,77255,29198,17614,35378,8125,6316,2975,,,,,
27:40.0,00:00.0,100,2,66,69,67,55633,30495,31451,10494,21451,13170,8830,2211,,,,,
27:41.0,00:00.0,100,2,53,66,59,315633,42002,24047,6421,11243,5951,1758,1644,,,,,
27:42.0,00:00.0,100,2,53,63,58,139151,87294,21907,30506,18872,16125,8952,7552,,,,,
27:43.0,00:00.0,87,4,53,63,58,2682194,587166,132343,102436,28786,15852,4028,2521,,,,,
27:44.0,00:00.0,100,4,63,56,59,2148669,115864,17401,20332,26986,26444,4610,3238,,,,,
27:45.0,00:00.0,100,4,51,57,54,207143,75807,42511,33568,25405,8318,4988,3552,,,,,
27:46.0,00:00.0,100,4,53,44,48,97039,100323,15453,8567,34873,12085,3660,4804,,,,,
27:47.0,00:00.0,100,4,53,48,50,65891,50791,18014,33930,23462,12384,7780,3392,,,,,
27:48.0,00:00.0,100,4,60,64,62,122410,35997,21134,61796,31608,32471,6251,9847,,,,,
27:49.0,00:00.0,100,4,70,63,66,35192,17785,17328,12642,20660,9973,10238,1719,,,,,
27:50.0,00:00.0,100,2,75,80,77,424747,41398,3102,32518,2739,9346,4977,2353,,,,,
27:51.0,00:00.0,100,2,75,67,71,614584,113834,16654,12419,14175,17269,3894,15058,,,,,
27:52.0,00:00.0,100,2,75,64,69,567038,41607,21244,32912,12254,25804,24616,5830,,,,,
27:53.0,00:00.0,100,2,64,57,60,707415,40057,7206,10545,5961,4040,2907,2339,,,,,
27:54.0,00:00.0,74,7,64,57,60,1219094,420178,112782,165681,83722,65651,42309,21603,,,,,
27:55.0,00:00.0,74,7,64,57,60,776501,71766,17081,28136,54686,36436,20351,12282,,,,,
27:56.0,00:00.0,74,7,64,57,60,44960,89132,11814,19459,40113,36001,35202,15909,,,,,
27:57.0,00:00.0,74,7,64,57,60,439571,821545,24527,98309,46698,285993,51394,52501,,,,,
27:58.0,00:00.0,74,7,64,57,60,1302868,39339,13212,21144,11780,16806,5242,4040,,,,,
27:59.0,00:00.0,74,7,64,57,60,375248,79543,68026,49250,43511,30126,14471,11860,,,,,
28:00.0,00:00.0,74,7,0,0,0,1385814,79194,12071,7730,5487,7689,1523,725,,,,,
28:01.0,00:00.0,100,7,0,0,0,407655,30737,2947,3729,2575,4909,1049,677,,,,,
28:02.0,00:00.0,100,7,0,0,0,2083529,740150,62618,40957,63136,17577,17794,3909,,,,,
28:03.0,00:00.0,100,7,0,0,0,956641,88421,23177,4390,9296,8672,2967,1671,,,,,
28:04.0,00:00.0,100,7,57,63,60,738590,58814,22899,8053,6430,3702,2374,489,,,,,
28:05.0,00:00.0,100,1,63,78,70,50495,92894,32451,18688,18204,13910,1864,2004,,,,,
28:06.0,00:00.0,100,3,60,87,73,1236171,104337,17604,76695,29078,20613,6298,1415,,,,,
28:07.0,00:00.0,100,2,67,96,81,520530,74466,22065,16804,10246,9266,4528,1018,,,,,
28:08.0,00:00.0,100,2,69,100,84,874087,26164,12921,14651,8822,2637,2233,687,,,,,
28:09.0,00:00.0,74,5,69,100,84,854616,145393,17784,17783,4653,6882,734,645,,,,,
28:10.0,00:00.0,74,5,69,100,84,828897,44256,24021,37497,14027,21799,3160,1849,,,,,
28:11.0,00:00.0,100,5,63,93,78,658374,285379,49194,20388,33561,19865,8467,2753,,,,,
