'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
46:28.0,00:00.0,100,2,27,40,33,712295,135035,40396,35615,20111,17594,19442,10504,,20477.18302,18203.19098,11704.1061,5444.074271
46:29.0,00:00.0,100,2,41,24,32,159220,9348,2055,1537,2333,1834,1791,1354,,,,,
46:30.0,00:00.0,100,2,35,27,31,461413,711076,77018,108354,79658,45280,35777,17570,,,,,
46:31.0,00:00.0,100,2,37,29,33,711399,72747,13150,7805,2519,5810,4802,6687,,,,,
46:32.0,00:00.0,100,2,35,10,22,2195317,423376,15125,5633,22216,30997,39022,4330,,,,,
46:33.0,00:00.0,100,2,23,1,12,1297993,209538,2286,14275,37154,10468,14341,7187,,,,,
46:34.0,00:00.0,100,3,24,11,17,1298908,44282,24002,10343,7248,5363,5440,1262,,,,,
46:35.0,00:00.0,87,5,24,11,17,1027838,71325,19748,6236,3578,4249,1113,655,,,,,
46:36.0,00:00.0,87,5,24,11,17,186148,21142,903,10717,7756,1163,1626,282,,,,,
46:37.0,00:00.0,87,5,24,11,17,1192876,102715,14583,6981,7023,14797,4920,7125,,,,,
46:38.0,00:00.0,100,5,34,17,25,532939,21371,3834,12477,10048,5371,8117,1357,,,,,
46:39.0,00:00.0,100,5,43,47,45,76503,32343,19721,37024,17300,13342,10555,7607,,,,,
46:40.0,00:00.0,100,5,50,81,65,59731,5622,14102,33142,6009,4964,4366,2273,,,,,
46:41.0,00:00.0,100,1,51,70,60,241385,107225,19255,14093,40105,11413,9273,7494,,,,,
46:42.0,00:00.0,100,1,44,80,62,104029,14711,16619,7619,4402,2847,2775,699,,,,,
46:43.0,00:00.0,100,1,40,77,58,58289,94896,49647,24481,24906,15498,9563,8902,,,,,
46:44.0,00:00.0,100,1,51,61,56,40801,29630,3418,25735,3967,16926,16550,4976,,,,,
46:45.0,00:00.0,100,1,70,69,69,19130,15360,16986,11460,23351,18481,6017,3427,,,,,
46:46.0,00:00.0,100,1,80,61,70,7632,50130,10042,23723,8266,14270,10639,6634,,,,,
46:47.0,00:00.0,100,1,88,70,79,57991,8877,16544,41676,15808,14932,5873,5703,,,,,
46:48.0,00:00.0,100,1,91,63,77,86759,8543,1486,2939,3431,4761,2062,879,,,,,
46:49.0,00:00.0,100,1,87,69,78,442006,24794,46118,20009,22175,24985,7876,5764,,,,,
46:50.0,00:00.0,100,1,93,74,83,15187,14007,35612,18810,42469,21794,12021,2267,,,,,
46:51.0,00:00.0,100,1,90,57,73,1005902,68481,26860,5242,12363,17920,7845,3578,,,,,
46:52.0,00:00.0,100,1,81,67,74,19525,48563,15316,36213,16220,15443,8031,6657,,,,,
46:53.0,00:00.0,100,1,78,56,67,34756,54970,17819,10470,16990,16834,2864,1319,,,,,
46:54.0,00:00.0,100,1,81,57,69,455580,24249,44636,2576,6325,27057,3134,4014,,,,,
