'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:47.0,00:00.0,100,1,14,81,47,187648,214718,37909,48469,25775,22948,10506,2953,,21256.3141,26907.77673,21868.21003,8192.97351
00:48.0,00:00.0,100,1,38,88,63,316485,25817,31457,13948,10268,20137,3546,2468,,,,,
00:49.0,00:00.0,100,1,40,69,54,28537,106472,14215,3687,11267,9912,7822,2686,,,,,
00:50.0,00:00.0,100,1,47,57,52,163388,8554,5216,4524,4384,3662,2017,642,,,,,
00:51.0,00:00.0,100,1,75,51,63,16417,8081,3152,1877,4245,16409,11625,3561,,,,,
00:52.0,00:00.0,100,1,67,51,59,9340,26110,30364,12817,6730,12659,27756,8997,,,,,
00:53.0,00:00.0,100,1,88,70,79,21356,8076,25889,7292,10214,26886,20138,2567,,,,,
00:54.0,00:00.0,100,1,87,69,78,24433,36377,7009,20368,4718,12946,12022,7740,,,,,
00:55.0,00:00.0,100,1,78,81,79,12602,16812,5756,14431,5580,26605,9690,3897,,,,,
00:56.0,00:00.0,100,1,84,74,79,208917,54043,12976,29380,12633,30857,4868,2749,,,,,
00:57.0,00:00.0,100,2,57,60,58,496208,471111,95362,35432,52493,26565,33214,5144,,,,,
00:58.0,00:00.0,100,2,60,63,61,44623,21609,27768,7721,16194,11673,7904,5257,,,,,
00:59.0,00:00.0,100,1,44,61,52,81687,76550,22570,26309,30342,17971,16866,16281,,,,,
01:00.0,00:00.0,100,1,47,67,57,21666,21732,36036,17424,11833,32134,16241,10944,,,,,
01:01.0,00:00.0,100,1,67,70,68,26931,18693,8161,4240,7285,12426,8341,3939,,,,,
01:02.0,00:00.0,100,1,54,54,54,901417,411209,31885,53477,54721,29795,21740,9819,,,,,
01:03.0,00:00.0,100,1,77,48,62,11401,18742,5892,7121,13298,38411,35789,16275,,,,,
01:04.0,00:00.0,100,1,67,41,54,15194,23549,4802,17419,14623,8591,13414,12006,,,,,
01:05.0,00:00.0,100,1,54,41,47,585712,20538,6726,1997,4366,2611,6266,1882,,,,,
01:06.0,00:00.0,100,1,70,43,56,588173,55721,13035,7813,28952,27333,13900,9453,,,,,
01:07.0,00:00.0,100,1,53,57,55,96556,31594,17440,17459,7953,12787,16435,1972,,,,,
01:08.0,00:00.0,100,1,51,63,57,361506,38940,11957,22795,5631,11990,6386,1952,,,,,
01:09.0,00:00.0,100,2,64,69,66,717523,28697,11310,23475,6404,23491,9472,4802,,,,,
01:10.0,00:00.0,100,2,53,63,58,997977,257993,21228,14871,46286,28828,16473,3546,,,,,
01:11.0,00:00.0,100,2,56,50,53,136568,98596,8829,22073,17196,32477,16020,6258,,,,,
01:12.0,00:00.0,100,2,60,48,54,556086,52928,22357,23139,6551,21565,48410,4450,,,,,
01:13.0,00:00.0,100,2,74,27,50,17135,6601,3026,567,8365,22082,13107,2763,,,,,
01:14.0,00:00.0,100,2,77,48,62,4743,38453,28193,12267,10519,15142,13824,5520,,,,,
01:15.0,00:00.0,100,2,74,56,65,26218,69764,42994,9501,13854,23623,23535,3638,,,,,
01:16.0,00:00.0,100,2,69,60,64,661114,28504,31558,11890,8904,14785,17250,6139,,,,,
01:17.0,00:00.0,100,3,38,66,52,814098,580135,57713,46175,29465,37558,44528,18539,,,,,
01:18.0,00:00.0,100,2,27,57,42,303145,17139,4486,1472,1107,1332,764,335,,,,,
01:19.0,00:00.0,100,2,35,48,41,78660,37943,8365,5244,9801,22625,17001,1955,,,,,
01:20.0,00:00.0,100,2,35,41,38,27079,80592,18294,31204,15529,26438,7026,5923,,,,,
01:21.0,00:00.0,100,2,48,53,50,1706361,279243,185223,42963,30018,125884,59884,21266,,,,,
01:22.0,00:00.0,100,2,60,57,58,5425,21041,11852,4328,2628,7977,9033,3567,,,,,
01:23.0,00:00.0,100,2,60,64,62,45509,37521,12641,14152,20814,29186,12458,4500,,,,,
01:24.0,00:00.0,100,2,48,70,59,452472,139806,87951,52435,34236,16649,61618,3346,,,,,
01:25.0,00:00.0,100,2,48,74,61,808138,51312,21802,35748,27795,26972,36603,4501,,,,,
01:26.0,00:00.0,100,2,48,69,58,126873,59184,7275,21537,15628,14476,8575,13636,,,,,
01:27.0,00:00.0,87,2,48,69,58,1156661,72676,15483,17176,6199,10602,5116,1050,,,,,
01:28.0,00:00.0,100,2,53,66,59,610942,27469,6987,17546,19636,43396,9756,20922,,,,,
01:29.0,00:00.0,100,2,74,47,60,37718,31726,5513,3600,14351,21289,9548,3707,,,,,
01:30.0,00:00.0,100,2,81,40,60,14864,11661,4670,5012,6133,13585,7884,5701,,,,,
01:31.0,00:00.0,100,2,84,44,64,11410,40581,32836,17081,21149,25601,41178,4566,,,,,
01:32.0,00:00.0,100,2,75,48,61,10657,57078,24900,7525,12227,25651,16664,3871,,,,,
01:33.0,00:00.0,100,2,77,63,70,40410,18057,15427,7286,8516,23800,11992,9378,,,,,
01:34.0,00:00.0,100,2,54,66,60,45118,32290,6136,9505,3106,2479,8939,1270,,,,,
01:35.0,00:00.0,100,2,54,56,55,24367,20428,3988,5743,15262,8662,12652,6272,,,,,
01:36.0,00:00.0,100,2,53,66,59,1190118,66926,101706,25369,45403,42177,15820,4503,,,,,
01:37.0,00:00.0,100,2,38,61,49,295351,10894,3492,2268,3726,2240,434,696,,,,,
01:38.0,00:00.0,100,2,38,67,52,1696124,305268,204450,84098,63997,29285,36799,25522,,,,,
01:39.0,00:00.0,100,1,14,77,45,1225574,120055,57119,7828,5997,4261,23197,1900,,,,,
01:40.0,00:00.0,100,1,11,74,42,1077144,124161,47549,66818,9842,37965,60014,23933,,,,,
01:41.0,00:00.0,100,1,17,77,47,114091,15918,8425,1913,1865,5838,6855,5919,,,,,
01:42.0,00:00.0,100,1,38,61,49,27276,32945,2792,7702,4098,21021,68599,11502,,,,,
01:43.0,00:00.0,100,1,50,50,50,103318,170822,27068,16982,50926,17957,23233,13981,,,,,
01:44.0,00:00.0,100,1,69,34,51,6926,10713,1220,6178,18705,27037,17103,12289,,,,,
01:45.0,00:00.0,100,1,78,30,54,8831,12023,5153,9744,8816,18215,42954,2126,,,,,
01:46.0,00:00.0,100,1,78,44,61,11878,16301,15806,5209,3847,16665,23369,5388,,,,,
01:47.0,00:00.0,100,1,91,47,69,124549,11749,1779,2286,1993,6251,11888,6108,,,,,
01:48.0,00:00.0,100,1,67,57,62,25804,95855,33872,15211,4263,15840,16510,32206,,,,,
01:49.0,00:00.0,100,1,61,53,57,293388,32948,15307,6642,25101,16887,33254,7769,,,,,
01:50.0,00:00.0,100,1,54,50,52,21622,67399,20670,20922,13463,21696,22141,3322,,,,,
01:51.0,00:00.0,100,1,56,60,58,1502398,31401,19803,24413,11860,40050,27177,5612,,,,,
01:52.0,00:00.0,100,3,54,60,57,615607,364348,122454,64769,46365,49879,17179,6097,,,,,
01:53.0,00:00.0,100,4,48,69,58,602749,39353,40171,5279,16528,14327,1531,1653,,,,,
01:54.0,00:00.0,100,4,64,60,62,60336,14186,7359,2416,10441,28770,5693,3412,,,,,
01:55.0,00:00.0,100,4,56,56,56,318370,146275,24213,48506,25217,39092,60514,17200,,,,,
01:56.0,00:00.0,100,4,56,53,54,347946,40160,9952,4330,3774,5123,3412,2473,,,,,
01:57.0,00:00.0,100,4,63,43,53,52049,52268,7711,16695,14560,23240,21860,9412,,,,,
01:58.0,00:00.0,100,4,64,48,56,17537,11628,5268,13068,12176,47017,29825,15368,,,,,
01:59.0,00:00.0,100,4,74,51,62,8746,19077,4802,19190,9488,18925,49305,8491,,,,,
02:00.0,00:00.0,100,4,94,50,72,13117,20510,5502,11348,5373,42470,18586,5296,,,,,
02:01.0,00:00.0,100,4,100,56,78,11936,10720,10017,9150,9073,16096,13187,10471,,,,,
02:02.0,00:00.0,100,4,74,70,72,29329,25327,2017,34409,2843,5557,63107,5797,,,,,
02:03.0,00:00.0,100,4,75,53,64,10526,55941,3595,5249,10444,36288,27705,21193,,,,,
02:04.0,00:00.0,100,4,53,48,50,30791,49401,7357,2889,9551,6123,25582,27594,,,,,
02:05.0,00:00.0,100,4,50,41,45,15278,28938,16350,6031,32027,20464,62817,17882,,,,,
02:06.0,00:00.0,100,4,54,20,37,1812533,104200,7167,12240,10884,17750,18480,12110,,,,,
02:07.0,00:00.0,100,4,48,37,42,154139,8033,11153,7103,22789,7031,8608,11580,,,,,
