'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
20:44.0,00:00.0,100,1,30,61,45,77039,24565,5252,5156,6895,2806,4353,1460,,23377.55086,23457.20921,15848.14203,8381.702495
20:45.0,00:00.0,100,1,43,63,53,6045,10697,9120,3822,8390,2594,2441,1628,,,,,
20:47.0,00:00.0,100,1,41,83,62,5080,20875,10511,23503,3980,6152,2711,1123,,,,,
20:47.0,00:00.0,100,1,43,78,60,747046,45762,36192,37112,36494,23825,3273,6146,,,,,
20:48.0,00:00.0,100,2,38,69,53,1097317,525835,44682,24156,17089,23950,16090,5447,,,,,
20:49.0,00:00.0,100,2,38,64,51,604674,10058,5366,1667,3394,2043,728,406,,,,,
20:50.0,00:00.0,100,2,38,60,49,1391332,46669,37521,12197,24543,10116,3662,1823,,,,,
20:51.0,00:00.0,100,2,35,51,43,394013,3115,686,961,1199,708,315,81,,,,,
20:52.0,00:00.0,100,2,40,69,54,575715,74772,33002,35083,19727,8332,4684,3444,,,,,
20:53.0,00:00.0,100,2,38,67,52,91163,29412,7328,10422,16781,3862,3993,2801,,,,,
20:54.0,00:00.0,100,2,38,56,47,480433,176034,11421,33857,24814,24886,38825,3159,,,,,
20:55.0,00:00.0,100,2,38,51,44,93260,68518,14035,4257,12684,12668,25032,11616,,,,,
20:56.0,00:00.0,100,2,43,47,45,82434,142504,42910,43084,13582,25376,23327,8305,,,,,
20:57.0,00:00.0,100,2,61,40,50,10372,11812,3596,4692,12998,21994,30070,6738,,,,,
20:58.0,00:00.0,100,2,80,47,63,21159,7198,6177,7927,4411,21643,11352,5801,,,,,
20:59.0,00:00.0,100,2,84,53,68,29574,38991,17915,10363,10119,23260,9625,6484,,,,,
21:00.0,00:00.0,100,2,78,43,60,190150,113177,11026,11665,5658,5826,2839,2579,,,,,
21:01.0,00:00.0,100,2,47,51,49,1269721,203806,81388,17854,24193,5717,2484,3163,,,,,
21:02.0,00:00.0,100,2,27,56,41,235239,20496,7777,7220,2182,3862,1097,917,,,,,
21:03.0,00:00.0,100,2,10,60,35,599328,76986,40861,4402,6861,3669,1704,1777,,,,,
21:04.0,00:00.0,100,2,13,75,44,107761,33946,6221,25520,6890,4190,2823,1161,,,,,
21:05.0,00:00.0,100,2,37,75,56,69974,13251,6557,6838,9750,8670,17243,3224,,,,,
21:06.0,00:00.0,100,2,41,67,54,6451,32486,1537,14145,12550,9516,6796,1328,,,,,
21:07.0,00:00.0,100,2,56,60,58,109894,7994,2492,990,2113,2572,2799,823,,,,,
21:08.0,00:00.0,100,2,61,51,56,166625,28168,9915,5770,9902,5049,2443,3845,,,,,
21:09.0,00:00.0,100,2,57,47,52,11576,13472,4328,3620,10602,4759,3062,1092,,,,,
21:10.0,00:00.0,100,2,61,48,54,177428,47053,26442,23293,49115,29678,9072,4768,,,,,
21:11.0,00:00.0,87,5,61,48,54,792357,210071,23365,95526,58314,49791,6187,12317,,,,,
21:12.0,00:00.0,87,5,61,48,54,615392,17425,9345,8030,3584,6484,1494,735,,,,,
21:13.0,00:00.0,100,2,57,57,57,1555033,157807,132718,17649,55497,46106,100071,20813,,,,,
21:14.0,00:00.0,100,2,50,66,58,2274468,68449,45548,24093,20179,5326,22640,4827,,,,,
21:15.0,00:00.0,100,2,47,80,63,846172,39609,45551,10808,14403,13388,18586,4258,,,,,
21:16.0,00:00.0,100,2,38,77,57,996170,65576,12601,10312,5269,8456,10202,3373,,,,,
21:17.0,00:00.0,100,2,35,63,49,1492135,166130,16922,27385,20676,23410,42017,22318,,,,,
21:18.0,00:00.0,100,2,47,47,47,1084571,207348,25602,24674,25221,33000,111997,51468,,,,,
21:19.0,00:00.0,100,2,41,44,42,194170,16108,2410,11466,1750,2536,2764,1740,,,,,
21:20.0,00:00.0,100,2,53,40,46,651481,58337,12846,6029,6216,44781,38347,28284,,,,,
21:21.0,00:00.0,100,2,61,41,51,843362,156396,51688,10494,8288,66550,38940,34020,,,,,
21:22.0,00:00.0,100,2,63,44,53,961291,119562,23045,10856,13026,24831,80764,29479,,,,,
21:23.0,00:00.0,100,2,67,29,48,286046,79248,9493,8246,6547,13444,11116,3950,,,,,
21:24.0,00:00.0,100,3,53,48,50,390741,51069,46979,20341,8700,8556,2335,1470,,,,,
21:25.0,00:00.0,74,5,53,48,50,1585659,355579,370037,100773,44974,39105,43269,29213,,,,,
21:26.0,00:00.0,100,5,41,57,49,782661,72700,53248,17592,17742,12688,5765,678,,,,,
21:27.0,00:00.0,100,5,51,50,50,56491,15171,1992,699,2534,9412,1760,2173,,,,,
21:28.0,00:00.0,100,5,54,70,62,13919,9554,17247,13497,3213,10128,4794,2152,,,,,
