'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:46.0,00:00.0,100,1,10,38,24,549719,126666,38390,31881,11063,10344,6724,3791,,18001.23214,17601.03665,10330.96898,4470.069549
00:47.0,00:00.0,100,1,8,41,24,1414010,64739,17019,20145,24467,11733,5998,4426,,,,,
00:48.0,00:00.0,100,1,17,41,29,53162,80184,15408,31989,10806,28423,6015,4434,,,,,
00:49.0,00:00.0,100,1,26,53,39,611475,37999,17768,16259,44408,18923,6332,2056,,,,,
00:50.0,00:00.0,100,1,44,57,50,71823,5662,3995,2627,918,3416,3722,1469,,,,,
00:51.0,00:00.0,100,2,43,60,51,1515579,260397,123396,21000,42058,37447,15460,4781,,,,,
00:52.0,00:00.0,100,2,38,61,49,890217,121146,26449,42575,24665,24305,8440,8369,,,,,
00:53.0,00:00.0,100,2,34,80,57,27614,12317,7724,52696,12733,13958,24479,9041,,,,,
00:54.0,00:00.0,100,2,38,67,52,37996,37438,9254,14646,26257,26357,19452,5160,,,,,
00:55.0,00:00.0,100,2,54,74,64,42094,11139,1505,22745,8937,19930,42352,12374,,,,,
00:56.0,00:00.0,100,2,74,56,65,18326,22150,972,4755,8046,16899,31254,8725,,,,,
00:57.0,00:00.0,100,2,78,43,60,422977,22239,16628,11643,18923,15304,8216,2528,,,,,
00:58.0,00:00.0,100,2,63,60,61,1224345,86621,26075,97377,20473,21394,5596,1403,,,,,
00:59.0,00:00.0,100,2,38,61,49,1091556,108339,80683,22194,27919,10314,12951,4456,,,,,
01:00.0,00:00.0,100,2,21,93,57,113122,4749,12783,3211,3482,2625,978,436,,,,,
01:01.0,00:00.0,100,2,14,83,48,157348,60620,2989,14847,9929,12411,9810,4111,,,,,
01:02.0,00:00.0,100,2,26,74,50,58816,15876,13554,4146,13813,10882,6048,1497,,,,,
01:03.0,00:00.0,100,2,43,66,54,19143,29232,13566,6541,5154,13709,9759,3537,,,,,
01:04.0,00:00.0,100,2,41,66,53,27749,22073,52153,22990,13707,9789,5346,2371,,,,,
01:05.0,00:00.0,100,2,56,74,65,122113,18909,14756,17355,39249,35173,4979,6732,,,,,
01:06.0,00:00.0,100,1,47,64,55,1875371,257870,26016,52725,53723,33815,10972,2363,,,,,
01:07.0,00:00.0,100,1,38,57,47,206082,28781,6338,2024,2680,5217,2672,1794,,,,,
01:08.0,00:00.0,100,1,41,38,39,2572310,100750,20713,31415,20788,22260,14067,4198,,,,,
01:09.0,00:00.0,100,1,30,51,40,13808,16518,41995,6787,14119,17999,14022,4925,,,,,
01:10.0,00:00.0,100,1,34,61,47,398698,35718,26051,2729,13782,8662,13209,4952,,,,,
01:11.0,00:00.0,100,1,44,74,59,13809,15327,25889,2122,12725,18073,15911,5363,,,,,
01:12.0,00:00.0,100,1,35,70,52,1916606,160365,23457,31094,8558,11249,9078,3405,,,,,
01:13.0,00:00.0,100,1,29,60,44,49277,13685,3737,5382,3234,3912,539,1081,,,,,
01:14.0,00:00.0,100,1,26,66,46,200657,49642,52661,9832,18043,11095,6863,1825,,,,,
01:15.0,00:00.0,100,1,13,74,43,37401,25782,13522,36324,15014,10083,3377,6510,,,,,
01:16.0,00:00.0,100,1,23,87,55,916042,60076,66269,10983,21347,15569,5557,1157,,,,,
01:17.0,00:00.0,100,1,24,83,53,108112,18818,6386,7600,15236,7313,2809,2046,,,,,
01:18.0,00:00.0,100,1,13,64,38,708167,22660,2334,2820,1336,830,1199,494,,,,,
