'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
20:43.0,00:00.0,100,2,35,60,47,684527,74221,21468,12609,7944,29847,14933,3424,,14974.43629,15491.76448,9488.895753,4545.121622
20:44.0,00:00.0,100,2,40,51,45,7730,57002,15639,11803,11115,10540,15952,2361,,,,,
20:45.0,00:00.0,100,2,51,54,52,54323,22124,29866,3937,25740,23879,7887,3941,,,,,
20:46.0,00:00.0,100,2,63,56,59,9537,45217,21108,14134,11669,30466,5609,4617,,,,,
20:47.0,00:00.0,100,2,67,67,67,8465,9736,16725,10024,2544,15869,4815,2279,,,,,
20:48.0,00:00.0,100,2,80,64,72,9702,25646,10724,4203,14497,16428,6700,2975,,,,,
20:49.0,00:00.0,100,2,77,64,70,44091,16170,17836,4433,18058,11858,15109,8354,,,,,
20:50.0,00:00.0,100,2,75,69,72,9794,22278,9711,23823,19205,15082,15777,3046,,,,,
20:51.0,00:00.0,100,2,81,61,71,14563,7697,12808,5711,4137,25282,17456,3511,,,,,
20:52.0,00:00.0,100,2,77,69,73,42010,31565,7021,25239,7540,16748,8340,2504,,,,,
20:53.0,00:00.0,100,2,84,75,79,11019,11698,22172,6601,4162,27886,16454,20577,,,,,
20:54.0,00:00.0,100,2,83,67,75,54474,40972,18938,7476,13208,17594,6287,3583,,,,,
20:55.0,00:00.0,100,2,69,80,74,22609,5607,5249,28507,9068,8890,18095,7449,,,,,
20:56.0,00:00.0,100,2,80,70,75,148203,21069,6417,8850,11872,27298,16427,2063,,,,,
20:57.0,00:00.0,100,2,75,70,72,30638,7630,11959,4750,8843,9512,11019,2963,,,,,
20:58.0,00:00.0,100,2,78,74,76,10440,14452,14766,8866,25792,14539,10675,3876,,,,,
20:59.0,00:00.0,100,2,90,63,76,23780,4637,9103,9691,7020,19952,8454,6148,,,,,
21:00.0,00:00.0,100,2,87,78,82,20426,4659,22495,12022,10851,20468,8619,2845,,,,,
21:01.0,00:00.0,100,2,84,74,79,20576,23985,18215,2845,7464,16206,10980,3062,,,,,
21:02.0,00:00.0,100,2,78,75,76,32009,28466,12116,15212,19329,9499,10532,3305,,,,,
21:03.0,00:00.0,100,2,74,69,71,20553,13729,1642,10892,7405,11404,12495,4633,,,,,
21:04.0,00:00.0,100,2,57,74,65,343056,35103,24554,59291,13331,10838,16042,7121,,,,,
21:05.0,00:00.0,100,2,60,66,63,41715,35607,15088,1768,17613,22696,5411,3879,,,,,
21:06.0,00:00.0,100,2,57,60,58,34549,68453,16390,10203,19361,14223,11881,8262,,,,,
21:07.0,00:00.0,100,2,57,63,60,31786,19015,15539,15961,14104,26394,8453,2890,,,,,
21:08.0,00:00.0,100,2,75,50,62,12080,8895,10109,4965,17226,12846,9557,8917,,,,,
21:09.0,00:00.0,100,2,77,44,60,23918,23827,2347,5191,11331,15681,5010,4150,,,,,
21:10.0,00:00.0,100,2,78,61,69,10771,26589,7592,53299,5639,15133,4358,6076,,,,,
21:11.0,00:00.0,100,2,64,63,63,311492,20786,4087,17856,7943,5540,10719,4731,,,,,
21:12.0,00:00.0,100,2,56,63,59,319347,43765,14811,13552,9310,14720,9735,5393,,,,,
21:13.0,00:00.0,100,2,51,74,62,24091,27251,13888,8217,12364,14655,21722,1409,,,,,
21:14.0,00:00.0,100,2,50,69,59,26345,19440,25627,27891,30003,9852,9006,1620,,,,,
21:15.0,00:00.0,100,2,53,61,57,20332,38836,9873,5811,7912,9606,12219,1868,,,,,
21:16.0,00:00.0,100,2,53,53,53,92493,31502,4098,6437,22708,9797,5742,1794,,,,,
21:17.0,00:00.0,100,2,50,63,56,81692,12370,30242,11713,22042,10493,4397,2609,,,,,
21:18.0,00:00.0,100,2,50,63,56,13066,16691,17313,23434,15147,8228,12010,1829,,,,,
21:19.0,00:00.0,100,2,54,69,61,78700,27144,29930,6193,19626,19642,6900,3123,,,,,
21:20.0,00:00.0,100,2,53,80,66,26883,34251,21920,6840,18645,12869,4929,4661,,,,,
21:21.0,00:00.0,100,2,48,74,61,14440,35017,17257,8286,5131,6423,4628,2120,,,,,
21:22.0,00:00.0,100,2,53,75,64,30128,7758,31765,8718,10662,14152,8815,2337,,,,,
21:23.0,00:00.0,100,2,50,80,65,32146,9245,6217,14353,13477,5467,6358,2726,,,,,
21:24.0,00:00.0,100,2,48,70,59,194885,111043,5483,23344,17793,26588,8622,2956,,,,,
21:25.0,00:00.0,100,2,63,67,65,164142,12951,4404,5894,941,11393,7754,1968,,,,,
21:26.0,00:00.0,100,2,60,61,60,20790,26194,20028,18274,22133,13591,11319,6607,,,,,
21:27.0,00:00.0,100,2,47,38,42,1790974,764775,12053,59835,9565,31015,11069,3694,,,,,
21:28.0,00:00.0,100,2,44,38,41,299912,146311,19606,19946,24913,27338,13543,7536,,,,,
21:29.0,00:00.0,100,2,38,51,44,10865,9616,37108,12737,11801,15329,8504,6931,,,,,
21:30.0,00:00.0,100,2,37,57,47,19381,11940,37354,3245,9266,9511,9338,3646,,,,,
21:31.0,00:00.0,100,2,60,83,71,20456,13181,12705,21453,6465,21036,7956,1879,,,,,
21:32.0,00:00.0,100,2,69,94,81,24354,19351,3902,25997,10261,24334,5037,2746,,,,,
21:33.0,00:00.0,100,2,74,81,77,41287,31265,19013,9697,16501,20811,5029,1615,,,,,
21:34.0,00:00.0,100,2,64,75,69,11499,43483,39420,7759,24818,6699,7334,6405,,,,,
21:35.0,00:00.0,100,2,67,64,65,8656,10965,10061,7238,15628,20453,4668,8549,,,,,
21:36.0,00:00.0,100,2,63,69,66,12487,11740,21368,10239,11679,11802,9198,6103,,,,,
21:37.0,00:00.0,100,2,51,69,60,356807,57535,25277,8401,20936,9007,6126,2610,,,,,
21:38.0,00:00.0,100,2,64,75,69,42537,15208,21267,17141,12463,15779,6627,8559,,,,,
21:39.0,00:00.0,100,2,60,77,68,14136,22171,10813,7873,5682,16904,8407,4891,,,,,
21:40.0,00:00.0,100,2,61,75,68,24927,6608,3801,17521,13623,8071,9512,2655,,,,,
21:41.0,00:00.0,100,2,75,78,76,22499,17910,16359,12080,13799,19775,3661,16842,,,,,
21:42.0,00:00.0,100,2,84,70,77,18190,8101,11711,14574,14565,29957,6423,3400,,,,,
21:43.0,00:00.0,100,2,80,74,77,41655,31856,22579,22418,20326,24313,14141,4937,,,,,
21:44.0,00:00.0,100,2,83,50,66,130599,50110,1889,5322,17472,22831,10455,2844,,,,,
21:45.0,00:00.0,100,2,83,48,65,25665,23452,5771,16827,8536,16558,10941,3236,,,,,
21:46.0,00:00.0,100,2,66,47,56,484926,88591,20756,28215,3125,19159,6087,2963,,,,,
21:47.0,00:00.0,100,2,61,38,49,296615,54556,8767,11819,17555,14401,7321,3270,,,,,
21:48.0,00:00.0,100,2,63,60,61,43466,11770,13725,5396,4555,15038,8967,1810,,,,,
21:49.0,00:00.0,100,2,53,63,58,21834,33387,26562,8959,4631,8398,5243,2610,,,,,
21:50.0,00:00.0,100,2,47,54,50,147359,109452,8982,20803,34743,10704,7230,3454,,,,,
21:51.0,00:00.0,100,2,50,51,50,1390227,68959,15779,11697,57484,24212,20901,5928,,,,,
21:52.0,00:00.0,100,2,48,48,48,473274,11921,22177,5033,34601,14364,23040,3870,,,,,
21:53.0,00:00.0,100,2,51,48,49,22622,17789,21351,11349,18095,8456,6043,2166,,,,,
21:54.0,00:00.0,100,2,60,53,56,45200,50118,20925,4358,19158,14546,6596,2556,,,,,
21:55.0,00:00.0,100,2,53,74,63,48165,24004,40713,29705,26505,10406,15163,1051,,,,,
21:56.0,00:00.0,100,2,57,77,67,22881,1766,9394,3505,5139,11919,6645,2505,,,,,
21:57.0,00:00.0,100,2,67,69,68,53853,17804,1024,15355,12551,16768,4237,3846,,,,,
21:58.0,00:00.0,100,2,63,69,66,14800,32220,12808,3950,16893,5625,5827,3902,,,,,
21:59.0,00:00.0,100,2,67,66,66,43040,21063,4511,30503,10671,10043,8016,4410,,,,,
22:00.0,00:00.0,100,2,47,66,56,17447,33208,27983,8052,17656,5127,11033,5042,,,,,
22:01.0,00:00.0,100,2,34,69,51,40959,56017,22860,12446,7018,11246,4838,2519,,,,,
