'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
56:51.0,00:00.0,100,2,23,66,44,376465,19465,51625,19142,7594,8854,8856,5311,,14100.14809,14219.70882,10278.22629,4996.414309
56:52.0,00:00.0,100,2,27,74,50,25499,51218,16988,4309,2214,5906,3138,1054,,,,,
56:53.0,00:00.0,100,2,43,66,54,27326,29923,8119,13677,36765,18829,5501,7140,,,,,
56:54.0,00:00.0,100,2,67,69,68,31345,7492,14663,2235,3605,17306,7433,3636,,,,,
56:55.0,00:00.0,100,2,77,66,71,11263,7874,37880,12417,18904,13674,10648,1621,,,,,
56:56.0,00:00.0,100,2,91,70,80,24929,14179,15551,5336,4687,14134,7100,3795,,,,,
56:57.0,00:00.0,100,2,78,80,79,76449,41864,32940,10034,10255,8467,2531,3828,,,,,
56:58.0,00:00.0,100,2,69,87,78,14134,3958,9474,10257,5001,7155,5805,2012,,,,,
56:59.0,00:00.0,100,2,56,75,65,348186,229975,65705,53923,41555,20979,17684,11018,,,,,
57:00.0,00:00.0,100,2,41,60,50,588336,87685,10497,996,7404,7724,3669,4404,,,,,
57:01.0,00:00.0,100,2,40,53,46,269371,284741,79461,30473,19461,36736,17113,3981,,,,,
57:02.0,00:00.0,100,2,17,20,18,478610,230551,5454,1964,10521,7608,9206,3063,,,,,
57:03.0,00:00.0,100,2,34,23,28,54311,25689,9044,11246,2021,12977,3253,1991,,,,,
57:04.0,00:00.0,100,2,41,38,39,8007,16952,10563,3581,3498,6917,7018,1870,,,,,
57:05.0,00:00.0,100,2,40,35,37,84155,86580,10151,10659,3179,7289,1137,2007,,,,,
57:06.0,00:00.0,100,2,47,57,52,1252041,82656,33993,8143,14159,8676,25470,5425,,,,,
57:07.0,00:00.0,100,2,44,54,49,685770,33350,9139,10893,10321,12830,4943,3252,,,,,
57:08.0,00:00.0,100,2,38,57,47,596607,22241,8391,9438,1546,4077,1220,1742,,,,,
57:09.0,00:00.0,100,2,43,66,54,11630,22282,15263,3304,2491,4501,4653,1153,,,,,
57:10.0,00:00.0,100,2,50,57,53,602298,210838,6644,40621,10302,31745,9197,7203,,,,,
57:11.0,00:00.0,100,2,41,66,53,66757,55956,51535,15239,13572,12821,6913,8490,,,,,
