'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
37:38.0,00:00.0,100,2,51,48,49,809212,476184,148215,47995,12082,20058,31949,10555,,17102.38167,10819.66604,5958.975678,5805.878391
37:39.0,00:00.0,100,2,30,63,46,684783,47383,7909,24736,2806,1782,2172,1472,,,,,
37:40.0,00:00.0,100,2,26,50,38,351348,735743,41644,4329,8053,15969,10687,12656,,,,,
37:41.0,00:00.0,100,2,26,66,46,739037,82553,159598,31486,39824,14432,5147,6950,,,,,
37:42.0,00:00.0,100,2,27,60,43,557686,36758,2513,4844,1624,1595,768,4941,,,,,
37:43.0,00:00.0,100,2,43,48,45,19560,42001,9865,6677,16254,7704,3173,5982,,,,,
37:44.0,00:00.0,100,2,54,78,66,37663,32762,13947,40266,24797,7029,4888,6387,,,,,
37:45.0,00:00.0,100,2,56,63,59,198713,138725,31930,24127,26858,13952,10690,6654,,,,,
37:46.0,00:00.0,100,2,64,78,71,62202,62758,30180,27755,15001,10767,7336,5670,,,,,
37:47.0,00:00.0,100,2,60,75,67,1181998,155120,15858,19736,6562,13725,3899,19594,,,,,
37:48.0,00:00.0,100,1,64,75,69,40857,21086,30529,28310,39705,12006,5559,6767,,,,,
37:49.0,00:00.0,100,2,60,67,63,322630,33415,5457,960,1887,1747,856,499,,,,,
37:50.0,00:00.0,100,2,64,56,60,125574,20067,4614,3045,4438,4769,3684,2430,,,,,
37:51.0,00:00.0,100,2,69,64,66,121519,20320,4005,10465,7575,4758,1841,1518,,,,,
37:52.0,00:00.0,100,2,66,54,60,332697,135334,43204,20935,12377,17885,9019,5556,,,,,
37:53.0,00:00.0,100,2,69,66,67,315940,33103,7313,11796,4503,3441,1810,3144,,,,,
37:54.0,00:00.0,100,3,75,74,74,15752,244869,114638,129942,165901,135262,54285,18490,,,,,
37:55.0,00:00.0,100,3,63,74,68,270696,15441,6691,1485,942,839,383,791,,,,,
37:56.0,00:00.0,100,3,78,70,74,33498,22821,14846,6214,13379,23093,2396,14301,,,,,
37:57.0,00:00.0,100,3,81,81,81,34662,12644,15300,10650,8747,3625,4645,17514,,,,,
37:58.0,00:00.0,100,1,66,84,75,102084,68278,43072,3581,4192,5826,2147,4368,,,,,
37:59.0,00:00.0,100,2,69,75,72,1255161,17503,2180,2374,4142,1293,715,1232,,,,,
38:00.0,00:00.0,100,2,54,61,57,984437,118232,8965,6170,4407,12634,1314,5812,,,,,
38:01.0,00:00.0,100,2,47,34,40,198114,119861,5207,5768,3499,4459,1968,6221,,,,,
38:02.0,00:00.0,100,2,51,37,44,314966,18184,5973,10414,1015,2976,1518,6467,,,,,
38:03.0,00:00.0,100,2,38,43,40,501696,140927,44144,8319,11495,2480,999,9726,,,,,
38:04.0,00:00.0,100,2,26,64,45,1520472,238679,106823,92265,21852,10393,3001,25752,,,,,
38:05.0,00:00.0,100,2,26,75,50,286207,247937,39548,17448,21565,9492,5060,9182,,,,,
38:06.0,00:00.0,100,2,16,44,30,518798,241082,7975,10359,13781,5879,7149,9325,,,,,
38:07.0,00:00.0,100,2,13,23,18,1205187,448974,13254,10768,16000,5113,4838,3568,,,,,
38:08.0,00:00.0,100,2,21,17,19,180474,37702,12417,9246,6882,3838,2664,2619,,,,,
38:09.0,00:00.0,100,2,17,17,17,164629,50826,9852,1193,4047,1237,1287,559,,,,,
38:10.0,00:00.0,100,2,21,37,29,715468,18971,6129,624,1025,842,776,486,,,,,
38:11.0,00:00.0,100,2,27,47,37,1982764,367701,27290,16119,14408,8511,4775,7271,,,,,
38:12.0,00:00.0,100,2,17,38,27,1263487,184981,24360,14442,5004,3893,2142,3003,,,,,
38:13.0,00:00.0,100,2,16,44,30,107947,30865,4017,8313,1239,648,1317,276,,,,,
