'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
56:50.0,00:00.0,100,2,35,54,44,1375970,96587,111196,93900,15716,11744,4341,2004,,66860.79636,33297.58113,11928.29139,10093.43212
56:51.0,00:00.0,100,2,26,37,31,1238993,259399,22054,24586,37031,6886,6178,1958,,,,,
56:52.0,00:00.0,100,2,30,50,40,199814,109255,19744,3775,3590,10400,3838,1003,,,,,
56:53.0,00:00.0,100,2,40,48,44,43594,74018,1288,15060,14055,6680,4998,3344,,,,,
56:54.0,00:00.0,100,2,60,30,45,248472,47020,18777,11050,34686,27716,4206,3691,,,,,
56:55.0,00:00.0,100,2,63,37,50,873573,132569,21148,13973,15124,4891,2308,1962,,,,,
56:56.0,00:00.0,100,2,70,48,59,1464345,69131,34241,34914,12032,27558,8805,6446,,,,,
56:57.0,00:00.0,100,2,80,63,71,144892,12278,12579,6591,3399,6840,2616,561,,,,,
56:58.0,00:00.0,100,2,64,67,65,1578835,128018,42776,32237,14040,13256,3112,1215,,,,,
56:59.0,00:00.0,74,5,64,67,65,926561,96722,15315,12614,7001,4843,1728,524,,,,,
57:00.0,00:00.0,87,5,64,67,65,295634,142603,27943,41026,64260,34185,26424,3360,,,,,
57:01.0,00:00.0,100,5,74,80,77,156504,86476,40815,26975,3120,11294,1572,1077,,,,,
57:02.0,00:00.0,87,2,74,80,77,1415711,22249,12802,13261,6100,3879,1363,493,,,,,
57:03.0,00:00.0,87,5,74,80,77,1078959,451368,223343,135482,60970,19375,12982,5861,,,,,
57:04.0,00:00.0,74,5,74,80,77,1379460,73987,6778,19392,20733,5988,1027,356,,,,,
57:05.0,00:00.0,100,5,67,67,67,1539446,414542,39174,68374,85796,55744,10740,2210,,,,,
57:06.0,00:00.0,100,2,51,56,53,515502,49171,10898,3941,4776,2182,1106,302,,,,,
57:07.0,00:00.0,100,3,53,63,58,1663355,103314,50306,74908,25487,15281,5486,3352,,,,,
57:08.0,00:00.0,87,5,53,63,58,857748,5025,1744,1706,2181,1666,1682,262,,,,,
57:09.0,00:00.0,87,5,53,63,58,111560,73812,19088,6794,14364,3256,737,626,,,,,
57:10.0,00:00.0,87,5,53,63,58,82203,20256,26408,10226,6963,6179,1863,1961,,,,,
57:11.0,00:00.0,100,5,63,56,59,1342215,250748,141908,39273,109606,99338,17095,6173,,,,,
57:12.0,00:00.0,100,2,66,56,61,179928,177680,24299,37321,123740,40303,6912,7103,,,,,
57:13.0,00:00.0,100,2,87,50,68,258922,101647,18900,21978,174063,41015,11172,4656,,,,,
57:14.0,00:00.0,100,2,94,50,72,183477,11045,14129,6565,3978,6226,3524,701,,,,,
57:15.0,00:00.0,100,1,83,60,71,1627708,17860,23725,11711,8839,2930,2370,1410,,,,,
57:16.0,00:00.0,100,1,66,64,65,762888,111133,40738,7908,28410,3912,2520,819,,,,,
57:17.0,00:00.0,100,1,66,75,70,126811,5478,7817,5808,24657,5978,2438,603,,,,,
57:18.0,00:00.0,100,1,69,64,66,38875,37678,5159,17648,14914,15907,3672,4593,,,,,
57:19.0,00:00.0,100,1,78,48,63,298836,22142,4157,3362,7872,4104,1595,1198,,,,,
57:20.0,00:00.0,100,1,88,48,68,288714,170802,44995,18953,29607,17338,8795,3600,,,,,
57:21.0,00:00.0,100,1,81,47,64,237712,82212,21511,22121,38276,16667,5198,5114,,,,,
57:22.0,00:00.0,100,1,66,43,54,273040,19502,800,5594,8700,1422,208,162,,,,,
57:23.0,00:00.0,100,3,67,50,58,2902420,189307,41200,123337,99104,57135,12122,5517,,,,,
57:24.0,00:00.0,100,3,74,60,67,1800794,91732,81447,67643,63710,31831,13599,6817,,,,,
57:25.0,00:00.0,87,3,74,60,67,799948,15715,1788,4891,1986,1954,287,201,,,,,
57:26.0,00:00.0,100,3,63,51,57,1139422,436952,36481,18334,13514,20824,6533,2700,,,,,
57:27.0,00:00.0,100,3,66,54,60,2532210,110919,5457,46967,50830,14791,7390,3080,,,,,
57:28.0,00:00.0,100,3,64,51,57,318990,84698,16322,38011,32786,19882,5066,3454,,,,,
57:29.0,00:00.0,100,3,64,48,56,34075,67995,30457,23646,13637,17935,6306,697,,,,,
57:30.0,00:00.0,100,3,78,51,64,112294,17426,1731,2786,3802,4039,1864,1261,,,,,
57:31.0,00:00.0,100,3,81,60,70,201976,14002,17450,18776,31106,7916,4310,4939,,,,,
57:32.0,00:00.0,100,3,78,48,63,37895,130716,7958,11478,41971,15247,7212,4950,,,,,
57:33.0,00:00.0,100,3,64,35,49,717022,258313,13708,23508,14791,9763,6646,4766,,,,,
57:34.0,00:00.0,100,3,50,26,38,1218343,209494,13873,4098,17270,7288,6159,2996,,,,,
57:35.0,00:00.0,100,3,40,20,30,849067,663573,206491,24353,43358,45422,10814,7575,,,,,
57:36.0,00:00.0,87,5,40,20,30,1321911,43018,11450,9288,4974,1842,839,474,,,,,
57:37.0,00:00.0,100,5,47,38,42,802610,4137,2674,5778,3699,2560,3495,1049,,,,,
57:38.0,00:00.0,100,5,63,50,56,76272,31887,11258,8631,4167,9987,3426,2487,,,,,
57:39.0,00:00.0,100,5,77,66,71,63237,33425,15176,11944,16553,10639,3305,7056,,,,,
57:40.0,00:00.0,100,5,90,75,82,290497,24063,21276,17571,6691,15158,4839,4967,,,,,
57:41.0,00:00.0,100,5,84,70,77,239756,31930,5711,26236,16974,8139,5431,2967,,,,,
57:42.0,00:00.0,100,5,90,63,76,133561,40261,10294,2314,19349,16189,3616,2404,,,,,
57:43.0,00:00.0,100,5,84,61,72,142849,35892,15185,8911,18538,6291,6441,2456,,,,,
57:44.0,00:00.0,100,5,83,54,68,286814,24540,11968,8359,9471,7024,3157,964,,,,,
57:45.0,00:00.0,100,5,74,61,67,743019,121018,101970,70747,13461,11987,6274,3018,,,,,
57:46.0,00:00.0,100,5,70,60,65,1258833,41124,3289,6870,11295,14949,3191,2746,,,,,
57:47.0,00:00.0,100,2,69,64,66,2392368,238411,81945,138177,105357,37979,7965,8347,,,,,
57:48.0,00:00.0,100,2,70,63,66,1968566,20779,7806,6532,6021,6639,1028,1196,,,,,
57:49.0,00:00.0,74,5,70,63,66,2061294,76389,4821,12605,40885,21920,2155,1431,,,,,
57:50.0,00:00.0,87,5,70,63,66,2193449,284712,13646,27879,12071,6867,1562,918,,,,,
57:51.0,00:00.0,87,5,70,63,66,529750,37915,11697,16646,3674,3590,747,525,,,,,
57:52.0,00:00.0,100,5,67,51,59,390117,67131,15374,8417,2586,3051,1046,734,,,,,
57:53.0,00:00.0,100,5,64,69,66,401413,16564,22610,17588,14013,9881,11166,5243,,,,,
57:54.0,00:00.0,100,5,60,69,64,239188,83955,40972,16637,7880,7406,2112,1868,,,,,
57:55.0,00:00.0,100,2,50,60,55,1042683,103544,12634,4553,6059,7492,1535,977,,,,,
57:56.0,00:00.0,73,2,50,60,55,2851398,32480,13539,2141,4661,2346,1277,573,,,,,
57:57.0,00:00.0,87,2,50,60,55,2266193,189586,167056,86848,27465,37773,25224,3823,,,,,
57:58.0,00:00.0,87,2,50,60,55,283948,26027,6468,5479,2668,5192,1038,605,,,,,
57:59.0,00:00.0,87,2,50,60,55,1458957,74692,7316,21502,4630,5299,1694,1443,,,,,
58:00.0,00:00.0,87,2,50,60,55,419501,35729,7138,5153,2038,1560,615,522,,,,,
58:01.0,00:00.0,100,2,51,57,54,794592,147911,29606,15426,12356,6387,2872,1963,,,,,
58:02.0,00:00.0,100,2,44,57,50,159915,47484,31998,31050,14089,8785,6842,3389,,,,,
58:03.0,00:00.0,100,2,53,61,57,44918,15094,9734,15178,6056,6106,8483,6201,,,,,
58:04.0,00:00.0,100,2,54,74,64,283573,47169,4192,36290,25204,7067,11183,1926,,,,,
58:05.0,00:00.0,100,2,53,64,58,4558,98382,2177,10006,3780,2877,1770,641,,,,,
58:06.0,00:00.0,100,1,53,66,59,449434,77122,105414,37606,29744,19684,4363,3299,,,,,
58:07.0,00:00.0,100,5,37,51,44,1056659,485191,36323,62981,21652,12209,3455,1553,,,,,
58:08.0,00:00.0,74,4,37,51,44,104450,6769,1746,605,1239,1275,440,77,,,,,
58:09.0,00:00.0,74,4,37,51,44,874283,6481,5685,12651,2059,3489,1554,192,,,,,
58:10.0,00:00.0,100,4,43,47,45,190730,29207,224,11779,11276,7291,2296,2421,,,,,
58:11.0,00:00.0,100,4,54,50,52,342712,158954,16060,13064,11815,19960,4705,2895,,,,,
58:12.0,00:00.0,100,4,53,38,45,276086,80435,12900,17958,9124,7073,5097,4631,,,,,
58:13.0,00:00.0,100,4,66,41,53,620595,179595,9357,48948,15042,23885,7411,6520,,,,,
58:14.0,00:00.0,100,4,60,51,55,733438,77033,49961,37417,26437,14254,7704,5979,,,,,
58:15.0,00:00.0,100,4,56,61,58,1839351,118718,36111,31280,13461,14485,6550,4510,,,,,
58:16.0,00:00.0,100,2,61,51,56,626072,85191,5714,5405,6016,9779,1489,244,,,,,
58:17.0,00:00.0,100,2,51,50,50,101586,25151,4144,2736,1575,1017,245,292,,,,,
58:18.0,00:00.0,100,2,48,41,44,2141477,114705,8386,34582,17947,8479,6654,2970,,,,,
58:19.0,00:00.0,100,2,47,27,37,758491,56229,4423,2549,3206,3977,1242,599,,,,,
58:20.0,00:00.0,100,2,57,48,52,46655,8622,24463,22636,23772,19998,4557,3340,,,,,
58:21.0,00:00.0,100,2,69,50,59,438246,63901,5175,24488,20569,13105,6982,1599,,,,,
58:22.0,00:00.0,100,2,64,34,49,406253,537741,9297,20596,29042,17701,7871,2910,,,,,
58:23.0,00:00.0,100,2,75,43,59,88315,14360,2362,4285,2726,4265,1770,1966,,,,,
58:24.0,00:00.0,100,2,60,26,43,164048,179266,19359,8555,19015,13164,4042,4728,,,,,
58:25.0,00:00.0,100,2,44,20,32,559186,136040,20035,3622,3416,3629,1549,643,,,,,
58:26.0,00:00.0,100,2,57,26,41,1175350,158730,8988,13021,26215,26686,10739,4247,,,,,
58:27.0,00:00.0,100,2,60,23,41,124596,8207,1725,2056,5254,2705,2069,1033,,,,,
58:28.0,00:00.0,100,2,60,47,53,342575,15008,8362,51306,12408,5361,9776,11176,,,,,
58:29.0,00:00.0,100,2,61,44,52,1230589,174061,13829,10800,13481,6348,3743,777,,,,,
58:30.0,00:00.0,100,2,57,57,57,1133829,102227,29931,33923,17108,15740,5694,1048,,,,,
58:31.0,00:00.0,100,2,60,70,65,1042895,9372,9522,11765,6927,8027,2170,679,,,,,
58:32.0,00:00.0,100,3,54,67,60,1989890,161257,217815,27570,33009,15641,9603,4083,,,,,
58:33.0,00:00.0,100,3,54,66,60,920206,335856,13078,29492,22439,11757,6103,2803,,,,,
58:34.0,00:00.0,100,3,54,66,60,719030,19238,10324,1963,3359,3306,1079,459,,,,,
58:35.0,00:00.0,100,3,41,50,45,933286,94287,6425,10360,6892,5807,1686,518,,,,,
58:36.0,00:00.0,100,2,56,48,52,1313724,6339,11006,8284,9585,6276,1157,287,,,,,
58:37.0,00:00.0,100,2,54,57,55,2072890,125302,34839,11772,10932,3908,1605,780,,,,,
58:38.0,00:00.0,100,2,47,44,45,912175,223166,17020,10501,16914,11016,3747,5886,,,,,
58:39.0,00:00.0,100,2,29,30,29,59440,60163,383,2552,1298,541,643,223,,,,,
58:40.0,00:00.0,100,2,14,21,17,541409,113307,29851,12248,6411,6599,1293,981,,,,,
58:41.0,00:00.0,87,2,14,21,17,795363,59269,52691,16797,28161,11907,6834,1080,,,,,
58:42.0,00:00.0,87,3,14,21,17,943645,20440,3941,6613,4285,3222,1209,471,,,,,
58:43.0,00:00.0,100,3,27,21,24,907055,161343,28627,33421,55539,28097,15813,814,,,,,
58:44.0,00:00.0,100,2,30,48,39,2172183,194466,169290,408419,49315,43519,20150,4483,,,,,
58:45.0,00:00.0,100,3,60,69,64,3327164,90328,71266,30160,94270,38673,8957,6994,,,,,
58:46.0,00:00.0,100,3,67,69,68,777751,143303,25832,31731,40330,18123,5420,1423,,,,,
58:47.0,00:00.0,100,3,54,74,64,743719,153692,22706,45695,15173,6275,9789,4433,,,,,
58:48.0,00:00.0,100,3,64,54,59,89156,51572,5183,13529,11727,13480,4617,2839,,,,,
58:49.0,00:00.0,100,3,48,53,50,231550,135764,35468,23393,5414,5568,3290,785,,,,,
58:50.0,00:00.0,100,3,29,56,42,290317,141412,64162,1193,2462,2500,634,1198,,,,,
58:51.0,00:00.0,100,3,24,50,37,280187,261691,7723,46049,29902,5532,8905,4641,,,,,
58:52.0,00:00.0,100,2,10,48,29,747284,101510,21379,6198,8274,5112,3204,653,,,,,
58:53.0,00:00.0,100,3,26,40,33,878809,192769,5845,36878,28465,37730,991,1223,,,,,
58:54.0,00:00.0,100,2,41,43,42,400831,41247,27023,5744,5676,5286,1845,498,,,,,
58:55.0,00:00.0,100,2,48,56,52,885708,91219,49794,51816,39436,7088,4690,1494,,,,,
58:56.0,00:00.0,74,5,48,56,52,1341436,41949,6881,3622,2569,1872,3378,319,,,,,
58:57.0,00:00.0,87,5,48,56,52,1258393,22685,5502,11118,8183,3104,1690,1741,,,,,
58:58.0,00:00.0,87,5,48,56,52,438827,22491,11974,6978,5714,5983,1507,415,,,,,
58:59.0,00:00.0,87,5,48,56,52,775332,50680,17360,10050,2444,1802,2048,2356,,,,,
59:00.0,00:00.0,100,5,54,47,50,678185,555421,36956,15948,53755,46145,5598,2642,,,,,
59:01.0,00:00.0,100,2,35,53,44,269915,25516,2899,5910,1757,653,248,659,,,,,
59:02.0,00:00.0,100,2,26,40,33,507955,192573,16368,16767,7280,5719,2173,1178,,,,,
59:03.0,00:00.0,100,2,23,41,32,730469,71629,42693,18642,6324,3328,985,768,,,,,
59:04.0,00:00.0,87,2,23,41,32,2651545,48601,6667,5479,15620,4344,2762,2890,,,,,
59:05.0,00:00.0,74,2,23,41,32,2397455,346805,222155,338418,321198,168135,16857,5654,,,,,
59:06.0,00:00.0,74,2,23,41,32,2157948,463015,33174,64469,127255,47966,33316,3039,,,,,
59:07.0,00:00.0,74,2,23,41,32,1443898,202919,21533,72058,39863,21011,4589,1691,,,,,
59:08.0,00:00.0,100,2,26,57,41,469549,9185,3107,8253,9621,2412,1044,248,,,,,
59:09.0,00:00.0,74,2,26,57,41,1501506,205517,7301,54269,18445,43883,11782,3232,,,,,
59:10.0,00:00.0,100,2,37,63,50,726247,120794,29118,51406,17564,11385,3224,2428,,,,,
59:11.0,00:00.0,100,1,34,66,50,230472,38713,9759,525,3917,834,838,474,,,,,
59:12.0,00:00.0,100,1,29,63,46,991962,119588,57224,25924,22353,3187,1525,1339,,,,,
