'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
38:59.0,00:00.0,87,3,64,77,70,723646,9252,5541,1745,1242,1211,136,201,,10406.95529,8908.072941,5139.729412,2685.482353
39:00.0,00:00.0,87,3,64,77,70,695948,94412,34010,47292,36622,33332,9820,1885,,,,,
39:01.0,00:00.0,87,3,64,77,70,14398,1397,295,716,190,202,230,71,,,,,
39:02.0,00:00.0,87,3,64,77,70,1518589,81580,13983,14340,13427,7427,7085,4970,,,,,
39:03.0,00:00.0,100,3,43,75,59,1628220,170342,51253,9308,12157,5288,5261,9612,,,,,
39:04.0,00:00.0,100,3,14,56,35,827458,220793,17974,3782,5224,2226,2541,1210,,,,,
39:05.0,00:00.0,100,3,35,66,50,169586,10948,4511,24019,24833,14098,9315,2750,,,,,
39:06.0,00:00.0,100,3,26,54,40,462531,63682,11877,9182,3591,4502,3422,5054,,,,,
39:07.0,00:00.0,100,3,47,51,49,164781,28784,4064,5063,3570,6862,2243,1709,,,,,
39:08.0,00:00.0,100,3,66,63,64,390059,52320,12985,3990,5096,5889,1721,1182,,,,,
39:09.0,00:00.0,100,3,56,54,55,975448,78675,17306,11432,20503,13909,13730,4707,,,,,
39:10.0,00:00.0,100,3,75,74,74,421065,1740,9600,2898,2336,4605,3045,675,,,,,
39:11.0,00:00.0,100,3,69,80,74,1655908,86715,20836,22652,6922,14787,14081,7625,,,,,
39:12.0,00:00.0,100,3,66,74,70,2100103,266064,15145,26657,6499,17788,13465,4077,,,,,
39:13.0,00:00.0,100,3,64,67,65,789330,75418,4555,13031,15367,9793,7379,4016,,,,,
39:14.0,00:00.0,100,3,48,29,38,983674,329897,10949,8177,25254,19045,7380,2449,,,,,
39:15.0,00:00.0,100,3,38,17,27,1312905,290615,37420,8541,8601,14108,10932,6803,,,,,
39:16.0,00:00.0,100,3,30,11,20,292142,141268,10334,1119,453,3943,1592,1595,,,,,
39:17.0,00:00.0,100,3,17,23,20,124851,17092,7223,2423,1186,827,553,281,,,,,
39:18.0,00:00.0,100,3,10,43,26,1302195,166231,42275,9967,5769,4619,2600,1126,,,,,
39:19.0,00:00.0,100,3,7,35,21,1899425,955648,50487,17567,41598,29434,5587,6678,,,,,
39:20.0,00:00.0,100,3,10,50,30,1859473,364920,82163,47838,28444,21789,17331,3372,,,,,
39:21.0,00:00.0,100,3,11,29,20,723578,115789,4732,7372,2893,4211,1584,1459,,,,,
39:22.0,00:00.0,100,3,4,27,15,263685,47751,8304,3278,1147,649,693,258,,,,,
39:23.0,00:00.0,100,3,1,34,17,1012322,72141,2684,5921,3125,1557,2800,872,,,,,
39:24.0,00:00.0,100,3,1,38,19,222885,184559,73439,17851,12001,4385,2738,2311,,,,,
39:25.0,00:00.0,100,3,1,47,24,820416,79886,14316,4340,17170,4276,3398,552,,,,,
39:26.0,00:00.0,100,3,7,53,30,121929,15355,5503,1259,748,740,494,238,,,,,
39:27.0,00:00.0,100,3,10,61,35,727798,90565,19322,1222,2256,3572,2339,1485,,,,,
39:28.0,00:00.0,100,3,11,56,33,1878628,421976,120744,11133,11760,11072,7066,4560,,,,,
39:29.0,00:00.0,100,3,4,67,35,1470443,166739,49711,33278,5346,6118,4947,1586,,,,,
39:30.0,00:00.0,100,3,1,56,28,410912,151983,21627,2569,3922,2931,2631,1134,,,,,
39:31.0,00:00.0,100,3,1,48,24,327789,434018,37486,10226,1500,3219,1296,856,,,,,
39:32.0,00:00.0,100,3,1,23,12,2690987,1349590,41339,14087,11001,49666,14275,5586,,,,,
39:33.0,00:00.0,100,3,1,10,5,666085,132655,15549,5482,5639,2365,1292,784,,,,,
39:34.0,00:00.0,100,3,3,16,9,1247399,489911,146276,12599,25985,19812,8754,5301,,,,,
39:35.0,00:00.0,100,3,24,35,29,21698,1604,837,312,205,220,124,50,,,,,
39:36.0,00:00.0,100,3,20,35,27,953121,860324,12909,11064,25016,20225,14580,10582,,,,,
39:37.0,00:00.0,100,2,23,41,32,729786,168653,37017,6304,2556,4272,1785,1675,,,,,
39:38.0,00:00.0,100,2,17,38,27,1466568,265694,34511,17003,24049,6645,2454,983,,,,,
39:39.0,00:00.0,100,2,10,27,18,155003,17265,1783,1674,423,674,614,95,,,,,
39:40.0,00:00.0,100,1,20,50,35,1923876,629173,103283,43822,49219,42509,8215,5280,,,,,
39:41.0,00:00.0,100,2,13,50,31,327884,89237,19219,5228,1289,1248,877,614,,,,,
39:42.0,00:00.0,100,2,21,54,37,578158,17494,2268,2972,1475,1090,537,321,,,,,
39:43.0,00:00.0,100,2,8,50,29,872783,81542,6404,4670,2021,646,1002,423,,,,,
39:44.0,00:00.0,100,2,1,54,27,489887,294148,101973,3869,40648,6097,3545,1063,,,,,
39:45.0,00:00.0,100,3,3,51,27,49572,35642,5196,2459,1666,1073,302,348,,,,,
39:46.0,00:00.0,100,2,8,48,28,72220,15198,735,2511,1013,1903,846,482,,,,,
39:47.0,00:00.0,74,5,8,48,28,1264342,105984,46271,29646,18303,15972,6312,3674,,,,,
39:48.0,00:00.0,100,5,14,50,32,1832397,175344,18920,10646,7006,2792,2286,897,,,,,
39:49.0,00:00.0,100,5,20,51,35,393317,188382,31924,32684,7329,7455,5409,1960,,,,,
39:50.0,00:00.0,100,5,20,53,36,1591403,755574,90087,99046,24764,23810,12548,3839,,,,,
39:51.0,00:00.0,100,5,3,60,31,466004,755383,185948,65795,32558,15023,7948,8910,,,,,
39:52.0,00:00.0,100,5,1,53,27,440561,97676,7430,1313,871,1039,519,92,,,,,
39:53.0,00:00.0,100,5,1,47,24,897828,723231,119762,9475,14528,11843,7710,4864,,,,,
39:54.0,00:00.0,100,5,1,48,24,2100345,498263,92260,41023,37259,30391,21683,4705,,,,,
39:55.0,00:00.0,100,5,10,51,30,380829,80437,39789,4705,3781,5968,1289,737,,,,,
39:56.0,00:00.0,100,5,23,80,51,1051631,31211,59665,11117,9318,4368,2378,2818,,,,,
39:57.0,00:00.0,100,5,27,80,53,299476,115396,18450,4831,9172,3779,1419,1164,,,,,
39:58.0,00:00.0,100,5,14,70,42,651211,235497,14373,19024,13325,2797,2447,944,,,,,
39:59.0,00:00.0,100,5,8,67,37,832276,652573,205427,25573,12100,19225,11079,9655,,,,,
40:00.0,00:00.0,100,5,11,51,31,325559,17572,5391,1710,2571,1560,425,434,,,,,
40:01.0,00:00.0,100,5,10,56,33,782877,57035,8634,9236,1910,1702,1361,1969,,,,,
40:02.0,00:00.0,100,5,21,41,31,1868319,486794,3861,7501,13829,17896,27427,4006,,,,,
40:03.0,00:00.0,100,5,26,43,34,344848,46556,14451,9582,5707,2941,8723,534,,,,,
40:04.0,00:00.0,100,5,16,44,30,322383,79297,26618,3011,3394,2473,2397,2000,,,,,
40:05.0,00:00.0,100,5,17,48,32,183117,80730,27067,4301,5151,2588,1019,1670,,,,,
40:06.0,00:00.0,100,5,20,63,41,543270,135759,6645,8060,6079,6146,4074,839,,,,,
40:07.0,00:00.0,100,5,24,61,42,162381,8385,3714,135,1063,819,998,122,,,,,
40:08.0,00:00.0,100,5,17,57,37,1868298,331504,33882,40575,15195,4648,4230,5785,,,,,
40:09.0,00:00.0,100,5,20,53,36,138280,23896,5207,1396,1704,842,981,234,,,,,
40:10.0,00:00.0,100,5,17,67,42,126571,24221,9673,947,861,1083,631,250,,,,,
40:11.0,00:00.0,100,5,10,56,33,101997,19689,1613,745,825,510,575,214,,,,,
40:12.0,00:00.0,100,5,16,54,35,354779,131764,21693,5885,2710,3885,4720,1522,,,,,
40:13.0,00:00.0,100,5,16,41,28,37850,40526,1951,993,1679,1133,962,301,,,,,
40:14.0,00:00.0,100,5,20,43,31,155289,17812,8212,1319,1663,1124,384,231,,,,,
40:15.0,00:00.0,100,5,21,40,30,293275,171501,8019,6105,2347,5977,1081,973,,,,,
40:16.0,00:00.0,100,2,35,35,35,650058,47298,6376,396,4771,6477,2508,1171,,,,,
40:17.0,00:00.0,100,2,50,56,53,2062177,16059,12558,3631,5488,3817,2492,426,,,,,
40:18.0,00:00.0,100,2,44,47,45,762822,38117,1316,5480,1645,1110,1907,1710,,,,,
40:19.0,00:00.0,100,2,50,51,50,1971078,334340,26244,19274,13522,19729,7386,3398,,,,,
40:20.0,00:00.0,100,2,35,38,36,299317,193395,1848,4185,4447,4093,3033,911,,,,,
40:21.0,00:00.0,100,2,38,34,36,330517,15209,6535,2266,4364,3914,2080,1240,,,,,
40:22.0,00:00.0,100,2,43,26,34,755393,393871,27170,11442,5444,19853,7649,5790,,,,,
40:23.0,00:00.0,100,2,43,23,33,734740,618979,48760,5171,11976,31179,5193,5450,,,,,
40:24.0,00:00.0,100,2,53,37,45,1440130,70205,4144,5728,1389,4625,1947,1042,,,,,
40:25.0,00:00.0,100,2,40,29,34,134543,36576,2742,4105,737,1677,1164,506,,,,,
40:26.0,00:00.0,100,2,38,38,38,463550,50183,3062,10989,6114,2620,3924,975,,,,,
40:27.0,00:00.0,100,2,34,30,32,427749,106352,2867,1823,7217,2978,3390,1651,,,,,
40:28.0,00:00.0,100,2,35,26,30,756598,318429,20078,10074,21715,28634,5757,5738,,,,,
40:29.0,00:00.0,100,2,26,16,21,71750,42068,995,1482,1223,761,837,196,,,,,
40:30.0,00:00.0,100,2,30,16,23,662212,111707,27377,3531,10770,9529,13021,3040,,,,,
40:31.0,00:00.0,100,2,35,29,32,290941,54070,4268,5604,4756,2346,2281,827,,,,,
40:32.0,00:00.0,100,2,27,44,35,1063615,81063,26605,8579,3745,4329,2403,2212,,,,,
40:33.0,00:00.0,100,2,27,44,35,523835,110430,3848,2553,1340,1924,1893,573,,,,,
40:34.0,00:00.0,100,2,20,37,28,60301,50221,1767,2545,1151,1708,582,190,,,,,
40:35.0,00:00.0,100,2,24,50,37,1105946,28719,8542,18279,7953,3144,2395,908,,,,,
40:36.0,00:00.0,100,2,30,48,39,1434520,115989,27208,18484,14521,12547,4002,4494,,,,,
40:37.0,00:00.0,100,2,43,57,50,790550,88260,15747,2524,4825,6540,3196,777,,,,,
40:38.0,00:00.0,100,2,34,63,48,347387,91313,6268,7442,1157,1106,625,568,,,,,
40:39.0,00:00.0,100,2,16,38,27,1057197,404301,19592,2318,6318,4338,3666,867,,,,,
40:40.0,00:00.0,100,2,1,21,11,555524,327285,12390,6340,6467,3376,2107,1142,,,,,
40:41.0,00:00.0,100,2,1,16,8,372395,230053,16003,9794,3149,3976,905,1388,,,,,
40:42.0,00:00.0,100,2,8,24,16,1315618,67230,15511,13193,4996,11989,2126,2299,,,,,
40:43.0,00:00.0,100,2,16,50,33,910218,109012,49223,38270,4856,4798,2476,1753,,,,,
40:44.0,00:00.0,74,3,16,50,33,2502746,970592,96165,62351,103143,41995,59812,12779,,,,,
40:45.0,00:00.0,74,6,16,50,33,345425,17345,5030,2141,1222,692,255,156,,,,,
40:46.0,00:00.0,87,6,16,50,33,59811,3604,985,648,560,591,454,541,,,,,
40:47.0,00:00.0,100,6,20,57,38,2272974,770771,92276,13382,12702,12095,7069,8264,,,,,
40:48.0,00:00.0,100,6,27,69,48,233576,22985,3066,7047,1634,1342,549,512,,,,,
40:49.0,00:00.0,100,6,14,66,40,1023620,125396,17278,15013,7935,4932,2710,1206,,,,,
40:50.0,00:00.0,100,2,29,61,45,853266,123359,41208,44172,35745,27241,4957,3982,,,,,
40:51.0,00:00.0,100,2,40,64,52,1431566,99357,7139,10151,4500,5076,3050,666,,,,,
40:52.0,00:00.0,100,3,53,54,53,1583984,133337,14837,9833,17348,22964,3310,1192,,,,,
40:53.0,00:00.0,100,2,56,60,58,146949,4063,631,920,267,213,181,78,,,,,
40:54.0,00:00.0,100,1,43,63,53,1008724,85277,38970,21482,3848,4809,1342,688,,,,,
40:55.0,00:00.0,100,1,35,63,49,1290374,990175,87937,106217,24396,18542,29247,5613,,,,,
40:56.0,00:00.0,100,2,23,64,43,1766473,210916,29898,12428,30597,12775,5697,5950,,,,,
40:57.0,00:00.0,100,2,16,64,40,733658,29786,10296,3675,2746,797,240,322,,,,,
40:58.0,00:00.0,100,1,24,64,44,1111373,30038,13064,12571,3400,4408,1424,1126,,,,,
40:59.0,00:00.0,100,1,37,69,53,203155,12789,2021,2819,1756,999,313,127,,,,,
41:00.0,00:00.0,100,1,37,75,56,301654,49275,14626,3763,10082,3203,1771,1137,,,,,
41:01.0,00:00.0,100,1,37,81,59,53980,25919,6965,12032,1117,933,1145,196,,,,,
41:02.0,00:00.0,100,1,21,75,48,1637673,651901,159791,61480,21978,12674,7269,3909,,,,,
41:03.0,00:00.0,100,1,11,60,35,2537277,647619,26220,19529,19398,12782,13148,3802,,,,,
41:04.0,00:00.0,100,1,11,61,36,1300041,176953,51291,9683,16172,10441,7439,6220,,,,,
