'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
12:21.0,00:00.0,100,2,53,34,43,47036,64284,33110,8852,36604,8146,24977,2757,,16892.31399,13258.17747,8384.43686,3987.201365
12:22.0,00:00.0,100,2,51,37,44,40245,113493,18219,7924,7441,12474,5953,1244,,,,,
12:23.0,00:00.0,100,2,37,44,40,118184,44480,4606,6602,4473,2081,2566,710,,,,,
12:24.0,00:00.0,100,2,44,41,42,4972,26355,12850,10271,19599,23134,3880,3122,,,,,
12:25.0,00:00.0,100,2,54,50,52,39677,24282,33775,16020,15084,13786,9115,4688,,,,,
12:26.0,00:00.0,100,2,57,67,62,25174,20925,20261,30466,16607,9592,8037,4804,,,,,
12:27.0,00:00.0,100,2,87,74,80,27886,21834,13367,14954,25648,24640,7210,2186,,,,,
12:28.0,00:00.0,100,2,69,63,66,575597,276263,13667,22430,19606,29411,3822,2761,,,,,
12:29.0,00:00.0,100,2,69,63,66,17705,21165,14672,32851,9759,14135,6130,1639,,,,,
12:30.0,00:00.0,100,2,67,51,59,14340,51207,8534,16814,18591,8673,9214,3265,,,,,
12:31.0,00:00.0,100,2,61,48,54,55117,54238,14706,7383,11595,19404,6016,973,,,,,
12:32.0,00:00.0,100,2,64,57,60,26225,41331,25167,2995,28009,10438,9869,4751,,,,,
12:33.0,00:00.0,100,2,60,53,56,7189,46753,2071,36217,11218,10138,10534,4321,,,,,
12:34.0,00:00.0,100,2,64,50,57,5276,74257,4650,20823,21231,16615,5340,2348,,,,,
12:35.0,00:00.0,100,2,57,69,63,32198,14296,59683,30897,15002,15021,2623,3754,,,,,
12:36.0,00:00.0,100,2,64,74,69,11717,11003,14362,8891,30767,8684,15298,6836,,,,,
12:37.0,00:00.0,100,2,64,77,70,61036,31772,48125,11976,23686,11166,8490,3399,,,,,
12:38.0,00:00.0,100,2,67,83,75,21642,30261,15727,9326,14120,13353,10185,2587,,,,,
12:39.0,00:00.0,100,2,69,69,69,46015,50489,19340,21663,15240,15628,9089,4110,,,,,
12:40.0,00:00.0,100,2,60,75,67,12528,45932,21848,35300,13533,9893,8098,4181,,,,,
12:41.0,00:00.0,100,2,56,67,61,113905,51273,19769,12860,19330,7580,16730,1396,,,,,
12:42.0,00:00.0,100,2,64,66,65,97221,25492,10988,17569,14334,28642,3560,2249,,,,,
12:43.0,00:00.0,100,2,64,53,58,10827,61968,5695,7013,15677,13760,2914,2240,,,,,
12:44.0,00:00.0,100,2,69,48,58,251087,41156,7210,17322,5335,10303,6787,2422,,,,,
12:45.0,00:00.0,100,2,77,53,65,90747,42029,29057,29737,15060,17017,5664,8032,,,,,
12:46.0,00:00.0,100,2,74,54,64,85676,22239,260,27020,21758,17686,4313,3433,,,,,
12:47.0,00:00.0,100,2,78,69,73,8774,12287,16443,11939,18302,10823,8471,4158,,,,,
12:48.0,00:00.0,100,2,80,74,77,46119,32331,15073,15685,6862,12311,11057,4361,,,,,
12:49.0,00:00.0,100,2,61,61,61,585731,305682,41018,25021,29021,11365,15059,3014,,,,,
12:50.0,00:00.0,100,2,51,56,53,321857,102085,12149,31063,28289,20678,5074,4002,,,,,
12:51.0,00:00.0,100,2,34,56,45,58090,36602,19743,34783,48720,4568,10700,4966,,,,,
12:52.0,00:00.0,100,2,24,54,39,12497,60301,27670,15031,17554,8628,5556,2280,,,,,
12:53.0,00:00.0,100,2,38,66,52,34648,30082,20301,14257,12824,6939,5937,2036,,,,,
12:54.0,00:00.0,100,2,35,75,55,81619,61104,43924,11433,5909,13262,5936,4205,,,,,
12:55.0,00:00.0,100,2,38,75,56,491055,76988,26214,38280,25664,10292,4368,1543,,,,,
12:56.0,00:00.0,100,2,47,75,61,41113,37184,25107,4878,7821,14102,4731,5030,,,,,
12:57.0,00:00.0,100,2,51,75,63,17249,34684,30560,11395,9820,12983,6373,3416,,,,,
12:58.0,00:00.0,100,2,61,75,68,31383,38385,34617,15579,7944,19769,6758,5285,,,,,
12:59.0,00:00.0,100,2,61,69,65,58136,53583,11649,20911,25519,7143,5428,1679,,,,,
13:00.0,00:00.0,100,2,69,69,69,26249,26284,13769,13668,10097,21618,11754,6263,,,,,
13:01.0,00:00.0,100,2,66,74,70,22978,49534,78163,10919,9785,19879,4694,2488,,,,,
13:02.0,00:00.0,100,2,60,75,67,178785,75822,48612,36222,15943,19090,19917,3825,,,,,
13:03.0,00:00.0,100,2,66,81,73,86360,37866,12933,29254,8788,10595,3699,5823,,,,,
13:04.0,00:00.0,100,2,50,84,67,66332,15918,3551,9779,2294,2722,1455,520,,,,,
13:05.0,00:00.0,100,2,50,77,63,110076,10495,2990,3970,2063,2362,1341,815,,,,,
13:06.0,00:00.0,100,2,51,66,58,4697,35218,6447,7174,10713,6672,5001,2916,,,,,
13:07.0,00:00.0,100,2,61,60,60,87764,45363,21059,14513,17271,23214,8792,3712,,,,,
13:08.0,00:00.0,100,2,48,53,50,806781,352507,61068,76632,71010,14207,15991,6616,,,,,
13:09.0,00:00.0,100,2,54,48,51,48779,31696,11457,3608,8255,11876,4879,1818,,,,,
13:10.0,00:00.0,100,2,57,56,56,40275,48965,24713,31366,13296,21343,3512,1431,,,,,
13:11.0,00:00.0,100,2,54,63,58,19443,31693,36039,25037,12542,18652,4632,2010,,,,,
13:12.0,00:00.0,100,2,60,64,62,24818,46823,9196,16803,7571,3305,2871,3098,,,,,
13:13.0,00:00.0,100,2,41,74,57,97243,183528,4157,153491,27375,15710,10233,3586,,,,,
13:14.0,00:00.0,100,2,30,70,50,14505,52756,15332,29973,17435,7518,5531,2462,,,,,
13:15.0,00:00.0,100,2,26,64,45,20967,53178,20786,12520,11036,10335,8397,1282,,,,,
13:16.0,00:00.0,100,2,38,63,50,74167,44620,5029,21520,13031,10712,2587,5569,,,,,
13:17.0,00:00.0,100,2,56,63,59,5914,30820,15873,22723,11069,16635,3231,2307,,,,,
13:18.0,00:00.0,100,2,50,66,58,129824,93516,37116,74053,15173,8567,5974,3457,,,,,
13:19.0,00:00.0,100,2,57,66,61,32997,43806,12980,24196,22534,19257,7643,4048,,,,,
13:20.0,00:00.0,100,2,50,74,62,7491,95354,54087,27867,9856,11938,3071,1329,,,,,
13:21.0,00:00.0,100,2,41,70,55,28277,50603,27599,6583,7797,10709,4360,3529,,,,,
13:22.0,00:00.0,100,2,50,75,62,4851,32582,10127,65670,13651,10326,6783,4969,,,,,
