'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,,
53:20.0,00:00.0,87,2,29,61,45,702170,29771,6893,7529,3315,1562,1194,437,,,24370.32887,20120.83078,10690.11472,4741.899618
53:21.0,00:00.0,100,2,27,57,42,106554,16861,7102,776,7375,4534,3366,762,,,,,,
53:22.0,00:00.0,100,2,43,57,50,122711,67229,41106,4641,31650,15491,15704,8611,,,,,,
53:23.0,00:00.0,100,2,44,50,47,979933,449416,76125,106191,19663,44206,13123,9434,,,,,,
53:24.0,00:00.0,100,2,51,64,57,405159,70372,9519,43406,20311,13071,5539,3594,,,,,,
53:25.0,00:00.0,100,2,48,69,58,469983,30336,12160,8358,9721,6018,874,1213,,,,,,
53:26.0,00:00.0,100,2,38,74,56,157168,47268,17990,18080,6254,5532,3698,1971,,,,,,
53:27.0,00:00.0,100,2,43,80,61,149305,15094,7305,5541,2150,3008,1160,172,,,,,,
53:28.0,00:00.0,100,2,50,80,65,154497,70005,40851,49068,52473,27144,31168,3399,,,,,,
53:29.0,00:00.0,100,2,43,69,56,254761,209019,24101,21220,47164,14888,7420,5097,,,,,,
53:30.0,00:00.0,100,2,56,67,61,923563,40331,22241,24711,32550,21389,12329,1520,,,,,,
53:31.0,00:00.0,100,2,60,67,63,491248,70790,72748,18031,49673,23990,11768,7468,,,,,,
53:32.0,00:00.0,100,2,57,64,60,655753,39301,9056,15911,12263,10276,3029,1505,,,,,,
53:33.0,00:00.0,100,2,48,70,59,26688,31591,10080,1944,3943,810,423,313,,,,,,
53:34.0,00:00.0,100,2,35,69,52,159868,18863,7877,2382,6576,2090,2191,1696,,,,,,
53:35.0,00:00.0,100,2,21,67,44,1138343,156493,81490,44695,47561,10827,17178,7869,,,,,,
53:36.0,00:00.0,100,2,13,69,41,24100,40503,17309,5167,6346,4736,2091,965,,,,,,
53:37.0,00:00.0,100,2,24,69,46,975990,386120,133083,43280,66127,29065,8248,3405,,,,,,
53:38.0,00:00.0,100,2,21,75,48,1548870,96879,72678,14501,15003,11248,7805,3364,,,,,,
53:39.0,00:00.0,100,2,35,81,58,45038,28369,30536,23225,7961,12259,17605,1595,,,,,,
53:40.0,00:00.0,100,1,44,81,62,2005780,226768,39862,94413,48756,71110,10209,4311,,,,,,
53:41.0,00:00.0,100,1,43,66,54,1356234,308328,21355,3453,14532,14547,21210,1875,,,,,,
53:42.0,00:00.0,100,1,48,57,52,399807,18668,1707,3565,1585,2240,1006,588,,,,,,
53:43.0,00:00.0,100,2,37,44,40,1578862,786488,181996,102628,73250,55867,13564,3623,,,,,,
53:44.0,00:00.0,87,1,37,44,40,385370,30603,6157,6406,2982,2730,582,273,,,,,,
53:45.0,00:00.0,100,1,27,40,33,482517,116443,5155,29335,6073,12710,12893,4867,,,,,,
