'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,,
12:21.0,00:00.0,100,2,41,30,35,1434133,150517,63438,42887,21077,28355,7613,7483,,,35993.62887,32844.45704,14437.2268,6546.573883
12:22.0,00:00.0,100,2,50,27,38,977295,166999,22860,8387,15251,16992,9724,4492,,,,,,
12:23.0,00:00.0,100,2,56,40,48,180274,37363,16085,15091,26335,19725,2722,2360,,,,,,
12:24.0,00:00.0,100,2,47,35,41,261276,18914,1856,3180,2217,1363,1028,421,,,,,,
12:25.0,00:00.0,100,2,44,26,35,303581,97667,15156,13228,19792,10738,8840,1399,,,,,,
12:26.0,00:00.0,100,2,40,37,38,221696,55737,16790,18335,19171,4765,7624,3262,,,,,,
12:27.0,00:00.0,100,2,23,30,26,376865,355189,44976,45193,42523,18176,18005,5701,,,,,,
12:28.0,00:00.0,100,2,40,26,33,115539,10100,626,2048,5063,5334,2136,634,,,,,,
12:29.0,00:00.0,100,2,43,34,38,72011,43760,5282,27069,16660,8538,6892,6096,,,,,,
12:30.0,00:00.0,100,2,51,37,44,41014,36746,17007,29113,23165,11985,7945,2897,,,,,,
12:31.0,00:00.0,100,2,61,43,52,55973,43258,16320,14183,18904,9115,9437,3845,,,,,,
12:32.0,00:00.0,100,2,63,48,55,420704,24100,3124,10954,23141,17916,11085,4679,,,,,,
12:33.0,00:00.0,100,2,53,30,41,422491,166165,1245,13346,35364,8079,16867,2142,,,,,,
12:34.0,00:00.0,100,2,51,20,35,55167,101753,5844,12764,14389,11878,8185,7644,,,,,,
12:35.0,00:00.0,100,2,47,17,32,1039424,51773,17096,8285,12436,5932,1156,277,,,,,,
12:36.0,00:00.0,100,2,24,14,19,127464,30121,3781,914,1240,1347,601,159,,,,,,
12:37.0,00:00.0,100,2,27,35,31,1900850,261495,102165,113593,41017,28690,7291,2094,,,,,,
12:38.0,00:00.0,100,2,23,48,35,337183,19496,15010,1017,6167,2170,643,131,,,,,,
12:39.0,00:00.0,100,2,20,48,34,231706,74125,27460,3709,17936,4476,1873,718,,,,,,
12:40.0,00:00.0,100,2,29,67,48,259171,55371,96256,64005,46850,28219,10653,6908,,,,,,
12:41.0,00:00.0,100,2,30,57,43,296627,77891,7168,14927,7687,8103,4903,1096,,,,,,
12:42.0,00:00.0,100,2,40,43,41,529259,231888,26184,13158,31098,44223,14040,2366,,,,,,
12:43.0,00:00.0,100,2,43,37,40,273136,426883,22977,53070,14691,33188,15588,4670,,,,,,
12:44.0,00:00.0,100,2,47,14,30,163247,46670,1128,7674,7855,8209,2470,1341,,,,,,
12:45.0,00:00.0,100,1,47,13,30,1721975,214419,26356,29731,58726,23437,15485,3438,,,,,,
12:46.0,00:00.0,100,1,41,29,35,1254584,57174,41898,15738,13095,12234,2962,860,,,,,,
12:47.0,00:00.0,100,2,48,41,44,391158,50489,5122,31901,9237,10720,9386,3455,,,,,,
12:48.0,00:00.0,100,2,43,51,47,151227,56610,18478,10260,13013,8667,5829,3935,,,,,,
12:49.0,00:00.0,100,1,43,57,50,270050,22018,7390,1758,1937,2500,917,603,,,,,,
12:50.0,00:00.0,100,2,41,48,44,1043578,685746,75996,155552,91821,75710,27016,5766,,,,,,
12:51.0,00:00.0,100,2,38,44,41,2115418,73582,7355,26729,15246,8902,4379,2257,,,,,,
12:52.0,00:00.0,100,2,37,51,44,956051,109445,95046,20389,23778,16836,9062,2960,,,,,,
12:53.0,00:00.0,100,1,40,50,45,1015642,26942,2472,9068,12673,4263,2207,2850,,,,,,
