'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
51:22.0,00:00.0,100,2,26,63,44,4766,52487,2973,23996,8844,7196,5541,1225,,14751.84959,10821.02975,6189.978512,2987.709091
51:23.0,00:00.0,100,2,40,69,54,84144,39564,5200,9186,24080,9623,4255,2666,,,,,
51:24.0,00:00.0,100,2,43,50,46,234632,95834,31147,5471,9115,9857,5803,3330,,,,,
51:25.0,00:00.0,100,2,30,47,38,552323,80432,22010,14192,14258,5398,2987,1266,,,,,
51:26.0,00:00.0,100,2,20,34,27,455319,361784,39587,4251,27916,12200,7509,1795,,,,,
51:27.0,00:00.0,100,2,8,34,21,89709,161065,28740,14028,25052,8872,3893,2352,,,,,
51:28.0,00:00.0,100,2,8,38,23,1055298,48079,20361,10344,6098,5304,5043,811,,,,,
51:29.0,00:00.0,100,2,8,30,19,64099,64075,9562,2721,1874,3800,3542,2675,,,,,
51:30.0,00:00.0,100,2,24,44,34,246115,44793,5796,21660,13683,11994,12865,1869,,,,,
51:31.0,00:00.0,100,2,30,54,42,42576,49492,19464,27694,5898,9294,19900,5261,,,,,
51:32.0,00:00.0,100,2,34,50,42,219739,20492,4717,2293,3193,1962,3558,1903,,,,,
51:33.0,00:00.0,100,2,37,51,44,341141,75123,17102,1353,13782,7057,3733,8673,,,,,
51:34.0,00:00.0,100,2,35,51,43,321918,26124,8347,5344,5547,4365,998,453,,,,,
51:35.0,00:00.0,100,1,48,41,44,133554,4062,514,1920,2115,3416,1129,303,,,,,
51:36.0,00:00.0,100,1,47,41,44,969137,102978,20267,18810,20315,9141,5519,11725,,,,,
51:37.0,00:00.0,100,1,47,47,47,1296682,384540,143524,7709,42384,39066,31169,21240,,,,,
51:38.0,00:00.0,100,1,38,40,39,473455,360341,40303,41959,32022,21502,26180,19555,,,,,
51:39.0,00:00.0,100,1,24,44,34,199282,69586,19374,11803,8728,11510,26663,14630,,,,,
51:40.0,00:00.0,100,1,41,54,47,5869,15533,23873,7637,10790,17298,10596,23410,,,,,
51:41.0,00:00.0,100,1,66,53,59,19117,4467,4362,9175,22591,20619,16034,5898,,,,,
51:42.0,00:00.0,100,1,77,60,68,812618,74362,5828,36877,11801,15434,8209,2844,,,,,
51:43.0,00:00.0,100,1,81,53,67,20727,36669,6848,4579,16694,10127,5493,9780,,,,,
51:44.0,00:00.0,100,1,67,53,60,15899,29258,23344,11866,9517,5668,6306,5736,,,,,
51:45.0,00:00.0,100,1,56,60,58,33593,7492,313,11183,5392,6543,7926,3136,,,,,
51:46.0,00:00.0,100,1,54,60,57,48935,68351,31837,4116,9331,11651,5956,2935,,,,,
51:47.0,00:00.0,100,1,51,70,60,311211,51158,21164,12173,7640,13441,7433,1486,,,,,
51:48.0,00:00.0,100,1,48,53,50,60126,201790,14305,16620,8892,13553,6904,4990,,,,,
51:49.0,00:00.0,100,1,24,44,34,162307,262318,29672,33655,24592,7347,7285,1505,,,,,
51:50.0,00:00.0,100,1,17,47,32,153685,95451,40262,14088,5223,8539,4939,3325,,,,,
51:51.0,00:00.0,100,1,20,48,34,416901,26514,20098,13448,15213,11801,3292,1342,,,,,
51:52.0,00:00.0,100,1,20,54,37,26295,45698,12355,3844,6342,3418,4673,4829,,,,,
51:53.0,00:00.0,100,1,40,57,48,74204,24374,7448,4457,7965,7961,3843,1655,,,,,
51:54.0,00:00.0,100,1,48,63,55,143366,46980,30636,27525,11519,14127,4630,6273,,,,,
51:55.0,00:00.0,100,1,44,70,57,163332,12566,25609,34876,17656,10603,3656,2057,,,,,
51:56.0,00:00.0,100,1,54,78,66,47755,38930,10433,22836,12055,11951,5838,5848,,,,,
51:57.0,00:00.0,100,1,56,84,70,24520,12056,10420,8500,11795,8599,3274,3852,,,,,
51:58.0,00:00.0,100,1,57,78,67,5447,15965,5760,10169,13955,5491,3166,1966,,,,,
51:59.0,00:00.0,100,1,53,64,58,82137,67658,19460,15689,15334,8446,4323,1780,,,,,
52:00.0,00:00.0,100,1,60,67,63,7391,13302,15515,15234,16668,13939,3313,1939,,,,,
52:01.0,00:00.0,100,1,53,57,55,50351,44840,9108,5356,17467,7307,3514,4532,,,,,
52:02.0,00:00.0,100,1,50,57,53,75573,83169,23808,25030,8476,14585,10448,987,,,,,
52:03.0,00:00.0,100,1,53,56,54,74245,21402,5250,3939,2286,3702,1489,1900,,,,,
52:04.0,00:00.0,100,1,44,61,52,57252,13678,16388,15358,7362,6459,4384,2403,,,,,
52:05.0,00:00.0,100,1,54,69,61,51852,18155,13984,3690,1449,13100,6589,2069,,,,,
52:06.0,00:00.0,100,1,56,69,62,24838,61798,21211,14739,9620,13227,5372,1711,,,,,
52:07.0,00:00.0,100,1,61,63,62,36029,41620,5215,4297,6363,10508,2039,1057,,,,,
52:08.0,00:00.0,100,1,51,44,47,602223,179026,9029,33613,13326,9620,6604,1733,,,,,
52:09.0,00:00.0,100,2,38,43,40,478185,66086,24970,17469,14599,9556,2187,5289,,,,,
52:10.0,00:00.0,100,2,43,48,45,24616,24398,5637,29165,13802,14938,16764,8417,,,,,
52:11.0,00:00.0,100,2,37,57,47,129243,37209,16905,4619,4929,6446,3457,1805,,,,,
52:12.0,00:00.0,100,2,61,53,57,17141,18110,1182,3690,9090,14670,5659,1153,,,,,
52:13.0,00:00.0,100,2,61,50,55,323447,11711,5105,1307,3324,1554,939,353,,,,,
52:14.0,00:00.0,100,2,63,44,53,5965,12211,9175,2078,7768,7128,1336,4076,,,,,
52:15.0,00:00.0,100,2,48,26,37,108149,250636,14446,6530,17489,5250,2606,2185,,,,,
52:16.0,00:00.0,100,2,37,40,38,398908,22663,9453,8807,13557,7068,4551,1380,,,,,
52:17.0,00:00.0,100,2,35,47,41,864707,130803,74468,71635,26885,24312,9690,4605,,,,,
52:18.0,00:00.0,100,2,30,38,34,1483752,47658,3018,9714,7735,12025,14248,10082,,,,,
52:19.0,00:00.0,100,2,66,53,59,22424,23869,7449,18350,9820,45840,11972,6223,,,,,
52:20.0,00:00.0,100,2,78,53,65,10671,10331,3348,17489,22404,22157,28091,3062,,,,,
52:21.0,00:00.0,100,2,83,44,63,11678,36829,12976,8705,13236,8163,7837,7549,,,,,
52:22.0,00:00.0,100,2,84,54,69,10916,27860,8304,11993,7499,12579,9871,4293,,,,,
52:23.0,00:00.0,100,2,81,57,69,4883,17238,7467,15361,11259,23682,8113,3414,,,,,
52:24.0,00:00.0,100,2,57,50,53,130118,184592,18430,19826,14328,11200,5082,3894,,,,,
52:25.0,00:00.0,100,2,53,53,53,31853,78494,37361,11323,12341,9432,6704,4973,,,,,
52:26.0,00:00.0,100,2,41,53,47,84497,15825,6577,977,726,1872,741,520,,,,,
52:27.0,00:00.0,100,2,26,43,34,69773,94821,9982,15918,41440,12808,6151,1152,,,,,
52:28.0,00:00.0,100,2,44,43,43,69712,20712,3086,6827,21628,10648,4076,1523,,,,,
52:29.0,00:00.0,100,2,48,48,48,13190,32068,23389,14647,9940,7844,7894,4494,,,,,
52:30.0,00:00.0,100,2,53,66,59,8464,8477,19957,49521,5952,10438,4473,2094,,,,,
52:31.0,00:00.0,100,2,54,75,64,28502,38698,15392,3870,4724,7224,4908,3440,,,,,
52:32.0,00:00.0,100,2,40,75,57,711431,102898,13548,14841,19008,8937,4458,4005,,,,,
52:33.0,00:00.0,100,2,53,70,61,8744,6556,1928,11992,9790,9972,6198,2590,,,,,
52:34.0,00:00.0,100,2,44,64,54,3780,32064,46612,5881,4096,4749,2484,4707,,,,,
52:35.0,00:00.0,100,2,50,69,59,16173,17531,12797,10991,7975,9314,4028,1965,,,,,
52:36.0,00:00.0,100,2,57,74,65,32727,24687,6401,5984,13292,6291,2109,1147,,,,,
52:37.0,00:00.0,100,2,50,81,65,7607,9992,25068,6053,7073,7763,6023,1631,,,,,
52:38.0,00:00.0,100,2,61,70,65,51806,35528,13637,18508,16977,14410,3447,3375,,,,,
52:39.0,00:00.0,100,2,44,56,50,4436,44084,3348,3610,6233,1673,618,521,,,,,
52:40.0,00:00.0,100,2,38,47,42,1140774,113359,8588,8509,38335,10739,3447,4752,,,,,
52:41.0,00:00.0,100,2,30,27,28,299563,49650,6624,7565,17213,6312,3483,823,,,,,
