'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
33:08.0,00:00.0,100,2,63,48,55,94950,35727,7552,15618,37173,12986,8708,7427,,17066.65962,14174.68379,9352.177241,4607.126888
33:09.0,00:00.0,100,2,64,44,54,576679,167518,15219,51571,22723,17947,9883,10683,,,,,
33:10.0,00:00.0,100,2,67,56,61,46309,74076,56944,30442,4114,13425,5516,9799,,,,,
33:11.0,00:00.0,100,2,47,48,47,994655,98323,8959,9964,11468,4144,4173,1853,,,,,
33:12.0,00:00.0,100,2,34,41,37,334763,299630,36625,12494,15994,19653,10151,2946,,,,,
33:13.0,00:00.0,100,2,47,43,45,60024,26514,5884,13031,8218,12197,10414,2978,,,,,
33:14.0,00:00.0,100,2,51,40,45,15559,63892,44850,14982,7846,21151,12640,3457,,,,,
33:15.0,00:00.0,100,1,51,50,50,1303715,243603,34092,91997,23357,12868,4732,4036,,,,,
33:16.0,00:00.0,100,1,50,61,55,90552,132008,36092,30451,8390,10300,9024,2806,,,,,
33:17.0,00:00.0,100,2,34,54,44,306071,102116,15122,9564,7129,7077,4308,1424,,,,,
33:18.0,00:00.0,100,2,37,47,42,20783,32250,15006,7266,33694,11404,9123,2946,,,,,
33:19.0,00:00.0,100,2,48,48,48,26827,41070,11206,29149,16192,7797,7601,1550,,,,,
33:20.0,00:00.0,100,2,57,47,52,49342,44322,14872,11723,16178,9763,7400,1786,,,,,
33:21.0,00:00.0,100,2,54,53,53,122132,295024,75769,86009,21968,15385,22481,7487,,,,,
33:22.0,00:00.0,100,2,51,63,57,217446,19534,6495,16205,6798,6156,4173,894,,,,,
33:23.0,00:00.0,100,2,43,51,47,61539,76235,5946,8688,7184,4330,3733,2429,,,,,
33:24.0,00:00.0,100,2,43,48,45,166806,16341,3317,3146,4987,3179,1951,1576,,,,,
33:25.0,00:00.0,100,2,69,43,56,87413,41757,6599,16219,18883,27911,4167,4138,,,,,
33:26.0,00:00.0,100,2,57,35,46,810302,351791,103650,18460,8527,24932,10678,3749,,,,,
33:27.0,00:00.0,100,2,66,50,58,297823,8820,10423,4703,7540,2406,2425,709,,,,,
33:28.0,00:00.0,100,2,53,35,44,254934,371025,17405,5398,13454,16472,18859,7064,,,,,
33:29.0,00:00.0,100,2,44,38,41,427702,55413,15169,23692,26949,16067,8150,3357,,,,,
33:30.0,00:00.0,100,2,51,30,40,1400148,105306,9412,10126,4085,12778,4464,1650,,,,,
33:31.0,00:00.0,100,2,56,24,40,253147,117197,23060,45675,28516,29853,17765,2491,,,,,
33:32.0,00:00.0,100,2,67,43,55,631996,41844,8255,16704,28650,8362,7428,4206,,,,,
33:33.0,00:00.0,100,2,57,50,53,15899,61522,6398,51253,8398,8367,3607,3398,,,,,
33:34.0,00:00.0,100,2,63,51,57,4127,76633,5671,17813,19331,14907,6488,2557,,,,,
33:35.0,00:00.0,100,2,63,44,53,75184,90819,18716,19851,67737,21381,3817,3331,,,,,
33:36.0,00:00.0,100,1,47,30,38,686415,118027,4973,6030,7817,3953,1027,1755,,,,,
33:37.0,00:00.0,100,1,47,21,34,278011,145674,4996,48885,24845,13968,7037,3227,,,,,
