'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
51:21.0,00:00.0,100,2,41,54,47,704924,197927,71198,76813,35265,17171,15519,19623,,14902.40234,12770.07513,8456.282137,4312.502504
51:22.0,00:00.0,100,2,40,44,42,30051,61105,5512,25826,39111,14563,6475,9052,,,,,
51:23.0,00:00.0,100,2,43,47,45,36370,32762,12617,8097,16056,12602,26699,6745,,,,,
51:24.0,00:00.0,100,2,43,47,45,33509,84389,16007,6963,8230,10372,11766,4530,,,,,
51:25.0,00:00.0,100,2,51,48,49,17412,64134,20030,38616,16180,16087,5705,6367,,,,,
51:26.0,00:00.0,100,2,48,48,48,32914,114079,33552,12796,17460,16991,7002,3007,,,,,
51:27.0,00:00.0,100,2,51,51,51,6248,24764,17143,10852,14725,14741,17811,7495,,,,,
51:28.0,00:00.0,100,2,54,56,55,216485,50075,11506,13867,9701,10638,8985,5631,,,,,
51:29.0,00:00.0,100,2,56,57,56,46805,41529,32555,29263,22891,17636,26839,14965,,,,,
51:30.0,00:00.0,100,2,67,48,57,35771,22251,2547,2814,14006,9959,7733,7535,,,,,
51:31.0,00:00.0,100,2,56,50,53,23540,63296,39666,8913,9458,10632,5965,14469,,,,,
51:32.0,00:00.0,100,2,66,54,60,5486,25974,15516,26530,20867,25901,8315,3738,,,,,
51:33.0,00:00.0,100,2,63,30,46,6320,170541,16259,1334,21933,25953,9478,3640,,,,,
51:34.0,00:00.0,100,2,60,41,50,32142,44917,20485,2281,10511,17925,9229,2503,,,,,
51:35.0,00:00.0,100,2,69,37,53,10717,59268,25873,14790,38909,23488,4564,3998,,,,,
51:36.0,00:00.0,100,2,60,29,44,202492,63623,14800,10353,7796,11426,6174,10092,,,,,
51:37.0,00:00.0,100,2,66,53,59,49365,20728,9979,23804,7856,13499,9154,10374,,,,,
51:38.0,00:00.0,100,2,66,48,57,32437,83907,10779,16051,10023,29792,7840,4088,,,,,
51:39.0,00:00.0,100,2,66,53,59,49626,49660,23347,14427,9228,16510,4147,952,,,,,
51:40.0,00:00.0,100,2,78,56,67,11520,20987,3770,13426,7190,19326,7221,2830,,,,,
51:41.0,00:00.0,100,2,83,43,63,34911,20449,4883,5484,14967,14399,13747,15068,,,,,
51:42.0,00:00.0,100,2,90,48,69,49148,13847,6072,6470,6278,14960,9851,5863,,,,,
51:43.0,00:00.0,100,2,81,37,59,328006,24596,57,4965,4174,2649,4087,2038,,,,,
51:44.0,00:00.0,100,2,70,40,55,86747,40371,17161,25755,18893,18056,6412,4422,,,,,
51:45.0,00:00.0,100,2,53,38,45,2096053,251209,25168,28953,15018,23718,15731,2974,,,,,
51:46.0,00:00.0,100,2,44,35,39,7205,24409,6490,6877,18117,8627,11578,2697,,,,,
51:47.0,00:00.0,100,1,51,37,44,183686,384860,46506,61237,114396,97780,31223,7181,,,,,
51:48.0,00:00.0,100,2,41,35,38,608689,14706,4460,4679,3176,1841,962,249,,,,,
51:49.0,00:00.0,100,2,51,54,52,37395,8953,21228,16029,9543,9628,12528,7764,,,,,
51:50.0,00:00.0,100,2,51,64,57,12413,30990,26477,24485,25515,17750,7520,4167,,,,,
51:51.0,00:00.0,100,2,53,64,58,8339,64751,4881,15734,28308,19372,6155,2820,,,,,
51:52.0,00:00.0,100,2,61,74,67,29823,15764,22713,12289,8060,7891,17590,2006,,,,,
51:53.0,00:00.0,100,2,57,67,62,71875,10847,5928,16301,10498,5183,3797,1999,,,,,
51:54.0,00:00.0,100,2,57,66,61,29009,19334,12759,14570,23324,10341,8213,3178,,,,,
51:55.0,00:00.0,100,2,48,81,64,29924,41585,25371,19705,7705,7535,8442,5040,,,,,
51:56.0,00:00.0,100,2,56,63,59,21557,28106,4980,5156,6558,14622,10518,5062,,,,,
51:57.0,00:00.0,100,2,48,50,49,111767,123011,21271,7502,15500,8252,13749,3301,,,,,
51:58.0,00:00.0,100,2,44,54,49,106278,28877,24252,25537,12507,12875,8106,8640,,,,,
51:59.0,00:00.0,100,2,54,47,50,14487,35016,18313,4794,11968,14706,1789,1563,,,,,
52:00.0,00:00.0,100,2,48,60,54,104746,20104,12918,17267,8104,10369,21660,4213,,,,,
