'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
45:03.0,00:00.0,100,2,90,51,70,23022,24027,84903,6258,18850,13099,12456,3643,,12610.16552,12335.65025,7026.953695,3710.239409
45:04.0,00:00.0,100,2,90,63,76,255631,96263,29194,4405,11390,8306,4017,6843,,,,,
45:05.0,00:00.0,100,2,67,57,62,1321517,672099,124888,19434,9482,24217,8464,4256,,,,,
45:06.0,00:00.0,100,2,63,64,63,292503,227772,112339,25629,16290,20294,19085,6049,,,,,
45:07.0,00:00.0,100,2,69,50,59,962291,60492,19104,15260,15291,22129,17688,13744,,,,,
45:08.0,00:00.0,100,2,84,61,72,8021,4948,7216,13911,4820,13080,8359,9726,,,,,
45:09.0,00:00.0,100,2,88,60,74,1068497,219327,9516,43339,16392,12973,14567,5270,,,,,
45:10.0,00:00.0,100,2,83,43,63,2185876,653522,48495,9990,20731,16906,5580,1983,,,,,
45:11.0,00:00.0,100,2,66,53,59,1511051,69739,71125,7554,5386,4472,2911,1511,,,,,
45:12.0,00:00.0,100,2,44,47,45,635433,34739,9266,8757,1588,1687,754,601,,,,,
45:13.0,00:00.0,100,2,43,53,48,2089638,162104,47073,29296,11945,9944,4092,3031,,,,,
45:14.0,00:00.0,100,2,43,61,52,1744062,530682,56941,59500,14965,14746,7903,6984,,,,,
45:15.0,00:00.0,100,2,50,54,52,99057,22633,11706,4175,6148,2832,3978,1894,,,,,
45:16.0,00:00.0,100,2,48,40,44,3187845,721753,38509,29386,37494,21746,4629,4399,,,,,
45:17.0,00:00.0,100,2,34,29,31,907409,257953,21274,15695,3920,2018,1980,1235,,,,,
45:18.0,00:00.0,100,2,27,20,23,1990431,388755,18995,13048,8622,5512,1446,1383,,,,,
45:19.0,00:00.0,100,2,24,3,13,1043206,172771,9142,5758,9088,9204,4438,1551,,,,,
45:20.0,00:00.0,100,2,41,16,28,1134418,71402,15597,30316,19473,24862,25095,4055,,,,,
45:21.0,00:00.0,100,2,75,27,51,15330,13170,7537,9432,13410,10188,5784,3763,,,,,
45:22.0,00:00.0,100,2,93,50,71,2044192,60042,27590,30855,10700,16342,5999,2411,,,,,
45:23.0,00:00.0,100,2,100,81,90,15671,7716,36762,22004,11598,7429,15071,2884,,,,,
45:24.0,00:00.0,100,2,100,75,87,38948,19339,5824,7774,14904,28374,10358,2100,,,,,
45:25.0,00:00.0,100,2,93,63,78,554776,443604,35766,30712,21649,46886,21366,9426,,,,,
45:26.0,00:00.0,100,2,78,57,67,1134586,234850,72913,36382,12108,9977,8346,5012,,,,,
45:27.0,00:00.0,100,2,75,24,49,168602,30022,1591,1468,6295,3300,1457,1266,,,,,
45:28.0,00:00.0,100,2,57,35,46,140622,10940,4964,2711,1547,1737,258,615,,,,,
45:29.0,00:00.0,100,2,66,38,52,34707,38080,8860,7392,33941,16076,7738,4792,,,,,
45:30.0,00:00.0,100,2,77,43,60,24009,33486,17696,23238,14126,9038,3928,4366,,,,,
45:31.0,00:00.0,100,2,83,56,69,1803840,85196,15406,20898,14924,20545,10425,3114,,,,,
45:32.0,00:00.0,100,2,81,47,64,186500,53520,7847,3532,2516,4715,1146,878,,,,,
45:33.0,00:00.0,100,2,78,44,61,1449758,66558,5328,9980,12619,15907,3930,10551,,,,,
45:34.0,00:00.0,100,2,77,30,53,1152857,104230,9482,16682,8250,11683,3611,9711,,,,,
45:35.0,00:00.0,100,2,69,38,53,1101571,203448,111589,13152,9820,23743,18296,17266,,,,,
45:36.0,00:00.0,100,2,80,29,54,733880,114734,4362,9934,11129,36819,11867,4562,,,,,
45:37.0,00:00.0,100,2,67,26,46,2526506,1098310,48264,77790,34029,57544,64849,4638,,,,,
45:38.0,00:00.0,100,2,69,27,48,2766867,306350,81987,18964,59661,44455,18958,6770,,,,,
45:39.0,00:00.0,100,2,67,16,41,252717,58843,9251,2240,5554,3431,3671,4339,,,,,
45:40.0,00:00.0,100,2,47,10,28,1155345,733892,19198,10256,32351,10396,4374,5418,,,,,
45:41.0,00:00.0,100,2,40,14,27,139006,31616,5191,1334,749,849,583,422,,,,,
45:42.0,00:00.0,100,2,30,17,23,520779,49472,19207,5003,13240,2391,4206,1247,,,,,
45:43.0,00:00.0,100,2,34,34,34,984477,46369,45227,2697,2296,6465,2658,1126,,,,,
45:44.0,00:00.0,100,2,48,47,47,349140,51596,7296,2693,4384,6945,2530,1628,,,,,
45:45.0,00:00.0,100,2,57,50,53,1422553,118180,23789,12740,9084,14128,5709,3270,,,,,
45:46.0,00:00.0,100,2,61,38,49,275208,64222,3358,3947,1640,3075,2721,389,,,,,
45:47.0,00:00.0,100,2,57,26,41,524285,44816,10845,2409,1946,3298,6129,2188,,,,,
45:48.0,00:00.0,100,2,60,27,43,1575165,206499,43271,12133,23916,33370,46264,15614,,,,,
45:49.0,00:00.0,100,2,77,37,57,15970,8420,22345,12563,17254,35709,18357,9224,,,,,
45:50.0,00:00.0,100,2,80,40,60,1167326,448561,14391,65805,24744,37149,14352,1845,,,,,
45:51.0,00:00.0,100,2,88,43,65,15906,69954,19037,13420,19138,13562,10116,6815,,,,,
45:52.0,00:00.0,100,2,87,41,64,627508,125390,14563,10636,19613,18741,6891,3456,,,,,
45:53.0,00:00.0,100,2,83,43,63,32073,12802,18000,13528,13890,16470,5297,4375,,,,,
45:54.0,00:00.0,100,2,90,50,70,137323,49686,10154,9654,10300,12364,13448,6308,,,,,
45:55.0,00:00.0,100,2,90,57,73,1064713,38447,15022,44779,17734,12082,7898,3506,,,,,
45:56.0,00:00.0,100,2,97,69,83,22137,16449,15214,9835,9847,18804,6252,14428,,,,,
45:57.0,00:00.0,100,2,81,47,64,2127171,1123218,12357,62785,50115,57136,40456,9477,,,,,
45:58.0,00:00.0,100,2,84,51,67,35238,8305,3763,5273,4715,4920,1712,2363,,,,,
