'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
45:02.0,00:00.0,100,2,61,69,65,62062,43082,13812,17206,9090,9837,9499,3140,,12572.09902,13080.40882,10219.81765,5164.872549
45:03.0,00:00.0,100,2,50,56,53,307694,718636,64271,7277,30693,28578,20524,9317,,,,,
45:04.0,00:00.0,100,2,48,40,44,1342765,211672,31123,6269,10970,18298,17687,4560,,,,,
45:05.0,00:00.0,100,2,29,16,22,478499,1181533,53558,31177,8643,15938,14802,10040,,,,,
45:06.0,00:00.0,100,2,29,8,18,307136,29455,4141,2354,3539,3732,2410,3292,,,,,
45:07.0,00:00.0,100,2,27,7,17,100019,198334,9521,7678,6484,6317,6539,10769,,,,,
45:08.0,00:00.0,100,2,29,14,21,469656,70736,4448,28034,9954,7957,6359,12815,,,,,
45:09.0,00:00.0,100,2,47,24,35,920303,104366,13752,13119,11639,13737,12334,4897,,,,,
45:10.0,00:00.0,100,2,56,41,48,24798,11472,28752,12279,11007,16973,8816,6746,,,,,
45:11.0,00:00.0,100,2,80,50,65,10119,16374,2818,4154,8454,10482,7219,3148,,,,,
45:12.0,00:00.0,100,2,80,57,68,96927,70205,23541,51904,5462,11512,9630,2860,,,,,
45:13.0,00:00.0,100,2,70,56,63,727189,128897,18597,9048,7641,5167,3838,1133,,,,,
45:14.0,00:00.0,100,2,50,50,50,288483,21172,8482,4345,3023,1084,941,782,,,,,
45:15.0,00:00.0,100,2,35,51,43,123085,30383,3392,4374,1788,2655,2934,623,,,,,
45:16.0,00:00.0,100,2,35,40,37,3192644,206361,43179,35123,20635,26601,11407,8864,,,,,
45:17.0,00:00.0,100,2,44,50,47,361444,20091,7875,5302,1630,3690,2554,3229,,,,,
45:18.0,00:00.0,100,2,53,34,43,259465,55718,622,4679,3809,4690,1423,1809,,,,,
45:19.0,00:00.0,100,2,56,43,49,606146,11433,5603,5291,1076,1947,2311,4782,,,,,
45:20.0,00:00.0,100,2,40,23,31,1514833,743075,12924,8636,9450,10840,12174,5151,,,,,
45:21.0,00:00.0,100,2,41,27,34,5365,19276,11113,11075,5995,4710,9751,7192,,,,,
45:22.0,00:00.0,100,2,35,27,31,331964,38549,1888,993,2548,1643,3320,1342,,,,,
45:23.0,00:00.0,100,2,29,14,21,1057039,84342,5405,11750,20745,5909,14020,1359,,,,,
45:24.0,00:00.0,100,2,48,40,44,116771,12937,4856,7038,7298,3197,3036,2207,,,,,
45:25.0,00:00.0,100,2,51,48,49,35827,8255,12439,33351,4222,9167,8659,1572,,,,,
45:26.0,00:00.0,100,2,64,67,65,13697,35062,14063,35255,29405,14475,6799,3367,,,,,
45:27.0,00:00.0,100,2,69,77,73,874838,61232,13496,22929,19119,9666,13052,4440,,,,,
45:28.0,00:00.0,100,2,67,77,72,29205,58594,19486,23982,21670,9536,9269,9828,,,,,
45:29.0,00:00.0,100,2,64,64,64,1723864,193262,80492,56791,28213,37876,21538,8303,,,,,
45:30.0,00:00.0,100,2,64,66,65,205810,41191,4132,53389,12799,16966,14242,12088,,,,,
45:31.0,00:00.0,100,2,54,60,57,1249764,256870,12287,40857,14495,12055,12789,4942,,,,,
45:32.0,00:00.0,100,2,56,56,56,345254,9519,3107,2219,2248,1547,2685,1589,,,,,
45:33.0,00:00.0,100,2,66,53,59,99605,15973,5424,6490,8572,9584,4164,5409,,,,,
45:34.0,00:00.0,100,2,60,53,56,250190,7722,6133,2284,1396,1435,2332,1310,,,,,
45:35.0,00:00.0,100,2,63,47,55,101985,83533,2762,4921,5923,4424,3023,2860,,,,,
45:36.0,00:00.0,100,2,48,38,43,606152,657926,15820,71615,6984,14672,21312,3923,,,,,
45:37.0,00:00.0,100,2,38,35,36,995169,538540,74445,86039,49265,68872,18563,6499,,,,,
45:38.0,00:00.0,100,2,29,23,26,459967,214094,30349,24580,35641,9674,13225,2516,,,,,
