'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
03:23.0,00:00.0,100,2,44,78,61,42046,33588,12062,15560,10750,9629,7471,6436,,13035.56548,11254.125,8449.032738,4131.005952
03:24.0,00:00.0,100,2,51,64,57,450469,37156,10132,11061,15067,4403,4367,6168,,,,,
03:25.0,00:00.0,100,2,53,57,55,12555,25769,10868,15436,28328,8819,7850,6114,,,,,
03:26.0,00:00.0,100,2,48,56,52,42680,28887,10717,4190,6277,4435,3239,1924,,,,,
03:27.0,00:00.0,100,2,50,64,57,26405,27954,37377,30690,7506,20834,2976,2369,,,,,
03:28.0,00:00.0,100,2,53,57,55,35056,58372,11879,1585,10019,7559,4611,1934,,,,,
03:29.0,00:00.0,100,2,51,56,53,22311,93552,18132,16180,10079,16133,7902,2698,,,,,
03:30.0,00:00.0,100,2,56,63,59,15643,26778,31917,13805,17436,15264,4215,4270,,,,,
03:31.0,00:00.0,100,2,53,57,55,22668,12730,3958,16353,9103,5512,9387,4079,,,,,
03:32.0,00:00.0,100,2,53,66,59,121129,63983,9353,26928,7641,9707,8306,3073,,,,,
03:33.0,00:00.0,100,2,56,75,65,8629,9154,6222,18096,12182,7494,5553,1854,,,,,
03:34.0,00:00.0,100,2,48,66,57,25559,35838,2259,10436,5111,3672,5462,3268,,,,,
03:35.0,00:00.0,100,2,53,57,55,23011,25940,4834,7002,3422,10382,11919,1846,,,,,
03:36.0,00:00.0,100,2,54,61,57,31579,13264,2228,10136,4531,2853,4938,2512,,,,,
03:37.0,00:00.0,100,2,47,53,50,21191,51851,10795,11109,6025,6238,4164,2331,,,,,
03:38.0,00:00.0,100,2,43,63,53,8733,38110,2538,40787,7112,4512,3009,2472,,,,,
03:39.0,00:00.0,100,2,40,63,51,56145,28822,12013,8336,21280,8316,3224,2295,,,,,
03:40.0,00:00.0,100,2,48,56,52,54608,16320,4607,20427,40211,12213,6249,5341,,,,,
03:41.0,00:00.0,100,2,56,53,54,15128,28880,1162,9242,11271,7804,4534,2336,,,,,
03:42.0,00:00.0,100,2,66,40,53,37656,33717,2926,12415,25833,8675,5605,2724,,,,,
03:43.0,00:00.0,100,2,77,43,60,12408,16258,16644,6486,7003,19830,4573,2628,,,,,
03:44.0,00:00.0,100,2,78,38,58,265096,38934,10210,4867,13285,17814,9132,2048,,,,,
03:45.0,00:00.0,100,2,74,54,64,21736,12847,1159,34282,6658,5853,2510,3119,,,,,
03:46.0,00:00.0,100,2,67,57,62,65935,52993,4121,17148,11099,8523,10805,1383,,,,,
03:47.0,00:00.0,100,2,57,70,63,16546,10171,30200,16613,3921,7773,6501,2041,,,,,
03:48.0,00:00.0,100,2,50,78,64,2473,25475,9277,11398,21271,6093,5722,1586,,,,,
03:49.0,00:00.0,100,2,51,60,55,16714,47396,7894,5261,7617,9637,6289,2846,,,,,
03:50.0,00:00.0,100,2,60,57,58,35227,14534,2697,4443,4282,6175,4432,2868,,,,,
03:51.0,00:00.0,100,2,53,47,50,43732,44582,16859,15504,6581,5335,6051,4821,,,,,
03:52.0,00:00.0,100,2,61,43,52,3167,13368,7581,4321,23582,7839,4806,3412,,,,,
03:53.0,00:00.0,100,2,61,60,60,10778,9664,16463,18776,11007,6660,6808,1278,,,,,
03:54.0,00:00.0,100,2,48,69,58,7110,17164,9553,9053,5424,2048,4572,2288,,,,,
03:55.0,00:00.0,100,2,63,67,65,3598,4438,14614,4594,23828,9617,11667,1883,,,,,
03:56.0,00:00.0,100,2,54,61,57,61383,50164,7990,2420,17876,7419,4828,3059,,,,,
