'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
18:56.0,00:00.0,100,2,50,29,39,842444,93812,2295,38156,42452,26642,35784,11683,,13068.82062,12893.04124,7926.273196,3930.281443
18:57.0,00:00.0,100,2,43,13,28,1377027,404716,3368,3170,12471,21383,15095,10484,,,,,
18:58.0,00:00.0,100,2,61,13,37,62585,34085,2564,3019,7801,3060,1694,908,,,,,
18:59.0,00:00.0,100,2,50,20,35,638892,74266,11528,35985,29722,7446,7356,4717,,,,,
19:00.0,00:00.0,100,2,48,17,32,155050,37187,2786,3164,4283,6691,2670,999,,,,,
19:01.0,00:00.0,100,2,50,38,44,354925,52928,1420,14004,5345,4325,7824,2813,,,,,
19:02.0,00:00.0,100,2,43,37,40,160951,24448,2236,565,951,1116,449,207,,,,,
19:03.0,00:00.0,100,2,57,29,43,586956,45302,4652,9624,12442,19106,9454,2825,,,,,
19:04.0,00:00.0,100,2,64,43,53,13404,6908,4832,9578,6479,8183,5402,4061,,,,,
19:05.0,00:00.0,100,2,77,43,60,776806,61206,19316,2402,6808,16437,6969,4197,,,,,
19:06.0,00:00.0,100,2,77,50,63,684881,285032,72625,12924,8660,14429,3524,5163,,,,,
19:07.0,00:00.0,100,2,63,44,53,149224,36724,1555,2224,2606,2789,1284,406,,,,,
19:08.0,00:00.0,100,2,63,40,51,14254,19286,13480,7066,26639,17865,5201,1988,,,,,
19:09.0,00:00.0,100,2,53,34,43,85319,22474,1731,604,2327,1590,1715,346,,,,,
19:10.0,00:00.0,100,2,53,37,45,102121,54062,25103,3329,3737,3345,1384,1047,,,,,
19:11.0,00:00.0,100,2,48,48,48,179799,98752,34116,16009,5377,5905,3289,3357,,,,,
19:12.0,00:00.0,100,2,24,47,35,235021,187683,37691,11693,12774,7189,3334,1151,,,,,
19:13.0,00:00.0,100,2,21,48,34,1261843,637905,55460,46731,56254,28827,7120,3012,,,,,
19:14.0,00:00.0,100,2,14,40,27,754847,263393,5380,30585,7862,5635,1614,1034,,,,,
19:15.0,00:00.0,100,2,16,34,25,2262304,242683,30493,15913,6149,12979,8908,4042,,,,,
19:16.0,00:00.0,100,2,8,21,14,1526030,684233,9934,30124,14452,8785,9425,6382,,,,,
19:17.0,00:00.0,100,2,4,27,15,2014479,215733,55391,23628,22342,7916,6935,4011,,,,,
19:18.0,00:00.0,100,2,13,34,23,1676594,193001,26763,25103,6171,11099,3486,2304,,,,,
19:19.0,00:00.0,100,2,10,24,17,400366,77732,2909,1900,3005,2896,1170,510,,,,,
19:20.0,00:00.0,100,2,24,34,29,1126929,334492,10461,64995,27450,27435,7774,7406,,,,,
19:21.0,00:00.0,100,2,37,37,37,2216421,33774,19540,1020,10805,5601,6042,2461,,,,,
19:22.0,00:00.0,100,2,40,30,35,310960,52965,6722,3149,4811,4720,1825,642,,,,,
19:23.0,00:00.0,100,2,54,44,49,593983,46708,17446,5970,8799,13551,7368,2162,,,,,
19:24.0,00:00.0,100,2,61,51,56,586833,6597,3602,2651,1418,1911,1205,748,,,,,
19:25.0,00:00.0,100,2,56,50,53,181095,27469,3835,8765,3950,1872,2084,767,,,,,
19:26.0,00:00.0,100,2,60,57,58,183339,16304,4648,5130,2600,2982,1445,924,,,,,
19:27.0,00:00.0,100,2,64,63,63,10168,7758,5611,13259,10223,10062,8331,1771,,,,,
19:28.0,00:00.0,100,2,67,54,60,75398,9693,1931,2977,14728,3076,1578,888,,,,,
19:29.0,00:00.0,100,2,67,50,58,142410,39010,3350,3948,2515,2330,5517,873,,,,,
19:30.0,00:00.0,100,2,51,50,50,2119725,529128,205071,15455,11487,11348,17346,5332,,,,,
19:31.0,00:00.0,100,2,48,43,45,31400,49181,12327,15000,22927,18195,9634,2909,,,,,
19:32.0,00:00.0,100,1,40,50,45,120986,4837,2008,1644,1874,762,147,169,,,,,
19:33.0,00:00.0,100,1,47,53,50,99410,7500,1965,740,1882,1196,645,150,,,,,
19:34.0,00:00.0,100,1,54,40,47,1631295,520049,21207,13920,30513,24087,13670,27728,,,,,
19:35.0,00:00.0,100,1,41,38,39,154765,18706,3018,1968,950,1150,2364,579,,,,,
19:36.0,00:00.0,100,1,41,34,37,161772,280454,63783,25889,17678,30273,23896,9492,,,,,
19:37.0,00:00.0,100,1,34,30,32,388058,203927,28924,11195,4547,11956,12848,7803,,,,,
19:38.0,00:00.0,100,1,40,47,43,43989,134370,82544,20572,27326,21637,18248,8791,,,,,
19:39.0,00:00.0,100,1,41,38,39,486938,323433,17422,8119,26648,18092,4144,3166,,,,,
19:40.0,00:00.0,100,1,35,30,32,747908,178224,10012,10402,7659,7385,3848,1925,,,,,
19:41.0,00:00.0,100,2,47,37,42,1225721,58450,18525,14799,17153,17436,4549,3475,,,,,
19:42.0,00:00.0,100,2,34,27,30,1316674,209308,31979,4553,15200,4733,3625,935,,,,,
19:43.0,00:00.0,100,2,41,37,39,646123,243249,32170,28935,9147,48280,13164,7382,,,,,
19:44.0,00:00.0,100,2,38,34,36,132769,208926,12369,3387,2589,5919,2240,1497,,,,,
19:45.0,00:00.0,100,2,30,35,32,957031,36120,12052,8433,4713,4752,3784,1071,,,,,
19:46.0,00:00.0,100,2,37,35,36,441857,356115,46403,10667,17788,13561,6698,3383,,,,,
19:47.0,00:00.0,100,2,40,37,38,1302521,69679,12745,15435,14588,16389,16926,2855,,,,,
19:48.0,00:00.0,100,2,56,41,48,766284,173681,15309,23330,24745,34455,6742,7944,,,,,
19:49.0,00:00.0,100,2,63,41,52,350348,28665,19760,4782,13941,10082,8946,4140,,,,,
19:50.0,00:00.0,100,2,77,47,62,656054,60355,5631,13488,9696,14515,6460,4951,,,,,
19:51.0,00:00.0,100,2,74,43,58,156717,25644,3069,2786,5339,3649,2272,1146,,,,,
19:52.0,00:00.0,100,2,77,53,65,12363,5228,11817,9993,17731,8008,3708,990,,,,,
19:53.0,00:00.0,100,2,83,54,68,437624,28410,15128,14143,6529,21940,4253,4213,,,,,
19:54.0,00:00.0,100,2,78,53,65,142431,18913,2779,2551,2845,3065,1196,473,,,,,
19:55.0,00:00.0,100,2,84,53,68,15991,39219,5845,3243,6606,10795,3347,2237,,,,,
19:56.0,00:00.0,100,2,77,35,56,96365,53365,2593,394,4645,6484,2074,662,,,,,
19:57.0,00:00.0,100,2,78,34,56,2048,18248,7559,8220,6879,15256,6614,2543,,,,,
19:58.0,00:00.0,100,2,84,38,61,19681,28773,13029,8037,6984,13880,5354,5842,,,,,
19:59.0,00:00.0,100,2,61,37,49,179856,191227,12615,12843,7168,3519,2234,1768,,,,,
20:00.0,00:00.0,100,2,60,50,55,89472,45968,9103,10831,9195,7074,5012,3928,,,,,
20:01.0,00:00.0,100,2,53,53,53,105231,30067,18849,12749,2439,10938,5585,1637,,,,,
20:02.0,00:00.0,87,2,53,53,53,871163,58769,8219,18581,8150,5771,6479,2045,,,,,
20:03.0,00:00.0,100,2,38,53,45,491866,17554,3768,4127,4354,1213,2194,772,,,,,
20:04.0,00:00.0,100,2,47,48,47,1240244,410653,22307,6736,12130,19433,11530,6010,,,,,
20:05.0,00:00.0,100,2,44,56,50,1928819,104801,90695,24886,15678,15643,14244,10485,,,,,
20:06.0,00:00.0,100,2,40,54,47,247238,23826,19739,4609,2923,5100,3957,1240,,,,,
20:07.0,00:00.0,100,2,44,44,44,498768,95817,7873,1466,3509,8291,3511,2563,,,,,
20:08.0,00:00.0,100,2,60,50,55,383403,17516,1127,2165,5111,5146,3487,2156,,,,,
20:09.0,00:00.0,100,2,63,40,51,638172,37142,1045,9416,9080,4988,2684,1910,,,,,
20:10.0,00:00.0,100,2,69,37,53,246382,7638,3781,3192,3362,3576,946,1104,,,,,
20:11.0,00:00.0,100,2,66,53,59,47852,10885,14671,163,1400,1544,850,756,,,,,
20:12.0,00:00.0,100,2,54,64,59,1114380,22996,6899,9968,6717,2412,2901,678,,,,,
