'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
36:41.0,00:00.0,100,2,53,66,59,31931,19520,15108,17625,11563,12077,9668,2843,,13837.2381,13690.35147,8923.358277,4247.75737
36:42.0,00:00.0,100,2,61,57,59,805735,69516,21185,13443,10769,19371,2640,3074,,,,,
36:43.0,00:00.0,100,2,60,44,52,567642,176083,7559,1608,6447,17731,3270,1498,,,,,
36:44.0,00:00.0,100,2,48,35,41,32890,84266,6610,10751,5833,7173,3189,1000,,,,,
36:45.0,00:00.0,100,2,37,27,32,1060826,103051,33185,19993,8303,6684,4139,2203,,,,,
36:46.0,00:00.0,100,2,24,21,22,127577,53461,5121,3605,563,1814,1915,548,,,,,
36:47.0,00:00.0,100,2,14,34,24,109392,45325,3975,2719,1152,1255,482,278,,,,,
36:48.0,00:00.0,100,2,14,24,19,251602,64039,5754,596,5044,5254,3567,1280,,,,,
36:49.0,00:00.0,100,2,11,24,17,136826,52051,19259,5211,1357,1885,764,2113,,,,,
36:50.0,00:00.0,100,2,10,29,19,1317328,230045,20282,37546,7416,6797,3021,3078,,,,,
36:51.0,00:00.0,100,2,20,35,27,204763,15007,1286,4349,2672,2499,639,210,,,,,
36:52.0,00:00.0,100,2,23,57,40,147962,65451,80836,22845,5340,20203,2285,1199,,,,,
36:53.0,00:00.0,100,2,29,54,41,139208,35284,5847,6606,3709,3067,1721,927,,,,,
36:54.0,00:00.0,100,2,43,61,52,119893,11250,5786,2875,4245,3491,1897,1192,,,,,
36:55.0,00:00.0,100,2,50,56,53,7919,34145,6178,2854,3678,14399,4700,4256,,,,,
36:56.0,00:00.0,100,2,51,51,51,124508,8042,3917,3299,1864,2216,1110,1135,,,,,
36:57.0,00:00.0,100,2,54,60,57,24372,38316,21522,13836,3773,7314,7702,3790,,,,,
36:58.0,00:00.0,100,2,54,64,59,16157,29369,13435,26102,7304,10274,3883,2877,,,,,
36:59.0,00:00.0,100,2,51,70,60,8962,17910,6114,13567,25420,8606,4031,3105,,,,,
37:00.0,00:00.0,100,2,44,66,55,88611,122728,33238,26243,21694,9906,4937,4908,,,,,
37:01.0,00:00.0,100,2,47,44,45,108253,19380,513,1053,4142,3475,1916,893,,,,,
37:02.0,00:00.0,100,2,48,44,46,7652,17008,4661,22244,7623,6924,4995,2732,,,,,
37:03.0,00:00.0,100,2,40,41,40,81597,72231,25367,13521,45997,7371,6073,4498,,,,,
37:04.0,00:00.0,100,2,43,30,36,171847,22308,787,2170,918,2613,1799,547,,,,,
37:05.0,00:00.0,100,2,38,44,41,459271,86757,24385,1190,9939,7659,12201,3549,,,,,
37:06.0,00:00.0,100,2,29,30,29,146179,30610,2024,4838,1654,1726,691,559,,,,,
37:07.0,00:00.0,100,2,24,16,20,297538,171671,2344,8904,7370,5958,4767,1686,,,,,
37:08.0,00:00.0,100,2,26,20,23,83902,42412,2551,6140,5557,7037,2472,967,,,,,
37:09.0,00:00.0,100,2,23,24,23,2905714,147425,42181,33110,13860,10136,9634,8336,,,,,
37:10.0,00:00.0,100,2,29,23,26,986416,58636,5901,8334,17568,9154,6502,2788,,,,,
37:11.0,00:00.0,100,2,37,40,38,233839,49498,16632,3263,4531,5495,1636,1520,,,,,
37:12.0,00:00.0,100,2,30,44,37,214812,307158,87124,3243,22081,30331,8552,7704,,,,,
37:13.0,00:00.0,100,1,37,44,40,860690,30255,13702,6048,6554,3715,3130,2905,,,,,
37:14.0,00:00.0,100,1,37,48,42,757767,198811,22024,38878,16622,34007,11733,15254,,,,,
37:15.0,00:00.0,100,1,44,50,47,115817,13527,6078,3665,6242,5747,2581,2219,,,,,
37:16.0,00:00.0,100,1,48,61,54,127276,11486,8199,14230,4651,4516,7609,2289,,,,,
37:17.0,00:00.0,100,1,60,53,56,898285,37763,16701,2879,35473,21234,8758,12239,,,,,
37:18.0,00:00.0,100,1,54,61,57,164677,19614,2070,13827,5095,2833,3334,1388,,,,,
37:19.0,00:00.0,100,1,48,61,54,121890,54640,7791,21457,19366,6652,7558,1474,,,,,
37:20.0,00:00.0,100,1,40,48,44,1526458,516218,89257,52007,28683,25998,8268,5817,,,,,
37:21.0,00:00.0,100,1,23,44,33,939980,155484,12333,10661,10575,6383,6933,1868,,,,,
37:22.0,00:00.0,100,1,29,43,36,85275,10636,2179,5981,1948,3929,4524,2848,,,,,
37:23.0,00:00.0,100,1,40,48,44,12816,11635,15103,6546,8220,11630,7312,1946,,,,,
37:24.0,00:00.0,100,1,47,56,51,9918,35550,10575,37199,17673,9173,13099,2945,,,,,
37:25.0,00:00.0,100,1,67,60,63,137238,9106,2139,1721,4558,10466,2598,1837,,,,,
37:26.0,00:00.0,100,1,77,64,70,7179,7090,14529,17453,6237,25469,11551,1636,,,,,
37:27.0,00:00.0,100,1,77,54,65,9232,27919,6554,7310,19136,14448,3731,15791,,,,,
37:28.0,00:00.0,100,1,80,47,63,14939,23450,4613,6524,7863,5946,11897,4099,,,,,
37:29.0,00:00.0,100,1,74,53,63,12537,17381,8184,6738,7862,13191,6900,1515,,,,,
