'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
36:42.0,00:00.0,100,2,61,51,56,17510,16039,7161,6603,8764,10165,2595,2188,,12952.58508,12240.44988,6553.149184,2785.638695
36:43.0,00:00.0,100,2,61,44,52,19010,60291,2007,8785,5705,13311,7142,3089,,,,,
36:44.0,00:00.0,100,2,70,47,58,23937,7170,7514,15119,1920,11563,4908,2000,,,,,
36:45.0,00:00.0,100,2,63,47,55,33696,34540,12952,10430,11485,6082,7241,2455,,,,,
36:46.0,00:00.0,100,2,60,50,55,3880,40256,20333,16192,7255,19853,6717,3815,,,,,
36:47.0,00:00.0,100,2,66,60,63,27860,24196,3080,10852,6756,12742,12170,2204,,,,,
36:48.0,00:00.0,100,2,57,44,50,7036,48221,11365,11223,9787,11939,5469,6013,,,,,
36:49.0,00:00.0,100,2,63,40,51,85789,22356,5682,2197,2600,4373,1509,294,,,,,
36:50.0,00:00.0,100,2,53,35,44,16454,59524,13773,14303,7997,8633,4345,3551,,,,,
36:51.0,00:00.0,100,2,41,51,46,45963,33956,50038,23887,14099,10476,5236,2542,,,,,
36:52.0,00:00.0,100,2,35,63,49,28602,26747,29058,5356,10184,5238,5480,3260,,,,,
36:53.0,00:00.0,100,2,35,63,49,137950,14609,1629,3726,1414,2912,1350,540,,,,,
36:54.0,00:00.0,100,2,41,66,53,578185,69132,28456,44730,47284,25282,5384,2364,,,,,
36:55.0,00:00.0,100,2,51,48,49,4712,17501,9646,1441,12074,7364,8083,2108,,,,,
36:56.0,00:00.0,100,2,64,40,52,9057,18076,9193,4606,7041,10450,5007,1590,,,,,
36:57.0,00:00.0,100,2,66,43,54,23206,25211,7866,7633,12630,7357,8144,3997,,,,,
36:58.0,00:00.0,100,2,67,43,55,404085,44933,6621,33026,15818,18201,7611,1334,,,,,
36:59.0,00:00.0,100,2,48,51,49,580916,124051,77828,18054,11959,7771,9217,3912,,,,,
37:00.0,00:00.0,100,2,48,54,51,49551,20127,5736,17868,14801,13828,4460,1125,,,,,
37:01.0,00:00.0,100,2,57,51,54,30412,12100,4710,2983,7351,10539,5708,4153,,,,,
37:02.0,00:00.0,100,2,63,56,59,16374,13909,10810,15162,5277,14237,4107,1182,,,,,
37:03.0,00:00.0,100,2,63,43,53,16659,93667,8138,15645,16984,4426,5701,1582,,,,,
37:04.0,00:00.0,100,2,63,43,53,129587,7601,2594,4791,2577,4253,2974,724,,,,,
37:05.0,00:00.0,100,2,47,64,55,40505,23937,66079,13656,9651,11153,9376,2457,,,,,
37:06.0,00:00.0,100,2,38,61,49,32061,47208,16677,28275,6272,13657,3188,2052,,,,,
37:07.0,00:00.0,100,2,56,66,61,18951,33855,3131,14871,14765,11631,4588,2716,,,,,
37:08.0,00:00.0,100,2,53,66,59,15886,23927,13778,5062,7245,10078,4746,1637,,,,,
37:09.0,00:00.0,100,2,61,50,55,4750,30271,9689,9135,5847,10554,4028,8400,,,,,
37:10.0,00:00.0,100,2,66,38,52,13446,68561,5012,16368,7525,18480,5168,2356,,,,,
37:11.0,00:00.0,100,2,69,47,58,19709,16904,10773,20017,23485,15258,4199,3095,,,,,
