'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
54:28.0,00:00.0,100,2,66,60,63,877845,205947,14804,30012,20213,14108,10393,5515,,12791.40597,13017.1791,7568.310448,4355.471642
54:29.0,00:00.0,100,2,63,69,66,24467,36699,9827,58762,7021,13586,7408,8911,,,,,
54:30.0,00:00.0,100,2,63,61,62,7016,32418,10391,3986,5703,19236,10679,10149,,,,,
54:31.0,00:00.0,100,2,56,51,53,102377,236953,21098,4422,4745,4832,1581,1746,,,,,
54:32.0,00:00.0,100,2,57,47,52,213305,63817,2423,4872,1854,4560,3383,3041,,,,,
54:33.0,00:00.0,100,2,66,37,51,43887,17130,2110,13772,6614,14441,3037,9706,,,,,
54:34.0,00:00.0,100,2,56,40,48,402425,76860,18203,27445,35478,14200,4923,6106,,,,,
54:35.0,00:00.0,100,2,78,51,64,15237,37370,15673,5443,6143,14917,5628,8649,,,,,
54:36.0,00:00.0,100,2,81,66,73,79938,26970,10199,11167,6229,4060,4991,2666,,,,,
54:37.0,00:00.0,100,2,80,61,70,58288,27543,5567,6710,7323,13923,5486,7695,,,,,
54:38.0,00:00.0,100,2,81,57,69,92185,24196,6773,1163,3030,3905,2312,1569,,,,,
54:39.0,00:00.0,100,2,69,50,59,1477924,138792,2235,18415,9352,12100,9433,4826,,,,,
54:40.0,00:00.0,100,2,74,51,62,516438,49769,41642,6925,10424,11935,10475,6543,,,,,
54:41.0,00:00.0,100,2,53,56,54,262694,46204,20941,3474,2264,2746,1222,1566,,,,,
54:42.0,00:00.0,100,2,54,75,64,712944,9929,14931,17873,3797,5838,3131,3301,,,,,
54:43.0,00:00.0,100,2,41,77,59,371464,88091,13700,1554,6657,1664,4322,4716,,,,,
54:44.0,00:00.0,100,2,47,69,58,117364,36720,14687,3362,2198,11105,7329,9506,,,,,
54:45.0,00:00.0,100,2,48,60,54,81038,119175,15379,3255,9088,6382,5160,1875,,,,,
54:46.0,00:00.0,100,2,35,41,38,637921,35022,7015,1984,2060,1288,1438,517,,,,,
54:47.0,00:00.0,100,2,60,54,57,97481,20355,9860,18203,4167,14282,4281,6015,,,,,
54:48.0,00:00.0,100,2,40,40,40,127047,144047,4548,5424,3684,3039,1139,1792,,,,,
54:49.0,00:00.0,100,2,37,63,50,1136665,43351,34981,65839,9345,4251,3273,1510,,,,,
54:50.0,00:00.0,100,2,53,63,58,114545,16205,2941,2633,2033,5068,1634,1402,,,,,
54:51.0,00:00.0,100,2,44,57,50,71519,14485,3400,5112,3407,2395,1790,1464,,,,,
54:52.0,00:00.0,100,2,69,81,75,11888,11874,4208,22920,4583,13526,13482,4633,,,,,
54:53.0,00:00.0,100,2,74,60,67,471412,97533,8859,7510,1827,4626,1158,2033,,,,,
54:54.0,00:00.0,100,2,75,66,70,107031,7573,4096,2076,1831,3897,1992,1505,,,,,
54:55.0,00:00.0,100,2,84,57,70,7526,28512,4092,6930,17152,13321,4801,5889,,,,,
54:56.0,00:00.0,100,2,87,54,70,90198,6604,7832,3608,7441,7017,2860,1790,,,,,
54:57.0,00:00.0,100,2,93,60,76,171423,19457,4721,3236,3028,2621,2409,2518,,,,,
54:58.0,00:00.0,100,2,100,51,75,23029,12028,3978,3072,6122,15138,9678,7400,,,,,
54:59.0,00:00.0,100,2,96,54,75,643591,35839,11655,3644,15408,10021,6588,6432,,,,,
55:00.0,00:00.0,100,2,87,50,68,212510,65778,10758,10029,2937,10025,2295,1988,,,,,
55:01.0,00:00.0,100,2,87,60,73,156909,6050,6398,2872,2496,1461,1804,1461,,,,,
55:02.0,00:00.0,100,2,69,61,65,887679,33478,4410,5004,2687,4884,5317,2970,,,,,
55:03.0,00:00.0,100,2,64,61,62,66143,11831,2715,2127,2146,2152,1588,1115,,,,,
55:04.0,00:00.0,100,2,74,67,70,72990,7782,2806,4896,2314,4943,1116,2715,,,,,
55:05.0,00:00.0,100,2,67,50,58,588335,315712,28425,15521,10594,16797,14050,7559,,,,,
55:06.0,00:00.0,100,2,67,66,66,1060299,11210,24068,3167,3428,4334,2112,1359,,,,,
55:07.0,00:00.0,100,2,61,64,62,580908,177163,30562,14788,6659,12284,9680,9615,,,,,
55:08.0,00:00.0,100,2,61,61,61,315346,94212,20234,37638,25788,55193,5423,7356,,,,,
55:09.0,00:00.0,100,2,74,70,72,472278,49750,12704,17350,7430,13382,11527,7586,,,,,
55:10.0,00:00.0,100,2,64,61,62,405616,145213,28286,43923,3334,9673,6829,11183,,,,,
55:11.0,00:00.0,100,2,61,54,57,126133,36050,2658,1852,2672,1463,3095,2127,,,,,
55:12.0,00:00.0,100,2,56,51,53,55050,16870,1659,3719,2221,4049,1676,1276,,,,,
55:13.0,00:00.0,100,2,44,35,39,661767,166881,2404,11850,10702,7228,5998,6064,,,,,
55:14.0,00:00.0,100,2,50,23,36,153225,52543,2670,3799,3077,5135,2867,1446,,,,,
55:15.0,00:00.0,100,2,53,34,43,109776,39688,11708,2658,2171,2976,2137,1032,,,,,
55:16.0,00:00.0,100,2,41,23,32,1777946,153637,6448,7986,14868,7782,13995,4816,,,,,
55:17.0,00:00.0,100,2,53,37,45,812487,83803,25420,10206,14671,21160,16843,4540,,,,,
55:18.0,00:00.0,100,2,64,47,55,78926,86575,34173,12171,7099,46022,15291,6600,,,,,
55:19.0,00:00.0,100,2,81,50,65,33219,23592,18546,9482,8143,17081,6761,4056,,,,,
55:20.0,00:00.0,100,2,84,66,75,240384,24898,5610,9316,1552,2645,2056,2751,,,,,
55:21.0,00:00.0,100,2,75,61,68,1412139,29629,4449,2459,2595,1925,2341,919,,,,,
55:22.0,00:00.0,100,2,80,64,72,11586,6210,11664,3555,11382,13525,14583,5556,,,,,
55:23.0,00:00.0,100,2,60,50,55,557547,309954,19888,15659,9920,9951,9359,7538,,,,,
55:24.0,00:00.0,100,2,63,53,58,240826,18790,17365,2174,1784,4073,2293,1343,,,,,
55:25.0,00:00.0,100,2,67,47,57,319889,191710,7024,10144,8838,21869,15255,12544,,,,,
55:26.0,00:00.0,100,2,50,40,45,667907,165128,35570,5157,14606,16479,18501,5118,,,,,
55:27.0,00:00.0,100,2,74,57,65,3509,10713,16436,12353,7101,15245,14380,5026,,,,,
55:28.0,00:00.0,100,2,78,38,58,35973,46234,2652,4027,13132,10874,20239,5407,,,,,
55:29.0,00:00.0,100,2,78,51,64,588496,34653,2899,11897,2480,4407,2457,1921,,,,,
55:30.0,00:00.0,100,2,75,61,68,179386,29938,11777,12238,4169,3540,1878,1468,,,,,
