'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:24.0,00:00.0,100,2,48,41,44,380759,838154,8568,30553,93382,16646,10509,4821,,11043.72477,8021.905199,4432.587156,4318.348624
00:25.0,00:00.0,100,2,60,43,51,485841,204104,51063,24883,14476,14589,5126,5911,,,,,
00:26.0,00:00.0,100,2,50,44,47,979658,71806,26592,16590,25276,10589,4149,15919,,,,,
00:27.0,00:00.0,100,2,41,40,40,1218580,290943,49037,10960,20526,12072,2856,7498,,,,,
00:28.0,00:00.0,100,2,60,57,58,101499,14014,4381,2309,3557,3044,1786,2761,,,,,
00:29.0,00:00.0,100,2,57,61,59,422438,12380,4688,4797,4022,999,917,4379,,,,,
00:30.0,00:00.0,100,2,60,57,58,651811,30178,9437,3864,10828,4463,6320,13910,,,,,
00:31.0,00:00.0,100,2,56,63,59,243537,73402,20126,6667,4030,2114,953,1879,,,,,
00:32.0,00:00.0,100,2,48,80,64,834520,23592,29786,68235,11404,7594,14213,13911,,,,,
00:33.0,00:00.0,100,2,44,81,62,750558,71156,9345,37614,6063,3584,2236,3310,,,,,
00:34.0,00:00.0,100,2,38,80,59,112623,119492,23132,8960,4088,7804,3214,13726,,,,,
00:35.0,00:00.0,100,2,47,81,64,345884,49587,23949,7266,17259,4605,1880,3523,,,,,
00:36.0,00:00.0,100,2,41,69,55,78659,9911,4588,869,789,534,496,960,,,,,
00:37.0,00:00.0,100,2,51,67,59,332575,8109,4540,530,1159,1170,869,6588,,,,,
00:38.0,00:00.0,100,2,43,63,53,2093453,367553,43075,12123,8844,9188,4192,14447,,,,,
00:39.0,00:00.0,100,2,43,47,45,208966,849483,27987,33225,46596,51396,19143,5325,,,,,
00:40.0,00:00.0,100,2,48,35,41,327690,91700,5230,8848,5461,5976,2222,5976,,,,,
00:41.0,00:00.0,100,2,53,47,50,498320,9200,26080,28747,9832,10607,1413,11196,,,,,
00:42.0,00:00.0,100,2,74,67,70,2869,9613,13386,28360,7336,9008,5947,14259,,,,,
00:43.0,00:00.0,100,2,81,77,79,598527,96040,11400,9114,4961,14655,3311,13489,,,,,
00:44.0,00:00.0,100,2,78,81,79,1075537,45297,9570,2653,3900,2497,1509,2005,,,,,
00:45.0,00:00.0,100,2,63,56,59,131324,83768,7106,2101,6097,3256,706,2642,,,,,
00:46.0,00:00.0,100,2,54,43,48,114388,15674,5028,2204,4588,1887,2676,3512,,,,,
00:47.0,00:00.0,100,2,41,34,37,2139594,281002,17847,2585,11520,8757,6474,14209,,,,,
00:48.0,00:00.0,100,2,51,35,43,122293,15158,3121,2335,946,2571,536,2440,,,,,
00:49.0,00:00.0,100,2,51,43,47,362840,133719,20800,14978,18308,6061,2692,9334,,,,,
00:50.0,00:00.0,100,2,40,26,33,418122,85780,2667,2022,1862,2019,792,4183,,,,,
00:51.0,00:00.0,100,2,47,50,48,397185,96088,88513,15233,13468,12862,17868,12210,,,,,
00:52.0,00:00.0,100,2,44,54,49,55764,59398,7252,29653,5555,8206,4277,6527,,,,,
00:53.0,00:00.0,100,2,51,54,52,591903,79167,3007,25222,24449,7220,1644,11333,,,,,
00:54.0,00:00.0,100,2,51,66,58,1365173,301539,18179,42469,8038,8893,4824,5083,,,,,
00:55.0,00:00.0,100,2,50,56,53,804625,107794,12792,18695,1500,7026,6629,9658,,,,,
00:56.0,00:00.0,100,2,37,40,38,223437,245708,14625,4477,4128,6702,1556,2977,,,,,
00:57.0,00:00.0,100,2,29,40,34,1355915,96669,10468,17402,12967,4627,2478,3252,,,,,
00:58.0,00:00.0,100,2,48,43,45,144600,9187,2254,3889,4937,2534,1763,2972,,,,,
