'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:25.0,00:00.0,100,2,16,4,10,588416,978224,39672,37704,45865,16387,17876,6885,,30329.98377,19382.18182,15072.83766,8036.035714
00:26.0,00:00.0,100,2,14,3,8,1000454,477108,94872,88344,85789,38114,20354,11707,,,,,
00:27.0,00:00.0,100,2,29,23,26,309378,54321,11502,15277,12017,18696,4356,6152,,,,,
00:28.0,00:00.0,100,2,35,27,31,97543,36361,6489,1030,1381,2298,1269,620,,,,,
00:29.0,00:00.0,100,2,53,41,47,13422,83656,34078,10492,7908,15631,4885,3277,,,,,
00:30.0,00:00.0,100,2,54,34,44,1018494,143032,9941,5908,11677,12819,5275,3973,,,,,
00:31.0,00:00.0,100,2,47,35,41,921075,72372,39105,22245,45424,13291,9283,5564,,,,,
00:32.0,00:00.0,100,2,53,41,47,130431,17003,829,8119,2235,2759,1650,1480,,,,,
00:33.0,00:00.0,100,2,41,26,33,1508843,445052,19015,16335,47202,17664,27272,55224,,,,,
00:34.0,00:00.0,100,2,40,38,39,554142,232354,46302,56334,18867,19140,13716,11933,,,,,
00:35.0,00:00.0,100,2,38,41,39,1175720,118511,59127,36804,13298,15503,12557,7514,,,,,
00:36.0,00:00.0,100,2,50,38,44,13949,23305,9533,10564,32073,18244,2698,7867,,,,,
00:37.0,00:00.0,100,2,50,50,50,11652,54189,16036,6446,8643,3308,5047,4139,,,,,
00:38.0,00:00.0,100,2,48,41,44,347649,204372,12510,17332,5703,10844,13447,5009,,,,,
00:39.0,00:00.0,100,2,53,40,46,11570,22734,4669,18110,21898,6346,6549,3592,,,,,
00:40.0,00:00.0,100,2,38,41,39,139190,21596,5881,4408,5452,2484,2426,692,,,,,
00:41.0,00:00.0,100,2,35,44,39,359983,52878,12285,19404,11312,2562,2430,3279,,,,,
00:42.0,00:00.0,100,2,37,51,44,464906,431962,53675,88938,23276,30146,8552,2454,,,,,
00:43.0,00:00.0,100,2,30,61,45,594098,15580,23929,9839,4977,3608,3625,1725,,,,,
00:44.0,00:00.0,100,2,40,63,51,8083,22880,2114,15746,6830,7326,6551,4191,,,,,
00:45.0,00:00.0,100,2,53,61,57,1497489,172877,46385,45462,30234,42783,15127,21718,,,,,
00:46.0,00:00.0,100,2,51,54,52,22266,46805,2706,4731,6320,2369,1898,1023,,,,,
00:47.0,00:00.0,100,2,63,41,52,47989,30671,8780,14828,39752,14548,2513,2353,,,,,
00:48.0,00:00.0,100,2,60,44,52,34587,12191,5436,22635,17900,5250,7392,5000,,,,,
00:49.0,00:00.0,100,2,60,37,48,15295,32309,2438,3511,8327,5623,3072,2521,,,,,
00:50.0,00:00.0,100,2,64,56,60,40187,65250,95227,55563,5172,20130,8635,6315,,,,,
00:51.0,00:00.0,100,2,51,51,51,81086,67459,620,11319,3700,4055,6460,1440,,,,,
00:52.0,00:00.0,100,2,54,51,52,18947,23169,24464,4801,9259,9533,8749,5319,,,,,
00:53.0,00:00.0,100,2,51,53,52,319808,237725,38548,9013,18887,27840,27606,7994,,,,,
00:54.0,00:00.0,100,2,51,34,42,2879689,458824,10453,85790,90413,54894,52041,37866,,,,,
00:55.0,00:00.0,100,2,53,38,45,1005595,108269,14654,16863,14088,7842,10568,5920,,,,,
00:56.0,00:00.0,100,2,35,35,35,1226992,171986,82554,17748,4796,6263,10234,5802,,,,,
00:57.0,00:00.0,100,2,24,41,32,58359,140345,21692,29519,9211,5906,25816,4991,,,,,
00:58.0,00:00.0,100,2,16,47,31,153673,32160,6447,3123,1261,1502,1266,513,,,,,
00:59.0,00:00.0,100,2,20,53,36,436287,8743,5288,5272,7816,1809,4070,1253,,,,,
01:00.0,00:00.0,100,2,30,54,42,106394,10378,7638,4536,4351,1841,1584,1197,,,,,
01:01.0,00:00.0,100,2,41,61,51,588942,147724,108218,31360,36327,27475,20808,7358,,,,,
01:02.0,00:00.0,100,2,60,61,60,128145,9622,3874,1736,2958,4385,640,874,,,,,
01:03.0,00:00.0,100,2,60,50,55,331078,146313,12979,13021,17631,16094,14212,8194,,,,,
