'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
05:51.0,00:00.0,100,2,14,57,35,2080576,127585,52237,5649,3169,1880,1731,5339,,9658.042589,7883.87138,4817.07155,2536.616695
05:52.0,00:00.0,100,2,3,48,25,692709,267924,24395,15197,6580,3634,1255,1154,,,,,
05:53.0,00:00.0,100,2,1,30,15,74419,41076,595,1251,1141,938,312,85,,,,,
05:54.0,00:00.0,100,2,7,26,16,56278,15555,2847,961,262,322,175,241,,,,,
05:55.0,00:00.0,100,2,23,29,26,799817,18108,9574,7991,3450,2053,2171,1108,,,,,
05:56.0,00:00.0,100,2,44,30,37,201286,15911,1130,2689,2279,2921,402,263,,,,,
05:57.0,00:00.0,100,2,43,41,42,29713,16494,3404,168,1184,355,166,107,,,,,
05:58.0,00:00.0,100,2,56,34,45,1736010,179417,3540,9005,15759,14277,5371,4223,,,,,
05:59.0,00:00.0,100,2,48,23,35,1196915,217127,17243,21365,13275,6943,4934,2159,,,,,
06:00.0,00:00.0,100,2,38,23,30,1831509,222567,31884,18852,11278,13873,4018,2355,,,,,
06:01.0,00:00.0,100,2,43,27,35,203347,76307,23196,6372,7244,3205,3502,1555,,,,,
06:02.0,00:00.0,100,2,43,41,42,491846,60495,13022,22982,2750,7051,2269,1991,,,,,
06:03.0,00:00.0,100,2,40,50,45,2295559,455872,257565,9649,11281,14174,17487,8609,,,,,
06:04.0,00:00.0,100,2,43,53,48,907823,208940,59568,14046,24186,18999,3959,12207,,,,,
06:05.0,00:00.0,100,2,41,48,44,412938,20416,1231,2976,990,681,377,249,,,,,
06:06.0,00:00.0,100,2,44,40,42,144336,44186,3415,4677,8611,5860,1366,484,,,,,
06:07.0,00:00.0,100,2,50,27,38,110068,21615,1083,1467,1207,827,475,250,,,,,
06:08.0,00:00.0,100,2,48,35,41,271914,84889,15023,79464,21860,8039,4252,1274,,,,,
06:09.0,00:00.0,100,2,54,34,44,1886669,181168,21872,11402,29558,13328,7885,3547,,,,,
06:10.0,00:00.0,100,2,56,38,47,153605,49829,5463,10248,9420,8930,4906,1182,,,,,
06:11.0,00:00.0,100,2,64,51,57,1063132,49339,33806,30412,20893,9224,7529,2475,,,,,
06:12.0,00:00.0,100,2,64,37,50,154295,22215,147,1911,2500,1313,1361,481,,,,,
06:13.0,00:00.0,100,2,69,44,56,28783,51092,7307,22183,2045,7656,1642,1408,,,,,
06:14.0,00:00.0,100,2,75,50,62,180372,10643,9300,3949,6711,5631,4686,1402,,,,,
06:15.0,00:00.0,100,2,66,41,53,186365,31466,6417,1948,4179,1495,2426,653,,,,,
06:16.0,00:00.0,100,2,64,44,54,153600,95712,9867,5339,6831,5061,3251,2320,,,,,
06:17.0,00:00.0,100,2,60,43,51,61722,29186,8689,4761,4222,2328,3986,318,,,,,
06:18.0,00:00.0,100,2,50,40,45,2516467,43748,11999,5723,5558,4675,2390,1119,,,,,
06:19.0,00:00.0,100,2,38,35,36,589744,151763,12796,4013,4925,1654,1196,1576,,,,,
06:20.0,00:00.0,100,2,37,38,37,890100,90795,21942,7734,13810,4264,2656,543,,,,,
06:21.0,00:00.0,100,2,37,34,35,787214,141273,18460,10522,20922,8170,1753,1415,,,,,
06:22.0,00:00.0,100,2,29,35,32,1459424,502217,179427,42443,36100,25086,14845,3640,,,,,
06:23.0,00:00.0,100,2,43,48,45,790940,43945,34306,7397,6682,4338,6498,1605,,,,,
06:24.0,00:00.0,100,2,54,56,55,1116120,56788,83621,20103,16699,19236,4289,1842,,,,,
06:25.0,00:00.0,100,2,53,57,55,697459,86369,11061,6241,4849,4092,2208,1675,,,,,
06:26.0,00:00.0,100,2,56,57,56,130550,26356,6030,4925,1864,1945,828,92,,,,,
06:27.0,00:00.0,100,2,70,54,62,90464,26372,15096,13227,6541,17931,6935,1361,,,,,
06:28.0,00:00.0,100,2,78,43,60,23941,29697,1841,7388,19099,8422,4251,1638,,,,,
06:29.0,00:00.0,100,2,81,44,62,222757,91315,29748,2888,20308,8594,2928,3572,,,,,
06:30.0,00:00.0,100,2,75,40,57,229910,181770,19522,10383,6228,4226,3081,1757,,,,,
06:31.0,00:00.0,100,2,57,43,50,758474,57077,58672,5685,12028,5279,5432,2474,,,,,
06:32.0,00:00.0,100,2,50,60,55,453881,41780,76141,84332,12243,18474,4107,3085,,,,,
06:33.0,00:00.0,100,2,53,63,58,1445250,167084,55549,32774,15797,26385,9625,4511,,,,,
06:34.0,00:00.0,100,2,64,64,64,588471,70718,10606,9012,19024,7682,2193,2414,,,,,
06:35.0,00:00.0,100,2,67,56,61,1754533,231559,21890,46886,42632,18682,8241,2001,,,,,
06:36.0,00:00.0,100,2,69,47,58,1967505,116387,49277,61366,73573,26500,8635,2925,,,,,
06:37.0,00:00.0,100,2,57,38,47,950309,217038,13989,20513,15916,7663,4803,2319,,,,,
06:38.0,00:00.0,100,2,56,38,47,1332411,107695,13038,11946,12221,10325,4492,3263,,,,,
06:39.0,00:00.0,100,2,56,37,46,480542,309302,30331,28762,22559,20537,6066,889,,,,,
06:40.0,00:00.0,100,2,44,27,35,392797,178205,21908,5113,10203,6412,5079,2048,,,,,
06:41.0,00:00.0,100,2,53,26,39,271345,33009,2509,1967,3040,2751,1000,621,,,,,
06:42.0,00:00.0,100,2,61,29,45,422850,38595,7828,13084,7497,12884,4133,2266,,,,,
06:43.0,00:00.0,100,2,66,29,47,114238,82464,9843,9271,19803,8459,3263,2006,,,,,
06:44.0,00:00.0,100,2,70,35,52,1912917,134922,10953,32901,9139,9391,6480,6006,,,,,
06:45.0,00:00.0,100,2,74,43,58,93260,21590,2774,7680,2788,2898,1323,482,,,,,
06:46.0,00:00.0,100,2,60,37,48,283557,64665,4806,4701,1406,3536,2211,251,,,,,
06:47.0,00:00.0,100,2,57,43,50,180524,21795,8583,3800,1587,2602,3167,313,,,,,
06:48.0,00:00.0,100,2,54,43,48,847885,61600,10560,10940,2597,3299,917,896,,,,,
06:49.0,00:00.0,100,2,63,44,53,91533,16201,3735,11307,5577,7741,4007,3619,,,,,
06:50.0,00:00.0,100,2,64,50,57,733221,179340,27437,25202,3596,13183,8416,2188,,,,,
06:51.0,00:00.0,100,2,57,50,53,634207,84277,35962,5526,4278,4336,2089,1757,,,,,
06:52.0,00:00.0,100,2,60,47,53,113459,75732,7651,8933,5339,4524,2945,3035,,,,,
06:53.0,00:00.0,100,2,48,41,44,1325626,27607,5611,2120,4432,2170,765,436,,,,,
06:54.0,00:00.0,100,2,41,41,41,668848,78036,16475,3611,1325,1950,765,199,,,,,
06:55.0,00:00.0,100,2,37,37,37,699549,683496,122008,38260,11831,17808,6278,2519,,,,,
06:56.0,00:00.0,100,2,51,35,43,219458,42767,2493,10663,17234,14616,5982,7039,,,,,
06:57.0,00:00.0,100,2,40,37,38,931852,269865,77820,22143,24893,6576,3383,3410,,,,,
06:58.0,00:00.0,100,2,48,43,45,1254899,97612,44321,18911,17008,7598,4529,2017,,,,,
06:59.0,00:00.0,100,2,57,54,55,813002,9423,14798,10624,9585,2978,1448,1181,,,,,
07:00.0,00:00.0,100,2,34,54,44,374380,190208,23728,11062,7941,3230,4858,3408,,,,,
07:01.0,00:00.0,100,2,50,57,53,248700,52290,32661,6973,15009,11100,7362,1068,,,,,
07:02.0,00:00.0,100,2,51,54,52,95028,50989,16952,5210,4927,4533,2304,1298,,,,,
07:03.0,00:00.0,87,2,51,54,52,595048,8920,3101,2470,812,1180,480,241,,,,,
07:04.0,00:00.0,100,2,51,50,50,145187,43946,33836,8144,14314,6993,3209,2552,,,,,
07:05.0,00:00.0,100,2,74,54,64,150490,19412,7830,1845,4360,5102,2550,1791,,,,,
07:06.0,00:00.0,100,2,67,44,55,540283,143648,18065,4537,14222,11719,2203,994,,,,,
07:07.0,00:00.0,100,2,66,44,55,111723,78005,10343,16441,4809,5343,2742,2666,,,,,
07:08.0,00:00.0,100,2,66,44,55,941125,142242,102091,11955,14183,16455,11045,4175,,,,,
07:09.0,00:00.0,100,2,54,44,49,124600,30336,8357,4526,1809,1963,1780,978,,,,,
07:10.0,00:00.0,100,2,63,61,62,30171,3013,10973,16513,16077,5356,5271,1773,,,,,
07:11.0,00:00.0,100,2,75,60,67,16851,15055,1191,6175,8412,4429,4723,3160,,,,,
07:12.0,00:00.0,100,2,87,54,70,32841,13119,4457,4469,10506,4838,2286,883,,,,,
07:13.0,00:00.0,100,2,100,51,75,7780,14051,797,3651,2574,4803,3846,1105,,,,,
07:14.0,00:00.0,100,2,100,43,71,41931,14164,3424,10495,14932,5304,7816,2232,,,,,
07:15.0,00:00.0,100,2,97,50,73,13496,13859,7158,8906,3090,5501,3108,2215,,,,,
07:16.0,00:00.0,100,2,91,50,70,5328,48391,10567,7552,4092,7620,2484,2736,,,,,
07:17.0,00:00.0,100,2,83,53,68,9825,35844,8620,7552,14087,4293,6638,2738,,,,,
07:18.0,00:00.0,100,2,87,48,67,11115,16803,2461,2906,2068,5729,1299,1166,,,,,
07:19.0,00:00.0,100,2,81,50,65,19820,41855,36207,16816,4532,8735,8046,1398,,,,,
07:20.0,00:00.0,100,2,81,48,64,192885,59611,10697,8540,4648,8932,3356,1193,,,,,
07:21.0,00:00.0,100,2,69,43,56,185212,155272,7561,12727,4410,3693,5061,1610,,,,,
07:22.0,00:00.0,100,2,56,40,48,1480216,110508,8282,15661,14023,8140,3690,2095,,,,,
07:23.0,00:00.0,100,2,56,37,46,45190,36279,8953,27075,16356,6991,1925,3284,,,,,
07:24.0,00:00.0,100,2,51,40,45,450875,196387,81134,4356,29417,18549,12200,3806,,,,,
07:25.0,00:00.0,100,2,56,48,52,617399,11523,2161,5148,3629,762,1845,992,,,,,
07:26.0,00:00.0,100,2,66,61,63,53197,23318,25450,14349,6408,10250,2334,1399,,,,,
07:27.0,00:00.0,100,2,75,51,63,125087,3496,219,1175,2907,1323,1086,497,,,,,
07:28.0,00:00.0,100,2,78,60,69,4317,10032,6588,12958,5899,3206,1838,1597,,,,,
07:29.0,00:00.0,100,2,90,64,77,8595,9627,17665,10634,12009,5824,2383,1983,,,,,
07:30.0,00:00.0,100,2,75,60,67,91864,32617,10433,6745,2465,1406,581,284,,,,,
07:31.0,00:00.0,100,2,70,67,68,2035,23966,9709,6783,3926,7162,3400,2013,,,,,
07:32.0,00:00.0,100,2,77,63,70,29043,15278,11882,3719,4805,7060,2563,1587,,,,,
07:33.0,00:00.0,100,2,77,64,70,7307,7066,12647,11164,8489,4698,4119,2677,,,,,
07:34.0,00:00.0,100,2,91,63,77,8431,9187,1354,14825,27776,3634,3882,1861,,,,,
07:35.0,00:00.0,100,2,90,64,77,18398,10067,10080,917,4593,3327,2988,565,,,,,
07:36.0,00:00.0,100,2,91,70,80,9513,4930,12725,4786,4524,4747,1663,860,,,,,
07:37.0,00:00.0,100,2,80,63,71,1579608,92388,32563,9823,12482,5359,3047,2059,,,,,
07:38.0,00:00.0,100,2,69,51,60,286166,200052,10594,9137,19842,12019,4827,2022,,,,,
07:39.0,00:00.0,100,2,56,43,49,294377,34495,5182,2236,1335,1169,1520,599,,,,,
07:40.0,00:00.0,100,1,43,35,39,785934,39494,10448,6678,4110,2966,2639,836,,,,,
07:41.0,00:00.0,100,1,60,35,47,100207,31157,11896,9799,8561,12422,3209,3501,,,,,
07:42.0,00:00.0,100,1,64,50,57,7197,20136,6766,15851,9891,4518,3222,2174,,,,,
07:43.0,00:00.0,100,1,80,54,67,3665,11980,90,9727,7750,3288,2499,1394,,,,,
07:44.0,00:00.0,100,1,88,64,76,53368,17677,22873,15308,3882,7231,1035,2287,,,,,
07:45.0,00:00.0,100,1,81,57,69,26788,22567,3256,1385,2533,3019,3094,1596,,,,,
07:46.0,00:00.0,100,1,80,53,66,20764,22247,2431,7595,5187,3057,2196,1481,,,,,
07:47.0,00:00.0,100,1,87,60,73,13628,8305,10521,11147,3022,10345,5446,1987,,,,,
07:48.0,00:00.0,100,1,77,50,63,136313,110587,26356,16120,8952,6762,3206,3281,,,,,
07:49.0,00:00.0,100,1,81,63,72,26241,11153,23892,4144,7101,6887,3851,1589,,,,,
07:50.0,00:00.0,100,1,87,64,75,11935,23244,18321,2945,16732,6698,3352,2077,,,,,
07:51.0,00:00.0,100,1,80,61,70,2240,13732,13085,6836,8717,6360,2621,823,,,,,
07:52.0,00:00.0,100,1,88,63,75,11652,35314,6835,11432,5444,6381,4400,1814,,,,,
07:53.0,00:00.0,100,1,93,63,78,13128,3626,6418,2983,1873,3849,2800,999,,,,,
07:54.0,00:00.0,100,1,90,64,77,190954,23417,9133,11444,5211,4186,2863,1599,,,,,
07:55.0,00:00.0,100,1,91,64,77,11848,16204,12106,3596,1792,6791,3467,1355,,,,,
07:56.0,00:00.0,100,1,81,61,71,99643,21372,3887,1757,1096,941,1375,390,,,,,
07:57.0,00:00.0,100,1,75,61,68,53042,11901,20528,4073,7457,5804,3804,2602,,,,,
07:58.0,00:00.0,100,1,77,66,71,2241831,59062,70733,34652,7038,18623,5464,4375,,,,,
07:59.0,00:00.0,100,1,75,63,69,93702,22763,5431,14493,12974,7689,1848,2234,,,,,
08:00.0,00:00.0,100,1,96,69,82,10596,9336,6315,6591,3703,8596,2162,864,,,,,
08:01.0,00:00.0,100,1,97,66,81,25331,14369,7801,6470,3022,5335,3512,1338,,,,,
08:02.0,00:00.0,100,1,100,64,82,4100,8420,15293,3616,3683,6491,2087,1680,,,,,
08:03.0,00:00.0,100,1,100,66,83,10708,15176,13974,4672,10192,4764,2672,2487,,,,,
08:04.0,00:00.0,100,1,83,69,76,29802,35365,29565,10089,11750,3693,2441,2850,,,,,
08:05.0,00:00.0,100,1,77,67,72,5145,19888,10345,6944,7059,3800,3142,1651,,,,,
08:06.0,00:00.0,100,1,69,67,68,10610,18782,7206,18115,3601,4128,5716,1406,,,,,
08:07.0,00:00.0,100,1,67,67,67,7288,11714,9342,7572,11064,3114,2667,1313,,,,,
08:08.0,00:00.0,100,1,75,69,72,17200,18908,11560,12780,4873,4139,2080,4372,,,,,
08:09.0,00:00.0,100,1,90,64,77,16651,16800,4940,5167,3536,14835,4965,2119,,,,,
